pass_id	strip_id	strip_kind	chapter_range	title	story_purpose	asset_count	strip_svg	strip_sha256	caption	blocked_claims	private_use_status
I-0296	LP-LOGO-01	logo	CH14-CH16	Compute And AI Factory Stack	Hardware, CPU, accelerator, and orchestration logos turn infrastructure from abstraction into institutions.	7	assets/visual_system/logo_people_strips_i0296/lp-logo-01.svg	17909c8b85c7c6db858a1070fc5dd03882b96711b271089360089296c99a61bc	Compute And AI Factory Stack. Hardware, CPU, accelerator, and orchestration logos turn infrastructure from abstraction into institutions.	Identity and human/institutional texture only; no capability, adoption, safety, revenue, market, biography, rank, or current-product claim is promoted by this strip.	private_use_visual_strip_pending_final_layout_review
I-0296	LP-LOGO-02	logo	CH09-CH12	Frontier Labs And Model Families	Lab and platform logos show the model race as a field of institutions, not only release names.	8	assets/visual_system/logo_people_strips_i0296/lp-logo-02.svg	acdf04ef3454bae4d8b5e69127ec6b7f9a0a52e8cbdfa659b970b6834c3b412f	Frontier Labs And Model Families. Lab and platform logos show the model race as a field of institutions, not only release names.	Identity and human/institutional texture only; no capability, adoption, safety, revenue, market, biography, rank, or current-product claim is promoted by this strip.	private_use_visual_strip_pending_final_layout_review
I-0296	LP-LOGO-03	logo	CH08-CH13	Cloud, Hub, And Distribution Surfaces	Distribution logos mark where models become APIs, hubs, clouds, routers, and developer products.	9	assets/visual_system/logo_people_strips_i0296/lp-logo-03.svg	ebd8435da16952fe6480538acf92308881a8479daf0dd5e44b9fb8ca6dcf6403	Cloud, Hub, And Distribution Surfaces. Distribution logos mark where models become APIs, hubs, clouds, routers, and developer products.	Identity and human/institutional texture only; no capability, adoption, safety, revenue, market, biography, rank, or current-product claim is promoted by this strip.	private_use_visual_strip_pending_final_layout_review
I-0296	LP-LOGO-04	logo	CH02-CH05	Research And Data-Science Substrate	The scientific Python and notebook strip makes the pre-LLM toolchain visible without turning it into a separate history.	10	assets/visual_system/logo_people_strips_i0296/lp-logo-04.svg	9e88a10f664d5ec8e60e4b615b4a072921809fbaa0385fe7441b151a19a59a56	Research And Data-Science Substrate. The scientific Python and notebook strip makes the pre-LLM toolchain visible without turning it into a separate history.	Identity and human/institutional texture only; no capability, adoption, safety, revenue, market, biography, rank, or current-product claim is promoted by this strip.	private_use_visual_strip_pending_final_layout_review
I-0296	LP-LOGO-05	logo	CH18-CH21	Agent And Application Runtime Stack	Agent software needs frameworks, APIs, runtimes, and web stacks; these marks make that dependency legible.	8	assets/visual_system/logo_people_strips_i0296/lp-logo-05.svg	70363e993d341bd2bb75782b442333f1bf06c71a4ff59174c134ac044aab64a8	Agent And Application Runtime Stack. Agent software needs frameworks, APIs, runtimes, and web stacks; these marks make that dependency legible.	Identity and human/institutional texture only; no capability, adoption, safety, revenue, market, biography, rank, or current-product claim is promoted by this strip.	private_use_visual_strip_pending_final_layout_review
I-0296	LP-LOGO-06	logo	CH17-CH23	Data, Observability, And Service Infrastructure	Data stores, telemetry, distributed execution, search, and caches make the LLM product stack durable enough to operate.	8	assets/visual_system/logo_people_strips_i0296/lp-logo-06.svg	6cbca5f72d0b4e7caf6c0dea9483ae39715060debc4539ef0708296a70112b15	Data, Observability, And Service Infrastructure. Data stores, telemetry, distributed execution, search, and caches make the LLM product stack durable enough to operate.	Identity and human/institutional texture only; no capability, adoption, safety, revenue, market, biography, rank, or current-product claim is promoted by this strip.	private_use_visual_strip_pending_final_layout_review
I-0296	LP-PEOPLE-01	person	CH01-CH04	Deep-Learning And NLP Lineage	The opening lineage strip anchors the book in researchers who made neural language work feel historically continuous.	6	assets/visual_system/logo_people_strips_i0296/lp-people-01.svg	c583be9758fcc776b92c44d5d67af097188eb3016d8c03a13a8d0022debd2211	Deep-Learning And NLP Lineage. The opening lineage strip anchors the book in researchers who made neural language work feel historically continuous.	Identity and human/institutional texture only; no capability, adoption, safety, revenue, market, biography, rank, or current-product claim is promoted by this strip.	private_use_visual_strip_pending_final_layout_review
I-0296	LP-PEOPLE-02	person	CH02-CH05	Transformer, Scaling, And Evaluation Line	Architecture and evaluation figures give attention, MoE, systems, and reasoning sections human handles.	6	assets/visual_system/logo_people_strips_i0296/lp-people-02.svg	856c3d11d4a45056df0e329f717a76ada8df0da5a0832307c5e495daeb988da9	Transformer, Scaling, And Evaluation Line. Architecture and evaluation figures give attention, MoE, systems, and reasoning sections human handles.	Identity and human/institutional texture only; no capability, adoption, safety, revenue, market, biography, rank, or current-product claim is promoted by this strip.	private_use_visual_strip_pending_final_layout_review
I-0296	LP-PEOPLE-03	person	CH05-CH08	OpenAI Product And RLHF Line	OpenAI's product, research, and RLHF figures tie the ChatGPT sequence to public organizational surfaces.	7	assets/visual_system/logo_people_strips_i0296/lp-people-03.svg	609c75071e3f93ab233fa50562f25454e8cfa10068dba59498d9220186265169	OpenAI Product And RLHF Line. OpenAI's product, research, and RLHF figures tie the ChatGPT sequence to public organizational surfaces.	Identity and human/institutional texture only; no capability, adoption, safety, revenue, market, biography, rank, or current-product claim is promoted by this strip.	private_use_visual_strip_pending_final_layout_review
I-0296	LP-PEOPLE-04	person	CH09-CH13	Plural Frontier Institutions	The lab-leader strip keeps Google, Anthropic, Meta, Microsoft, and Claude from becoming faceless product names.	6	assets/visual_system/logo_people_strips_i0296/lp-people-04.svg	f929ea98e33bd5d7c692c1c4379531706cc43d3abcab780d3cbcd245074b2087	Plural Frontier Institutions. The lab-leader strip keeps Google, Anthropic, Meta, Microsoft, and Claude from becoming faceless product names.	Identity and human/institutional texture only; no capability, adoption, safety, revenue, market, biography, rank, or current-product claim is promoted by this strip.	private_use_visual_strip_pending_final_layout_review
