pass_id	figure_id	chapter	asset_id	asset_type	page	image_count	largest_image_width_in	largest_image_height_in	largest_image_area_pct	caption_present	source_note_present	rights_stage_present	min_caption_font_pt	image_within_page	caption_collision	source_note_proximity	legibility_status	issues
I-0280	F01.01	CH01	A-0068	svg_diagram	2	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F01.02	CH01	A-0069	svg_diagram	5	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F01.03	CH01	A-0070	svg_diagram	8	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F02.01	CH02	A-0115	svg_diagram	11	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F03.01	CH03	A-0116	svg_diagram	18	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F04.01	CH04	A-0117	svg_diagram	26	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F05.01	CH05	A-0010	svg_diagram	34	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F06.01	CH06	A-0011	svg_diagram	45	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F06.02	CH06	A-0260-004	source_excerpt_card_svg	49	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F06.03	CH06	A-0260-001	source_excerpt_card_svg	52	1	4.70	3.02	26.3	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F07.01	CH07	A-0016	svg_diagram	57	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F07.02	CH07	A-0208	svg_source_card	59	1	4.70	3.02	26.3	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F07.03	CH07	A-0260-001	source_excerpt_card_svg	62	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F07.04	CH07	A-0260-002	source_excerpt_card_svg	64	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F07.05	CH07	A-0260-003	source_excerpt_card_svg	67	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F08.01	CH08	A-0056	svg_diagram	70	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F08.02	CH08	A-0057	svg_diagram	73	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F08.03	CH08	A-0058	svg_diagram	75	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F08.04	CH08	A-0059	svg_diagram	77	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F09.01	CH09	A-0086	svg_diagram	81	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F09.02	CH09	A-0087	svg_diagram	83	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F09.03	CH09	A-0088	svg_diagram	85	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F09.04	CH09	A-0089	svg_diagram	87	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F09.05	CH09	A-0260-009	source_excerpt_card_svg	89	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F10.01	CH10	A-0030	svg_diagram	92	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F10.02	CH10	A-0112	svg_diagram	94	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F10.03	CH10	A-0113	svg_diagram	96	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F10.04	CH10	A-0260-012	source_excerpt_card_svg	98	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F10.05	CH10	A-0260-013	source_excerpt_card_svg	100	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F11.01	CH11	A-0031	svg_diagram	103	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F11.02	CH11	A-0118	svg_diagram	105	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F11.03	CH11	A-0260-014	source_excerpt_card_svg	107	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F11.04	CH11	A-0260-015	source_excerpt_card_svg	109	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F11.05	CH11	A-0260-016	source_excerpt_card_svg	111	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F12.01	CH12	A-0094	svg_diagram	115	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F12.02	CH12	A-0095	svg_diagram	116	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F12.03	CH12	A-0096	svg_diagram	118	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F12.04	CH12	A-0097	svg_diagram	123	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F12.05	CH12	A-0260-017	source_excerpt_card_svg	119	1	4.70	3.02	26.3	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F12.06	CH12	A-0260-018	source_excerpt_card_svg	121	1	4.70	3.02	26.3	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F13.01	CH13	A-0014	svg_diagram	131	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F13.02	CH13	A-0013	svg_chart	135	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F13.03	CH13	A-0019	svg_diagram	138	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F14.01	CH14	A-0071	svg_diagram	141	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F14.02	CH14	A-0072	svg_diagram	143	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F14.03	CH14	A-0073	svg_diagram	144	1	4.70	3.02	26.3	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F14.04	CH14	A-0261-001	svg_repair_source_card	147	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F14.05	CH14	A-0261-002	svg_repair_source_card	149	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F14.06	CH14	A-0261-003	svg_repair_source_card	151	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F15.01	CH15	A-0012	svg_diagram	153	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F15.02	CH15	A-0024	svg_claim_card	155	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F15.03	CH15	A-0027	svg_claim_card	157	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F15.04	CH15	A-0028	svg_claim_card	159	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F15.05	CH15	A-0029	svg_claim_card	161	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F15.06	CH15	A-0260-021	source_excerpt_card_svg	162	1	4.70	3.02	26.3	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F15.07	CH15	A-0260-022	source_excerpt_card_svg	164	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F16.01	CH16	A-0015	svg_diagram	168	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F16.02	CH16	A-0020	svg_diagram	170	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F16.03	CH16	A-0021	svg_diagram	172	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F16.04	CH16	A-0022	svg_diagram	174	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F16.05	CH16	A-0023	svg_diagram	176	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F16.06	CH16	A-0260-025	source_excerpt_card_svg	178	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F16.07	CH16	A-0261-004	svg_repair_source_card	180	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F16.08	CH16	A-0261-005	svg_repair_source_card	182	1	4.70	3.02	26.3	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F16.09	CH16	A-0261-006	svg_repair_source_card	183	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F17.01	CH17	A-0064	svg_diagram	185	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F17.02	CH17	A-0065	svg_diagram	187	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F17.03	CH17	A-0066	svg_diagram	190	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F17.04	CH17	A-0067	svg_diagram	192	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F18.01	CH18	A-0060	svg_diagram	195	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F18.02	CH18	A-0061	svg_diagram	196	1	4.70	3.02	26.3	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
