pass_id	extraction_id	parent_card_id	chapter	source_id	source_title	card_status	quote_text	quote_words	provenance_anchor	local_evidence	paraphrase_final_label	blocked_claims	placement_note
I-0244	SCQ-0244-001	SEC-0189-009	6	S-0074	Aligning language models to follow instructions	quote_safe_ready	following user intentions	3	SNAP-20260525-016 line 50	data/source_snapshots/2026-05-25/2026-05-25__S-0074__product-post__instruction-following__text-render.md:50	InstructGPT reframed GPT-3 behavior around following user intent.	No solved alignment, safety, or customer-task success claim.	Use as a small RLHF/product-transition source card, not as a chapter epigraph.
I-0244	SCQ-0244-002	SEC-0189-009	6	S-0074	Aligning language models to follow instructions	quote_safe_ready	rather than to safely perform	5	SNAP-20260525-016 line 192	data/source_snapshots/2026-05-25/2026-05-25__S-0074__product-post__instruction-following__text-render.md:192	OpenAI contrasted next-word training with safely performing the user's task.	Do not generalize this contrast to every lab or later model family.	Use beside a training-objective source card if the prose needs a sharp distinction.
I-0244	SCQ-0244-003	SEC-0189-009	6	S-0074	Aligning language models to follow instructions	quote_safe_ready	provide demonstrations	2	SNAP-20260525-016 line 194	data/source_snapshots/2026-05-25/2026-05-25__S-0074__product-post__instruction-following__text-render.md:194	Labelers demonstrated desired behavior and ranked outputs in the RLHF process.	No claim that labelers represented all users or values.	Use as a process tile paired with a ranking-output paraphrase.
I-0244	SCQ-0244-004	SEC-0189-009	6	S-0074	Aligning language models to follow instructions	quote_safe_ready	default language models	3	SNAP-20260525-016 line 198	data/source_snapshots/2026-05-25/2026-05-25__S-0074__product-post__instruction-following__text-render.md:198	OpenAI said InstructGPT models became the default language models on its API.	Keep deployment scope limited to the OpenAI API at the source date.	Use for the product handoff from research method to API behavior.
I-0244	SCQ-0244-005	SEC-0189-009	6	S-0074	Aligning language models to follow instructions	quote_safe_ready	alignment tax	2	SNAP-20260525-016 line 288	data/source_snapshots/2026-05-25/2026-05-25__S-0074__product-post__instruction-following__text-render.md:288	The source names a tradeoff between customer-task alignment and some academic NLP tasks.	No universal law of alignment cost or model capability tradeoff.	Use as a caveat tile, not as proof of a fixed tax.
I-0244	SCQ-0244-006	SEC-0189-009	6	S-0074	Aligning language models to follow instructions	quote_safe_ready	far from fully aligned	4	SNAP-20260525-016 line 298	data/source_snapshots/2026-05-25/2026-05-25__S-0074__product-post__instruction-following__text-render.md:298	OpenAI's own post kept a limitation caveat visible.	No safety-proof, solved-values, or no-risk claim.	Use as the safety humility footer for the Chapter 6 card cluster.
I-0244	SCQ-0244-007	SEC-0189-010	6	S-0075	Model Spec (2024/05/08)	quote_safe_ready	desired behavior	2	SNAP-20260525-005 line 629	data/source_snapshots/2026-05-25/2026-05-25__S-0075__behavior-specification__openai-model-spec-2024-05-08__html.html:629	The Model Spec is a behavior-specification source, not a proof that behavior always follows the spec.	No compliance, safety, or universal-assistant-behavior claim.	Use as a specification card after the RLHF process card.
I-0244	SCQ-0244-008	SEC-0189-010	6	S-0075	Model Spec (2024/05/08)	quote_safe_ready	objectives, rules, and defaults	4	SNAP-20260525-005 lines 633-634	data/source_snapshots/2026-05-25/2026-05-25__S-0075__behavior-specification__openai-model-spec-2024-05-08__html.html:633	Assistant behavior is specified through a hierarchy of principles and defaults.	Do not imply this exact hierarchy applies to all labs or later revisions.	Use as a compact typography card title.
I-0244	SCQ-0244-009	SEC-0189-010	6	S-0075	Model Spec (2024/05/08)	quote_safe_ready	partial order	2	SNAP-20260525-005 line 635	data/source_snapshots/2026-05-25/2026-05-25__S-0075__behavior-specification__openai-model-spec-2024-05-08__html.html:635	The source frames objectives as incomplete preference ordering rather than an executable moral formula.	No formal guarantee or complete preference-specification claim.	Use only if the chapter needs a technical aside on conflicting objectives.
I-0244	SCQ-0244-010	SEC-0189-010	6	S-0075	Model Spec (2024/05/08)	quote_safe_ready	rules	1	SNAP-20260525-005 line 636	data/source_snapshots/2026-05-25/2026-05-25__S-0075__behavior-specification__openai-model-spec-2024-05-08__html.html:636	Rules are the non-overridable part of the behavior-specification frame.	No claim that rules are sufficient for all conflicts.	Use as one small label in a three-part card, not as a standalone quotation.
I-0244	SCQ-0244-011	SEC-0189-010	6	S-0075	Model Spec (2024/05/08)	quote_safe_ready	default behaviors	2	SNAP-20260525-005 line 637	data/source_snapshots/2026-05-25/2026-05-25__S-0075__behavior-specification__openai-model-spec-2024-05-08__html.html:637	Defaults are stable behavior templates that can be overridden in some contexts.	Do not turn defaults into guarantees of actual model action.	Use with objectives and rules as a three-part behavior-spec source card.
I-0244	SCQ-0244-012	SEC-0189-012	7	S-0078	Introducing ChatGPT Plus	quote_safe_ready	ChatGPT Plus	2	SNAP-20260525-013 lines 39 and 51	data/source_snapshots/2026-05-25/2026-05-25__S-0078__product-post__chatgpt-plus__text-render.md:51	The research preview became a paid subscription surface.	No adoption count, retention, revenue, or customer productivity claim.	Use as the chapter's productization source card header.
I-0244	SCQ-0244-013	SEC-0189-012	7	S-0078	Introducing ChatGPT Plus	quote_safe_ready	$20/month	1	SNAP-20260525-013 line 51	data/source_snapshots/2026-05-25/2026-05-25__S-0078__product-post__chatgpt-plus__text-render.md:51	OpenAI announced a $20/month subscription tier.	No revenue, user mix, margin, or conversion-rate claim.	Use only as a dated launch-price surface, not a business-model proof.
I-0244	SCQ-0244-014	SEC-0189-012	7	S-0078	Introducing ChatGPT Plus	quote_safe_ready	Faster response times	3	SNAP-20260525-013 line 54	data/source_snapshots/2026-05-25/2026-05-25__S-0078__product-post__chatgpt-plus__text-render.md:54	The subscription promised speed and reliability benefits.	No measured latency, uptime, or satisfaction claim.	Use as one bullet in a paid-tier source card.
I-0244	SCQ-0244-015	SEC-0189-012	7	S-0078	Introducing ChatGPT Plus	quote_safe_ready	Priority access	2	SNAP-20260525-013 line 55	data/source_snapshots/2026-05-25/2026-05-25__S-0078__product-post__chatgpt-plus__text-render.md:55	The paid tier offered priority access to new features and improvements.	No feature-adoption, release-cadence, or user-success claim.	Use only with S-0078 text-render caveat.
I-0244	SCQ-0244-016	SEC-0189-012	7	S-0079	Introducing ChatGPT Enterprise	quote_safe_ready	enterprise-grade security and privacy	4	SNAP-20260525-026 lines 8 and 10	data/source_snapshots/2026-05-25/2026-05-25__S-0079__product-post__chatgpt-enterprise__text-render.md:10	OpenAI framed Enterprise around security, privacy, speed, context, analysis, and customization.	No neutral enterprise adoption, compliance outcome, or productivity claim.	Use as vendor-attributed launch positioning only.
I-0244	SCQ-0244-017	SEC-0189-012	7	S-0079	Introducing ChatGPT Enterprise	quote_safe_ready	do not train on your business data	7	SNAP-20260525-026 line 18	data/source_snapshots/2026-05-25/2026-05-25__S-0079__product-post__chatgpt-enterprise__text-render.md:18	The product page separated business-data controls from the general ChatGPT surface.	No independent privacy audit, security effectiveness, or compliance outcome claim.	Use as a source-card footer with vendor attribution visible.
I-0244	SCQ-0244-018	SEC-0189-012	7	S-0079	Introducing ChatGPT Enterprise	quote_safe_ready	admin console	2	SNAP-20260525-026 line 18	data/source_snapshots/2026-05-25/2026-05-25__S-0079__product-post__chatgpt-enterprise__text-render.md:18	Enterprise turned ChatGPT into an administered workplace product.	No seat count, active-use, deployment success, or customer-side outcome claim.	Use as a product-administration tile.
I-0244	SCQ-0244-019	SEC-0189-012	7	S-0079	Introducing ChatGPT Enterprise	quote_safe_ready	32k context	2	SNAP-20260525-026 line 20	data/source_snapshots/2026-05-25/2026-05-25__S-0079__product-post__chatgpt-enterprise__text-render.md:20	OpenAI positioned longer context as part of Enterprise packaging.	No current context-window, task success, or productivity inference.	Use only in the 2023 Enterprise launch context.
I-0244	SCQ-0244-020	SEC-0189-012	7	S-0079	Introducing ChatGPT Enterprise	quote_safe_ready	available today	2	SNAP-20260525-026 line 26	data/source_snapshots/2026-05-25/2026-05-25__S-0079__product-post__chatgpt-enterprise__text-render.md:26	The launch page framed Enterprise as available at announcement time.	No inference about actual rollout completion, procurement, paid seats, or usage.	Use only as vendor launch-page wording.
I-0244	SCQ-0244-021	SEC-0189-015	15	S-0001	GTC-2026-Keynote.pdf page 29	quote_safe_ready	AI factories are the industrial infrastructure	6	GTC-2026-Keynote.pdf page 29; data/gtc_2026_keynote_page_notes.tsv row 29	GTC-2026-Keynote.pdf; data/gtc_2026_keynote_page_notes.tsv:29	Treat NVIDIA's AI-factory language as source-actor framing.	No neutral industry definition, deployed capacity, revenue, or performance proof.	Use as a source-actor card beside independent infrastructure evidence.
I-0244	SCQ-0244-022	SEC-0189-016	15;16	S-0001	GTC-2026-Keynote.pdf page 51	quote_safe_ready	DSX AI Factory Platform	4	GTC-2026-Keynote.pdf page 51; data/gtc_2026_keynote_page_notes.tsv row 51	GTC-2026-Keynote.pdf; data/gtc_2026_keynote_page_notes.tsv:51	Use the DSX slide as an NVIDIA system/facility framing surface.	No customer deployment, power solution, adoption, or facility-performance claim.	Use only after deciding whether it duplicates the page-29 AI-factory source card.
