pass_id	defect_id	severity	figure_id	page	category	evidence	recommended_action
I-0293	I0263-DEF-001	P1	F01.01	2	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-002	P1	F01.02	5	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-003	P1	F01.03	8	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-004	P1	F02.01	10	image_size	image=2.72x3.52in area=17.7%	Increase figure size or replace with simpler exhibit before final layout.
I-0293	I0263-DEF-005	P1	F02.01	10	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-006	P1	F03.01	16	image_size	image=2.49x3.52in area=16.3%	Increase figure size or replace with simpler exhibit before final layout.
I-0293	I0263-DEF-007	P1	F03.01	16	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-008	P1	F04.01	23	image_size	image=2.72x3.52in area=17.7%	Increase figure size or replace with simpler exhibit before final layout.
I-0293	I0263-DEF-009	P1	F04.01	23	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-010	P1	F05.01	30	image_size	image=2.72x3.52in area=17.7%	Increase figure size or replace with simpler exhibit before final layout.
I-0293	I0263-DEF-011	P1	F05.01	30	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-012	P1	F06.01	39	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-013	P1	F06.02	42	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-014	P1	F06.03	45	image_size	image=3.06x2.30in area=13.0%	Increase figure size or replace with simpler exhibit before final layout.
I-0293	I0263-DEF-015	P1	F06.03	45	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-016	P1	F07.01	49	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-017	P1	F07.02	51	image_size	image=1.74x2.30in area=7.4%	Increase figure size or replace with simpler exhibit before final layout.
I-0293	I0263-DEF-018	P1	F07.02	51	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-019	P1	F07.03	53	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-020	P1	F07.04	54	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-021	P1	F07.05	57	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-022	P1	F08.01	60	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-023	P1	F08.02	62	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-024	P1	F08.03	64	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-025	P1	F08.04	66	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-026	P1	F09.01	69	image_size	image=2.72x3.51in area=17.7%	Increase figure size or replace with simpler exhibit before final layout.
I-0293	I0263-DEF-027	P1	F09.01	69	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-028	P1	F09.02	71	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-029	P1	F09.03	73	image_size	image=2.58x3.65in area=17.5%	Increase figure size or replace with simpler exhibit before final layout.
I-0293	I0263-DEF-030	P1	F09.03	73	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-031	P1	F09.04	75	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-032	P1	F09.05	77	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-033	P1	F10.01	80	image_size	image=2.72x3.51in area=17.7%	Increase figure size or replace with simpler exhibit before final layout.
I-0293	I0263-DEF-034	P1	F10.01	80	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-035	P1	F10.02	82	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-036	P1	F10.03	84	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-037	P1	F10.04	86	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-038	P1	F10.05	88	image_size	image=2.72x3.52in area=17.7%	Increase figure size or replace with simpler exhibit before final layout.
I-0293	I0263-DEF-039	P1	F10.05	88	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-040	P1	F11.01	90	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-041	P1	F11.02	92	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-042	P1	F11.03	94	image_size	image=2.72x3.52in area=17.7%	Increase figure size or replace with simpler exhibit before final layout.
I-0293	I0263-DEF-043	P1	F11.03	94	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-044	P1	F11.04	96	image_size	image=2.58x3.65in area=17.5%	Increase figure size or replace with simpler exhibit before final layout.
I-0293	I0263-DEF-045	P1	F11.04	96	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-046	P1	F11.05	98	image_size	image=2.49x3.52in area=16.3%	Increase figure size or replace with simpler exhibit before final layout.
I-0293	I0263-DEF-047	P1	F11.05	98	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-048	P1	F12.01	102	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-049	P1	F12.02	103	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-050	P1	F12.03	106	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-051	P1	F12.04	109	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-052	P1	F12.05	107	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-053	P1	F12.06	108	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-054	P1	F13.01	115	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-055	P1	F13.02	118	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-056	P1	F13.03	121	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-057	P1	F14.01	124	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-058	P1	F14.02	125	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-059	P1	F14.03	127	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-060	P1	F14.04	129	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-061	P1	F14.05	130	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-062	P1	F14.06	132	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-063	P1	F15.01	134	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-064	P1	F15.02	136	image_size	image=1.77x2.30in area=7.5%	Increase figure size or replace with simpler exhibit before final layout.
I-0293	I0263-DEF-065	P1	F15.02	136	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-066	P1	F15.03	138	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-067	P1	F15.04	139	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-068	P1	F15.05	141	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-069	P1	F15.06	142	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-070	P1	F15.07	144	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-071	P1	F16.01	148	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-072	P1	F16.02	149	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-073	P1	F16.03	151	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-074	P1	F16.04	152	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-075	P1	F16.05	154	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-076	P1	F16.06	155	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-077	P1	F16.07	157	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-078	P1	F16.08	159	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-079	P1	F16.09	160	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-080	P1	F17.01	162	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-081	P1	F17.02	164	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-082	P1	F17.03	166	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-083	P1	F17.04	168	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-084	P1	F18.01	171	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-085	P1	F18.02	172	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-086	P1	F18.03	174	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-087	P1	F18.04	175	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-088	P1	F18.05	177	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-089	P1	F19.01	179	image_size	image=2.72x3.52in area=17.7%	Increase figure size or replace with simpler exhibit before final layout.
I-0293	I0263-DEF-090	P1	F19.01	179	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-091	P1	F19.02	181	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-092	P1	F19.03	183	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-093	P1	F19.04	184	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-094	P1	F19.05	186	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-095	P1	F20.01	189	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-096	P1	F20.02	191	image_size	image=2.72x3.52in area=17.7%	Increase figure size or replace with simpler exhibit before final layout.
I-0293	I0263-DEF-097	P1	F20.02	191	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-098	P1	F20.03	192	image_size	image=2.49x3.52in area=16.3%	Increase figure size or replace with simpler exhibit before final layout.
I-0293	I0263-DEF-099	P1	F20.03	192	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-100	P1	F20.04	195	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-101	P1	F20.05	197	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-102	P1	F21.01	200	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-103	P1	F21.02	201	image_size	image=2.72x3.52in area=17.7%	Increase figure size or replace with simpler exhibit before final layout.
I-0293	I0263-DEF-104	P1	F21.02	201	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-105	P1	F21.03	202	image_size	image=2.49x3.52in area=16.3%	Increase figure size or replace with simpler exhibit before final layout.
I-0293	I0263-DEF-106	P1	F21.03	202	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-107	P1	F21.04	203	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-108	P1	F22.01	209	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-109	P1	F22.02	211	image_size	image=3.58x2.30in area=15.2%	Increase figure size or replace with simpler exhibit before final layout.
I-0293	I0263-DEF-110	P1	F22.02	211	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-111	P1	F22.03	213	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-112	P1	F22.04	215	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-113	P1	F23.01	218	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-114	P1	F23.02	219	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-115	P1	F23.03	220	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-116	P1	F23.04	221	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-117	P1	F24.01	227	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
I-0293	I0263-DEF-118	P1	F24.02	228	small_text	min_caption_font=5.40pt	Raise caption/source-note type size or shorten caption.
