pass_id	chapter	title	section_index	old_reader_text_sample	new_heading	figure_count	placement
I-0318	01	The Transformer Arrives: Attention Becomes the Engine	1	Chapter 03 Image Sequence Images placed with this chapter to keep the visual evidence close to the story NVIDIA Blackwell, shown as a public web page Oriol Vinyals Ashish Vaswani Noam Shazeer Aidan Gomez person Transformer, Scaling, And Eva	Context Images: Chapter 01, The Transformer Arrives: Attention Becomes the Engine	5	moved_after_chapter_opening_context; collapsed_chapter_separators=1
I-0318	02	The Sequence Problem: The Road Into Attention	1	Chapter 02 Image Sequence Images placed with this chapter to keep the visual evidence close to the story Jupyter NumPy SciPy Geoffrey Hinton Yoshua Bengio Andrew Ng Christopher Manning Research And Data-Science Substrate The scientific Pyth	Context Images: Chapter 02, The Sequence Problem: The Road Into Attention	7	moved_after_chapter_opening_context; collapsed_chapter_separators=1
I-0318	03	Scaling Laws: The Bet Becomes Measurable	1	Chapter 04 Image Sequence Images placed with this chapter to keep the visual evidence close to the story visual grammar prototype Ilya Sutskever Jeff Dean paper report excerpt Transformer, GPT, And Scaling Origins The origin gallery shows t	Context Images: Chapter 03, Scaling Laws: The Bet Becomes Measurable	3	moved_after_chapter_opening_context; collapsed_chapter_separators=1
I-0318	04	GPT-1 to GPT-3: Pretraining Opens the Door	1	Chapter 05 Image Sequence Images placed with this chapter to keep the visual evidence close to the story GPT lineage visual table Hugging Face GPT-2 model card, shown as a model-card page OpenAI GPT-2 GitHub repo, shown as a repository page	Context Images: Chapter 04, GPT-1 to GPT-3: Pretraining Opens the Door	3	moved_after_chapter_opening_context; collapsed_chapter_separators=1
I-0318	05	Instruction Tuning and RLHF: Alignment Enters the Product	1	Chapter 06 Image Sequence Images placed with this chapter to keep the visual evidence close to the story RLHF and alignment pipeline visual OpenAI Model Spec behavior surface, shown as a public web page OpenAI GPT-4 System Card first page, 	Context Images: Chapter 05, Instruction Tuning and RLHF: Alignment Enters the Product	8	moved_after_chapter_opening_context; collapsed_chapter_separators=1
I-0318	06	The ChatGPT Shock: The Interface Goes Public	1	Chapter 01 Image Sequence Images placed with this chapter to keep the visual evidence close to the story Chapter 1 ChatGPT shock chronology Satya Nadella	Context Images: Chapter 06, The ChatGPT Shock: The Interface Goes Public	2	moved_after_chapter_opening_context; collapsed_chapter_separators=1
I-0318	07	ChatGPT Becomes the Product Surface	1	Chapter 07 Image Sequence Images placed with this chapter to keep the visual evidence close to the story OpenAI ChatGPT Plus launch text render, shown as a public web page OpenAI ChatGPT Enterprise launch text render, shown as a public web 	Context Images: Chapter 07, ChatGPT Becomes the Product Surface	7	moved_after_chapter_opening_context; collapsed_chapter_separators=1
I-0318	08	Microsoft, OpenAI, and the Cloud Bargain	1	Chapter 08 Image Sequence Images placed with this chapter to keep the visual evidence close to the story Chapter 8 cloud-to-product flywheel IBM watsonx, shown as a public web page Sebastian Bubeck Cloud, Hub, And Distribution Surfaces Dist	Context Images: Chapter 08, Microsoft, OpenAI, and the Cloud Bargain	3	moved_after_chapter_opening_context; collapsed_chapter_separators=1
I-0318	09	Google and DeepMind Wake the Sleeping Giant	1	Chapter 09 Image Sequence Images placed with this chapter to keep the visual evidence close to the story Chapter 9 research-to-product conversion timeline Chapter 9 TPU/Search/Workspace surface map Chapter 9 Gemini long-context lane Chapter	Context Images: Chapter 09, Google and DeepMind Wake the Sleeping Giant	15	moved_after_chapter_opening_context; collapsed_chapter_separators=1
I-0318	10	Meta, Llama, and the Open-Weight Shock	1	Chapter 10 Image Sequence Images placed with this chapter to keep the visual evidence close to the story Llama family open-weight map Chapter 10 open-weight control stack Chapter 10 adopter burden transfer diagram Chapter 10 Llama screensho	Context Images: Chapter 10, Meta, Llama, and the Open-Weight Shock	24	moved_after_chapter_opening_context; collapsed_chapter_separators=1
