cut_id	cut_type	words_removed	first_words	reason
CUT-001	source_boundary_apparatus	88	Source boundary: This chapter uses newly ledgered primary papers for the early technical spine: Bengio et al. on	Cut reader-facing apparatus/control prose; source and claim boundaries remain in ledgers, notes, and QA artifacts.
CUT-002	source_boundary_apparatus	70	"Source boundary: This chapter is anchored on ""Attention Is All You Need"" and an official Google Research blog"	Cut reader-facing apparatus/control prose; source and claim boundaries remain in ledgers, notes, and QA artifacts.
CUT-003	source_boundary_apparatus	78	"Source boundary: This chapter is a first scaling-laws draft anchored on Kaplan et al.'s ""Scaling Laws for Neural"	Cut reader-facing apparatus/control prose; source and claim boundaries remain in ledgers, notes, and QA artifacts.
CUT-004	source_boundary_apparatus	50	Source boundary: This chapter draft uses source IDs from `sources.tsv`. It is conservative about private motives, exact adoption	Cut reader-facing apparatus/control prose; source and claim boundaries remain in ledgers, notes, and QA artifacts.
CUT-005	source_boundary_apparatus	86	Source boundary: This chapter draft uses source IDs from `sources.tsv`. It treats alignment as a product and mechanism	Cut reader-facing apparatus/control prose; source and claim boundaries remain in ledgers, notes, and QA artifacts.
CUT-006	source_boundary_apparatus	56	Source boundary: This chapter uses source IDs from `sources.tsv` and remains conservative about adoption numbers, private scenes, internal	Cut reader-facing apparatus/control prose; source and claim boundaries remain in ledgers, notes, and QA artifacts.
CUT-007	source_boundary_apparatus	64	Source boundary: This chapter uses local captures of Microsoft/OpenAI partnership, supercomputer, GPT-3 license, Azure OpenAI Service, ChatGPT-on-Azure, Microsoft	Cut reader-facing apparatus/control prose; source and claim boundaries remain in ledgers, notes, and QA artifacts.
CUT-008	source_boundary_apparatus	77	Source boundary: This chapter is anchored on local captures of PaLM, Gemini, Gemini 1.5, Bard/Gemini product posts, Gemini	Cut reader-facing apparatus/control prose; source and claim boundaries remain in ledgers, notes, and QA artifacts.
CUT-009	source_boundary_apparatus	55	Source boundary: This chapter uses source IDs from `sources.tsv` plus local source assets captured under `assets/source_docs/meta/`. It treats	Cut reader-facing apparatus/control prose; source and claim boundaries remain in ledgers, notes, and QA artifacts.
CUT-010	source_boundary_apparatus	72	Source boundary: This chapter uses existing source IDs from `sources.tsv` plus local arXiv captures under `assets/source_docs/china/`. It writes	Cut reader-facing apparatus/control prose; source and claim boundaries remain in ledgers, notes, and QA artifacts.
CUT-011	source_boundary_apparatus	52	Source boundary: This chapter uses NVIDIA primary sources and local captures from I-0116. It explains CUDA, Hopper/H100, Blackwell/B200/GB200,	Cut reader-facing apparatus/control prose; source and claim boundaries remain in ledgers, notes, and QA artifacts.
CUT-012	source_boundary_apparatus	65	Source boundary: This chapter uses source IDs from `sources.tsv`, the GTC slide caption register, and the I-0101 claim-card	Cut reader-facing apparatus/control prose; source and claim boundaries remain in ledgers, notes, and QA artifacts.
CUT-013	source_boundary_apparatus	64	Source boundary: This chapter uses existing source rows plus the I-0121 data/token source pack. It treats tokenization, web	Cut reader-facing apparatus/control prose; source and claim boundaries remain in ledgers, notes, and QA artifacts.
CUT-014	remaining_editorial_work	63	The remaining editorial work belongs in the ledgers: keep the economics visual package tied to token meters, price-scope	Cut reader-facing apparatus/control prose; source and claim boundaries remain in ledgers, notes, and QA artifacts.
CUT-015	audit_work_note	67	The audit work now stays outside the reader's final beat: keep hallucination prose qualitative unless row-level evidence is	Cut reader-facing apparatus/control prose; source and claim boundaries remain in ledgers, notes, and QA artifacts.
