pass_id	gallery_id	surface_family	chapter_range	title	story_purpose	asset_count	gallery_svg	gallery_sha256	caption	blocked_claims	private_use_status
I-0297	SS-PAPER-01	paper_report_excerpt	CH02-CH05	Transformer, GPT, And Scaling Origins	The origin gallery shows the breakthrough papers as artifacts the reader can locate, not as invisible bibliography.	5	assets/visual_system/source_surface_galleries_i0297/ss-paper-01.svg	b57b65d5e68e13ced7fcdf07b79e414b6894c264241b3f472713b452869a3c4c	Transformer, GPT, And Scaling Origins. The origin gallery shows the breakthrough papers as artifacts the reader can locate, not as invisible bibliography.	Private-use source-surface gallery only; no capability, safety, adoption, deployment, revenue, live-rank, benchmark-superiority, or roadmap-delivery claim is promoted by the gallery.	private_use_source_surface_gallery_pending_final_layout_review
I-0297	SS-PAPER-02	paper_report_excerpt	CH06-CH11	Alignment, Open Weights, And Model Families	Instruction tuning, Constitutional AI, Meta, Google, and Qwen become visible source surfaces with claim boundaries.	5	assets/visual_system/source_surface_galleries_i0297/ss-paper-02.svg	3480b3e47815d50ca52fd341f2bebe3e446732a29393319d88bc400f1b8ea04a	Alignment, Open Weights, And Model Families. Instruction tuning, Constitutional AI, Meta, Google, and Qwen become visible source surfaces with claim boundaries.	Private-use source-surface gallery only; no capability, safety, adoption, deployment, revenue, live-rank, benchmark-superiority, or roadmap-delivery claim is promoted by the gallery.	private_use_source_surface_gallery_pending_final_layout_review
I-0297	SS-PAPER-03	paper_report_excerpt	CH11-CH21	Reasoning, Coding, Tool Use, And Retrieval	The gallery gives the reasoning and agent chapters primary-paper handles without turning benchmark pages into universal truth.	5	assets/visual_system/source_surface_galleries_i0297/ss-paper-03.svg	e21f705a6487565070d53192cac43c746f7940e15b452b001876adf9ba19d3e9	Reasoning, Coding, Tool Use, And Retrieval. The gallery gives the reasoning and agent chapters primary-paper handles without turning benchmark pages into universal truth.	Private-use source-surface gallery only; no capability, safety, adoption, deployment, revenue, live-rank, benchmark-superiority, or roadmap-delivery claim is promoted by the gallery.	private_use_source_surface_gallery_pending_final_layout_review
I-0297	SS-PAPER-04	paper_report_excerpt	CH02-CH09	Pretraining Lineage And Compute-Optimal Scale	BERT, T5, Chinchilla, PaLM, and chain-of-thought establish the mechanism bridge into frontier LLMs.	5	assets/visual_system/source_surface_galleries_i0297/ss-paper-04.svg	8cef2c45ff242fe3720156dd7c8d7f9fe82e82199c77d6376684905073cbc225	Pretraining Lineage And Compute-Optimal Scale. BERT, T5, Chinchilla, PaLM, and chain-of-thought establish the mechanism bridge into frontier LLMs.	Private-use source-surface gallery only; no capability, safety, adoption, deployment, revenue, live-rank, benchmark-superiority, or roadmap-delivery claim is promoted by the gallery.	private_use_source_surface_gallery_pending_final_layout_review
I-0297	SS-PAPER-05	paper_report_excerpt	CH10-CH21	Open-Model, Code, And Benchmark Texture	Code Llama, Mistral, Mixtral, Llama 3, and LiveCodeBench make open-model and coding-eval diversity visible.	5	assets/visual_system/source_surface_galleries_i0297/ss-paper-05.svg	0c72a6912b7c5f2fc3acdbb5c99325366cbd7d4854b3875ae21d5dc02c496caf	Open-Model, Code, And Benchmark Texture. Code Llama, Mistral, Mixtral, Llama 3, and LiveCodeBench make open-model and coding-eval diversity visible.	Private-use source-surface gallery only; no capability, safety, adoption, deployment, revenue, live-rank, benchmark-superiority, or roadmap-delivery claim is promoted by the gallery.	private_use_source_surface_gallery_pending_final_layout_review
I-0297	SS-PDF-01	pdf_deck_report_page	CH15-CH16	GTC Stagecraft: AI Factory Thesis	The first GTC gallery treats NVIDIA slides as attributed stage surfaces, not neutral infrastructure proof.	5	assets/visual_system/source_surface_galleries_i0297/ss-pdf-01.svg	bd6165f2cb73a7bbe3e689de8e4fafaef16a3aacc9cb2b50bd371210bc637902	GTC Stagecraft: AI Factory Thesis. The first GTC gallery treats NVIDIA slides as attributed stage surfaces, not neutral infrastructure proof.	Private-use source-surface gallery only; no capability, safety, adoption, deployment, revenue, live-rank, benchmark-superiority, or roadmap-delivery claim is promoted by the gallery.	private_use_source_surface_gallery_pending_final_layout_review
I-0297	SS-PDF-02	pdf_deck_report_page	CH14-CH16	GTC Platform, Networking, And Facilities	The second GTC gallery ties software, networking, accelerator systems, and facilities into the AI-factory stack.	5	assets/visual_system/source_surface_galleries_i0297/ss-pdf-02.svg	aa26fc0cdc40c7d7960bff61f3ac116a1a113c79c83e3677771c0ee5fe0d5adc	GTC Platform, Networking, And Facilities. The second GTC gallery ties software, networking, accelerator systems, and facilities into the AI-factory stack.	Private-use source-surface gallery only; no capability, safety, adoption, deployment, revenue, live-rank, benchmark-superiority, or roadmap-delivery claim is promoted by the gallery.	private_use_source_surface_gallery_pending_final_layout_review
I-0297	SS-PDF-03	pdf_deck_report_page	CH06-CH13	System Cards And GPT-4 Report Surfaces	System-card and GPT-4 report pages anchor safety/product disclosure without overclaiming capability or risk.	5	assets/visual_system/source_surface_galleries_i0297/ss-pdf-03.svg	0d5db01f9c290b997eb3728f56a443ffd9aceda99d10b97b6525e6e0cc0a8099	System Cards And GPT-4 Report Surfaces. System-card and GPT-4 report pages anchor safety/product disclosure without overclaiming capability or risk.	Private-use source-surface gallery only; no capability, safety, adoption, deployment, revenue, live-rank, benchmark-superiority, or roadmap-delivery claim is promoted by the gallery.	private_use_source_surface_gallery_pending_final_layout_review
I-0297	SS-PDF-04	pdf_deck_report_page	CH15-CH16	GTC Infrastructure Constraint Surfaces	Blackwell/Rubin, NVLink, partners, power/cooling, and roadmap pages show infrastructure as staged argument.	5	assets/visual_system/source_surface_galleries_i0297/ss-pdf-04.svg	649f38b435e17581f2d7f88b58a0a8dcf461d347e9bc37fe0b36d29a99eaa8b3	GTC Infrastructure Constraint Surfaces. Blackwell/Rubin, NVLink, partners, power/cooling, and roadmap pages show infrastructure as staged argument.	Private-use source-surface gallery only; no capability, safety, adoption, deployment, revenue, live-rank, benchmark-superiority, or roadmap-delivery claim is promoted by the gallery.	private_use_source_surface_gallery_pending_final_layout_review
I-0297	SS-PDF-05	pdf_deck_report_page	CH09-CH13	Frontier Technical Reports Beyond The US Core	Gemini, Qwen3, GLM-4, Kimi, and Nemotron surfaces widen the model-race evidence beyond a single lab axis.	5	assets/visual_system/source_surface_galleries_i0297/ss-pdf-05.svg	ca2f558a7c09bfbd94e4319e84aca40c66e47aede5e294c3da5ea7cb9265c03f	Frontier Technical Reports Beyond The US Core. Gemini, Qwen3, GLM-4, Kimi, and Nemotron surfaces widen the model-race evidence beyond a single lab axis.	Private-use source-surface gallery only; no capability, safety, adoption, deployment, revenue, live-rank, benchmark-superiority, or roadmap-delivery claim is promoted by the gallery.	private_use_source_surface_gallery_pending_final_layout_review
