"chapter"	"selected_exhibits"	"caption_contract_ok"	"issue_count"	"dominant_issue"	"issue_mix"	"chapter_action"
"1"	"3"	"2"	"1"	"claim_language_review"	"caption_contract_ok:2;claim_language_review:1"	"Review outcome-sounding verbs and add blocked-claim phrasing where captions mention adoption, safety, rank, cost, or productivity."
"2"	"1"	"1"	"0"	"none"	"caption_contract_ok:1"	"Preserve captions; verify final line length and note proximity in render QA."
"3"	"1"	"0"	"1"	"caption_long"	"caption_long:1"	"Compress caption body and move caveats into nearby source note."
"4"	"1"	"0"	"1"	"claim_language_review"	"claim_language_review:1"	"Review outcome-sounding verbs and add blocked-claim phrasing where captions mention adoption, safety, rank, cost, or productivity."
"5"	"1"	"0"	"1"	"rights_or_private_use_cue_required"	"rights_or_private_use_cue_required:1"	"Add rights/private-use/source-surface cue before final layout."
"6"	"3"	"0"	"3"	"rights_or_private_use_cue_required"	"caption_long:1;claim_language_review:2;rights_or_private_use_cue_required:3"	"Add rights/private-use/source-surface cue before final layout."
"7"	"5"	"0"	"5"	"rights_or_private_use_cue_required"	"claim_language_review:1;rights_or_private_use_cue_required:4"	"Add rights/private-use/source-surface cue before final layout."
"8"	"4"	"0"	"4"	"claim_language_review"	"claim_language_review:4"	"Review outcome-sounding verbs and add blocked-claim phrasing where captions mention adoption, safety, rank, cost, or productivity."
"9"	"5"	"2"	"3"	"claim_language_review"	"caption_contract_ok:2;claim_language_review:3;rights_or_private_use_cue_required:1"	"Review outcome-sounding verbs and add blocked-claim phrasing where captions mention adoption, safety, rank, cost, or productivity."
"10"	"5"	"1"	"4"	"claim_language_review"	"caption_contract_ok:1;claim_language_review:2;rights_or_private_use_cue_required:2"	"Review outcome-sounding verbs and add blocked-claim phrasing where captions mention adoption, safety, rank, cost, or productivity."
"11"	"5"	"1"	"4"	"rights_or_private_use_cue_required"	"caption_contract_ok:1;claim_language_review:1;rights_or_private_use_cue_required:3"	"Add rights/private-use/source-surface cue before final layout."
"12"	"6"	"1"	"5"	"claim_language_review"	"caption_contract_ok:1;caption_long:1;claim_language_review:5;rights_or_private_use_cue_required:2"	"Review outcome-sounding verbs and add blocked-claim phrasing where captions mention adoption, safety, rank, cost, or productivity."
"13"	"3"	"0"	"3"	"claim_language_review"	"caption_long:1;claim_language_review:2"	"Review outcome-sounding verbs and add blocked-claim phrasing where captions mention adoption, safety, rank, cost, or productivity."
"14"	"6"	"5"	"1"	"claim_language_review"	"caption_contract_ok:5;claim_language_review:1"	"Review outcome-sounding verbs and add blocked-claim phrasing where captions mention adoption, safety, rank, cost, or productivity."
"15"	"7"	"1"	"6"	"claim_language_review"	"caption_contract_ok:1;claim_language_review:4;rights_or_private_use_cue_required:3"	"Review outcome-sounding verbs and add blocked-claim phrasing where captions mention adoption, safety, rank, cost, or productivity."
"16"	"9"	"7"	"2"	"caption_long"	"caption_contract_ok:7;caption_long:2"	"Compress caption body and move caveats into nearby source note."
"17"	"4"	"2"	"2"	"claim_language_review"	"caption_contract_ok:2;claim_language_review:2"	"Review outcome-sounding verbs and add blocked-claim phrasing where captions mention adoption, safety, rank, cost, or productivity."
"18"	"5"	"2"	"3"	"claim_language_review"	"caption_contract_ok:2;claim_language_review:3;rights_or_private_use_cue_required:1"	"Review outcome-sounding verbs and add blocked-claim phrasing where captions mention adoption, safety, rank, cost, or productivity."
"19"	"5"	"2"	"3"	"claim_language_review"	"caption_contract_ok:2;claim_language_review:3;rights_or_private_use_cue_required:1"	"Review outcome-sounding verbs and add blocked-claim phrasing where captions mention adoption, safety, rank, cost, or productivity."
"20"	"5"	"2"	"3"	"claim_language_review"	"caption_contract_ok:2;claim_language_review:3;rights_or_private_use_cue_required:1"	"Review outcome-sounding verbs and add blocked-claim phrasing where captions mention adoption, safety, rank, cost, or productivity."
"21"	"4"	"1"	"3"	"claim_language_review"	"caption_contract_ok:1;claim_language_review:3"	"Review outcome-sounding verbs and add blocked-claim phrasing where captions mention adoption, safety, rank, cost, or productivity."
"22"	"4"	"0"	"4"	"claim_language_review"	"claim_language_review:4"	"Review outcome-sounding verbs and add blocked-claim phrasing where captions mention adoption, safety, rank, cost, or productivity."
"23"	"4"	"1"	"3"	"claim_language_review"	"caption_contract_ok:1;claim_language_review:3"	"Review outcome-sounding verbs and add blocked-claim phrasing where captions mention adoption, safety, rank, cost, or productivity."
"24"	"4"	"2"	"2"	"claim_language_review"	"caption_contract_ok:2;claim_language_review:2"	"Review outcome-sounding verbs and add blocked-claim phrasing where captions mention adoption, safety, rank, cost, or productivity."
