check_id	test_area	requirement	pass_condition	fail_condition	applies_to	evidence_source	next_layout_action
CH13QA-001	heading_flow	The integrated leaderboard sequence must not create duplicate or confusing section headings.	Only one "Ranking Sources To Use" heading appears before the LMArena subsection, or the leaderboard sequence is promoted to its own clear section.	The PDF shows two adjacent/repeated "Ranking Sources To Use" headings around the leaderboard sequence.	manuscript/13-model-rankings-appendix.md	manuscript/13-model-rankings-appendix.md; data/leaderboard_appendix_integration_i0059.tsv	Fix heading order before PDF render.
CH13QA-002	figure_order	A-0014 methodology figure must appear before A-0013 historical rank chart.	The rendered page/spread shows A-0014 before A-0013 in reading order and tab/order flow.	A-0013 appears first, or the two figures are separated so the chart is read without the methodology figure.	A-0014;A-0013	LCAP-006;LAPP-003;LAPP-005;CH13INT-003;CH13INT-005	Reject layout if order fails.
CH13QA-003	glossary_before_method	The condensed glossary must appear before A-0014.	Glossary terms vote, config, split, category, rating, confidence interval, publication date, snapshot, and permission gate appear before the methodology figure.	Glossary appears after the figures, is omitted, or lacks config/split/category/date/snapshot/permission-gate terms.	LMG-001;LMG-002;LMG-003;LMG-004;LMG-005;LMG-006;LMG-007;LMG-008;LMG-009	LAPP-002;CH13INT-002	Keep glossary compact but complete.
CH13QA-004	a0014_caption_length	A-0014 caption must be short enough for layout while preserving method vocabulary.	Full caption fits without overflow; if space is tight, LCAP-002 appears and nearby text preserves required terms.	Caption overflows, is truncated, or drops config/split/category/uncertainty/date/snapshot/permission-gate concepts entirely.	A-0014	LCAP-001;LCAP-002	Use LCAP-002 only with adjacent glossary.
CH13QA-005	a0013_caption_scope	A-0013 caption must state historical slice scope in the first sentence.	Caption includes `text_style_control`, `latest`, `overall`, top-twelve scope, published 2026-05-19, S-0080/SNAP-20260525-008, and uncertainty-overlap wording.	Caption says live/current/best models, omits date/config/split/category, or hides uncertainty in a distant note.	A-0013	LCAP-003;LCAP-004;CH13INT-005	Prefer LCAP-003; use LCAP-004 only in small layout.
CH13QA-006	footnote_proximity	The shared chart footnote must be visible near A-0013.	LCAP-005 appears directly below A-0013 or in the nearest same-page sidenote.	Footnote is pushed to an endnote/source list or appears after price/benchmark material.	A-0013;LCAP-005	LAPP-006;CH13INT-006	Reject layout if the footnote is not in the reader path.
CH13QA-007	prohibited_use_visibility	Prohibited-use language must appear before any price, benchmark, or task-specific material.	Negative-control wording from LCAP-008 or an equivalent compact note appears after A-0013/footnote and before price-quality handoff.	Layout omits prohibited-use note or places it after price-quality, benchmark, coding, safety, latency, or enterprise claims.	A-0013;A-0014;LCAP-008	LAPP-007;CH13INT-007	Keep compact; may fold into same-page footnote only if fully visible.
CH13QA-008	price_quality_divider	Any price section must start with a hard divider saying A-0013 is not a price-quality chart.	Before any prices appear, layout states that C-0046 remains active until same-scope price/rank joins are chart-ready.	Rank rows and provider prices share a spread without a divider, inviting reader-side price-quality inference.	C-0046;data/price_quality_join_audit_i0036.tsv	LAPP-008;CH13INT-008	Reject price spread if divider is missing.
CH13QA-009	no_live_rank_language	No visible text may convert the historical chart into live/current/best-model claims.	Search/render QA finds no "current leaderboard," "best models," "winner," "released frontier models," "best value," "best coding," "safest," or "fastest" language attached to A-0013/A-0014.	Any prohibited shortcut appears in caption, heading, pull quote, alt text, figure label, or nearby prose.	A-0013;A-0014	LCAP-008;RRM-006;RRM-007;C-0046	Run `rg` and visual text check before PDF approval.
CH13QA-010	asset_legibility	A-0013 and A-0014 must remain readable at final placement size.	Config/date/source labels, uncertainty indicators, row labels, and permission gates are legible at rendered size.	Figure is scaled so labels blur, overlap, or become too small to read.	A-0013;A-0014	assets_manifest.tsv; assets/visual_system/leaderboard-methodology-flow.svg; assets/visual_system/lmarena-may19-text-style-control-top12.svg	Render page/spread and inspect before merge.
CH13QA-011	source_provenance_visible	Figure captions or nearby notes must expose source/provenance handles.	A-0014 cites S-0036/S-0056/S-0057/S-0080/SNAP-20260525-008; A-0013 cites S-0080/SNAP-20260525-008 and chart data table.	Source IDs, snapshot IDs, or chart-data paths disappear from caption/nearby note.	A-0014;A-0013	LCAP-001;LCAP-003;assets_manifest.tsv	Use abbreviated source line if caption space is tight.
CH13QA-012	no_new_rank_claim_without_row	Layout pass may not add any new rank, price, context-window, benchmark-superiority, release-status, or task-superiority claim without a source row and permission gate.	Every new claim maps to existing data/source/claim rows and preserves C-0046 blockers.	A new chart label, heading, callout, or caption introduces an unsupported rank/price/task inference.	future_CH13_claims	GOAL.md; data/leaderboard_rank_row_microstyle_i0050.tsv; claims.tsv	Create successor claim/source row before adding new layout text.
