pass_id	inventory_id	visual_family	visual_category	board_or_section_id	pdf_page	asset_id	asset_type	title	file_path	sha256	source_or_provenance	private_use_status	story_purpose	blocked_claims	render_location	page_mapping_method_i0302	page_mapping_evidence_i0302
I-0302	FI-0001	expanded_300_exhibit	real_photo_screenshot_source_image	F01.01	2	A-0287-013	real_world_source_image	Figure 01.01 - OpenAI Platform Became A Public Product Surface	assets/private_use_screenshots/i0287_source_pages/src-0287-013-openai-platform.png	f99f8ed3dcb58a7aaa7068073ccd9142f6daec0de7255e9e2aae3179ae9f4605	Private-use visual acquired in 0287; page https://platform.openai.com/; asset https://platform.openai.com/; local assets/private_use_screenshots/i0287_source_pages/src-0287-013-openai-platform.png; sha256 f99f8ed3dcb58a7aaa7068073ccd9142f6daec0de7255e9e2aae3179ae9f4605.	private_use_visual_pending_final_rights_review	I-0290 local file, hash, callout, and manifest proof only; I-0293 render QA and final rights review still required.	Screenshot surface only; does not prove current product state, adoption, performance, revenue, safety, benchmark rank, or deployment outcome.	final_private_pdf_main_expanded_300_layer	figure_or_section_id	F01.01
I-0302	FI-0002	expanded_300_exhibit	curated_chart_data_svg_visualization	F01.02	7	A-0069	svg_diagram	Figure 1.2 - From Prompt to Answer, One Token at a Time. Human text becomes tokens, context, next-token predictions, and generated answer.	assets/visual_system/chapter1-token-to-answer-schematic.svg	42869792f0aad42b83e786d969c81ab5081fdddc94f6689180f727d59618bf58	Source IDs: S-0043;S-0004;S-0005;S-0014;S-0006; Asset source: Generated Chapter 1 token-to-answer schematic; Creator/org: Codex	publish_after_render_caption_source_note_qa	I-0261 source-file proof exists; I-0262 render embedding and I-0263 page-legibility QA still required.	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.	final_private_pdf_main_expanded_300_layer	figure_or_section_id	F01.02
I-0302	FI-0003	expanded_300_exhibit	curated_chart_data_svg_visualization	F01.03	12	A-0070	svg_diagram	Figure 1.3 - Local Alarms: First Institutional Response Chronology. Stack Overflow, NYC schools, Seattle schools, and JPMorgan become named local-control examples.	assets/visual_system/chapter1-institutional-response-chronology.svg	d25bb456366d388337b81c5f0c690bd5fcb1978778eed89f67b3e4e07dff7c09	Source IDs: S-0093;S-0094;S-0096;S-0097; Asset source: Generated Chapter 1 institutional response chronology; Creator/org: Codex	publish_after_render_caption_source_note_qa	I-0261 source-file proof exists; I-0262 render embedding and I-0263 page-legibility QA still required.	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.	final_private_pdf_main_expanded_300_layer	figure_or_section_id	F01.03
I-0302	FI-0004	expanded_300_exhibit	paper_report_excerpt	F02.01	17	A-0285-001	source_surface_paper_report_excerpt	Figure 02.01 - Transformer Paper Page As The Breakthrough Surface	assets/source_surfaces/i0285/paper-0285-001-attention-is-all-you-need-p1.png	ca6d785b054b4e8679f74de194bc2a47b7c44100a782b72df73e6ed3d9e765e9	Private-use source surface PAPER-0285-001 from https://arxiv.org/pdf/1706.03762; source file assets/source_media/i0285_pdfs/attention-is-all-you-need.pdf sha256 bdfaa68d8984f0dc02beaca527b76f207d99b666d31d1da728ee0728182df697; page 1 render assets/source_surfaces/i0285/paper-0285-001-attention-is-all-you-need-p1.png sha256 ca6d785b054b4e8679f74de194bc2a47b7c44100a782b72df73e6ed3d9e765e9; fallback/card assets/papers/i0285_cards/paper-0285-001-attention-is-all-you-need.svg sha256 eb7b0e8375540bce9526d5270bf23408279835eb8a07165b23c4b08e4401e284.	private_use_source_surface_pending_final_rights_review	I-0291 page-render, source-document, card, hash, callout, and manifest proof only; I-0293 render QA and final rights/source-note review still required.	Does not prove modern implementation details, intention, truth, or later LLM behavior.	final_private_pdf_main_expanded_300_layer	figure_or_section_id	F02.01
I-0302	FI-0005	expanded_300_exhibit	paper_report_excerpt	F03.01	30	A-0288-001	source_surface_paper_report_excerpt	Figure 03.01 - BERT Page As Bidirectional Transformer Lineage	assets/source_surfaces/i0288/paper-0288-001-bert-pre-training-of-deep-bidirectional-transformers-p1.png	076d674b09d4f213666f986048a6a6d293cf1b7c72ef6952d85cfa4dfe203f9e	Private-use source surface PAPER-0288-001 from https://arxiv.org/pdf/1810.04805; source file assets/source_media/i0288_pdfs/bert-pre-training-of-deep-bidirectional-transformers.pdf sha256 5692a5514787a8c6727b4ff3b726a3385798bc68e12138d1d4af83947e2acf6e; page 1 render assets/source_surfaces/i0288/paper-0288-001-bert-pre-training-of-deep-bidirectional-transformers-p1.png sha256 076d674b09d4f213666f986048a6a6d293cf1b7c72ef6952d85cfa4dfe203f9e; fallback/card assets/papers/i0288_cards/paper-0288-001-bert-pre-training-of-deep-bidirectional-transformers.svg sha256 7f62213618200373a007f77ef999e5bd24b5f13879e0f61391752d4e6874fd52.	private_use_source_surface_pending_final_rights_review	I-0291 page-render, source-document, card, hash, callout, and manifest proof only; I-0293 render QA and final rights/source-note review still required.	Does not make BERT a generative chatbot or prove later LLM behavior.	final_private_pdf_main_expanded_300_layer	figure_or_section_id	F03.01
I-0302	FI-0006	expanded_300_exhibit	paper_report_excerpt	F04.01	43	A-0285-005	source_surface_paper_report_excerpt	Figure 04.01 - Scaling Laws Page As Loss-Compute Evidence	assets/source_surfaces/i0285/paper-0285-005-scaling-laws-for-neural-language-models-p1.png	74dffb3bfa598109c5bc13783a2e34b687f6d9f2c1267ebb63dd49e01eb2c2ed	Private-use source surface PAPER-0285-005 from https://arxiv.org/pdf/2001.08361; source file assets/source_media/i0285_pdfs/scaling-laws-for-neural-language-models.pdf sha256 a41bd7877fd1a6bcbba096b2619618bd2f90e02488f2365644903eb2f7c6a494; page 1 render assets/source_surfaces/i0285/paper-0285-005-scaling-laws-for-neural-language-models-p1.png sha256 74dffb3bfa598109c5bc13783a2e34b687f6d9f2c1267ebb63dd49e01eb2c2ed; fallback/card assets/papers/i0285_cards/paper-0285-005-scaling-laws-for-neural-language-models.svg sha256 042c901c8547647a55f73408ff5803b68592b7895a240efd900d9158e31afa5d.	private_use_source_surface_pending_final_rights_review	I-0291 page-render, source-document, card, hash, callout, and manifest proof only; I-0293 render QA and final rights/source-note review still required.	Does not prove automatic truth, safety, emergence thresholds, or business value.	final_private_pdf_main_expanded_300_layer	figure_or_section_id	F04.01
I-0302	FI-0007	expanded_300_exhibit	paper_report_excerpt	F05.01	56	A-0285-002	source_surface_paper_report_excerpt	Figure 05.01 - GPT-1 Paper Page As Pretraining Origin	assets/source_surfaces/i0285/paper-0285-002-improving-language-understanding-by-generative-pre-training-p1.png	910a795503814950b19cb7910d50be44e77434c4bbb36682c30d77060ead4a39	Private-use source surface PAPER-0285-002 from https://cdn.openai.com/research-covers/language-unsupervised/language_understanding_paper.pdf; source file assets/source_media/i0285_pdfs/improving-language-understanding-by-generative-pre-training.pdf sha256 eb81a65e0856bd38e855e1f1de6ee12e7c3eb92ae05c8270d345a475beb631d0; page 1 render assets/source_surfaces/i0285/paper-0285-002-improving-language-understanding-by-generative-pre-training-p1.png sha256 910a795503814950b19cb7910d50be44e77434c4bbb36682c30d77060ead4a39; fallback/card assets/papers/i0285_cards/paper-0285-002-improving-language-understanding-by-generative-pre-training.svg sha256 03404b3d3f3769037bce4e1100f8bcc74aa71e87b6bf1bdb9977c6c2b9451fbd.	private_use_source_surface_pending_final_rights_review	I-0291 page-render, source-document, card, hash, callout, and manifest proof only; I-0293 render QA and final rights/source-note review still required.	Does not prove ChatGPT, GPT-3, or broad product capability.	final_private_pdf_main_expanded_300_layer	figure_or_section_id	F05.01
I-0302	FI-0008	expanded_300_exhibit	real_photo_screenshot_source_image	F06.01	72	A-0287-014	real_world_source_image	Figure 06.01 - Anthropic Console Product Surface	assets/private_use_screenshots/i0287_source_pages/src-0287-014-anthropic-console.png	21c83e98d24c0efbdf9d165b504e37c040cfa0b5268973f755b3a96cbacf0658	Private-use visual acquired in 0287; page https://console.anthropic.com/; asset https://console.anthropic.com/; local assets/private_use_screenshots/i0287_source_pages/src-0287-014-anthropic-console.png; sha256 21c83e98d24c0efbdf9d165b504e37c040cfa0b5268973f755b3a96cbacf0658.	private_use_visual_pending_final_rights_review	I-0290 local file, hash, callout, and manifest proof only; I-0293 render QA and final rights review still required.	Screenshot surface only; does not prove current product state, adoption, performance, revenue, safety, benchmark rank, or deployment outcome.	final_private_pdf_main_expanded_300_layer	figure_or_section_id	F06.01
I-0302	FI-0009	expanded_300_exhibit	real_photo_screenshot_source_image	F06.02	77	A-0284-006	real_world_source_image	Figure 06.02 - OpenAI API As Behavior Interface	assets/private_use_photos/i0284_source_images/openai-openai-api.png	f35457a01dadf2de9eb00ef06937c0c73feb060c75017f43d3c60c6741bed3ee	Private-use visual acquired in 0284; page https://openai.com/api/; asset https://images.ctfassets.net/kftzwdyauwt9/2QkEfHzYEJhFvNWAkNolg5/264f9db2d3020b1ff65c12aa9c6632e0/API_Refresh_Art_Card_1920x108.png?w=1600&h=900&fit=fill; local assets/private_use_photos/i0284_source_images/openai-openai-api.png; sha256 f35457a01dadf2de9eb00ef06937c0c73feb060c75017f43d3c60c6741bed3ee.	private_use_visual_pending_final_rights_review	I-0290 local file, hash, callout, and manifest proof only; I-0293 render QA and final rights review still required.	Visual texture only; does not prove current product state, adoption, performance, revenue, safety, or benchmark rank.	final_private_pdf_main_expanded_300_layer	figure_or_section_id	F06.02
I-0302	FI-0010	expanded_300_exhibit	person_image	F06.03	83	A-0284-057	real_world_person_image	Figure 06.03 - Dario Amodei Public Profile Texture	assets/people/i0284/dario-amodei-profile-page.png	097023cf299370d8469d6c6cc32f684e4b26c482e6c752a3680e24307f10b9f5	Private-use visual acquired in 0284; page https://en.wikipedia.org/wiki/Dario_Amodei; asset https://en.wikipedia.org/wiki/Dario_Amodei; local assets/people/i0284/dario-amodei-profile-page.png; sha256 097023cf299370d8469d6c6cc32f684e4b26c482e6c752a3680e24307f10b9f5.	private_use_visual_pending_final_rights_review	I-0290 local file, hash, callout, and manifest proof only; I-0293 render QA and final rights review still required.	Public-profile page screenshot only; does not support biography claims beyond separately sourced text, current title, motives, or private scenes.	final_private_pdf_main_expanded_300_layer	figure_or_section_id	F06.03
