"figure_id"	"chapter"	"asset_id"	"asset_type"	"figure_title"	"triage_class"	"severity"	"rights_gate"	"capture_gate"	"caption_gate"	"provenance_gate"	"rhythm_gate"	"reader_gate"	"prose_bridge"	"render_gate"	"readiness_score"	"readiness_status"	"next_blocker"
"F01.01"	"CH01"	"A-0068"	"svg_diagram"	"ChatGPT Shock Chronology"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"73"	"conditional_medium"	"Render in full-book opener spread."
"F01.02"	"CH01"	"A-0069"	"svg_diagram"	"From Prompt to Answer, One Token at a Time"	"publish_after_render"	"low"	"conditional_pass"	"pass"	"pass"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"88"	"render_pending"	"Check mobile/print legibility."
"F01.03"	"CH01"	"A-0070"	"svg_diagram"	"Local Alarms: First Institutional Response Chronology"	"publish_after_render"	"low"	"conditional_pass"	"pass"	"pass"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"88"	"render_pending"	"Keep only if prose placement stays tight."
"F02.01"	"CH02"	"A-0115"	"svg_diagram"	"The Bottleneck Before The Breakthrough"	"publish_after_render"	"low"	"conditional_pass"	"pass"	"pass"	"pass"	"warn"	"pass"	"bridge_ready"	"fail"	"84"	"conditional_rhythm"	"Trace final caption to paper-source rows."
"F03.01"	"CH03"	"A-0116"	"svg_diagram"	"Attention Is A Mixing Operation, Not A Mind"	"publish_after_render"	"medium"	"warn"	"pass"	"fail"	"pass"	"warn"	"warn"	"bridge_ready"	"fail"	"55"	"blocked_caption"	"Add exact Transformer-figure provenance before final art."
"F04.01"	"CH04"	"A-0117"	"svg_diagram"	"Loss Is A Map, Not A Product Guarantee"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"warn"	"pass"	"bridge_ready"	"fail"	"69"	"conditional_rhythm"	"Verify plotted-value exclusions in final caption."
"F05.01"	"CH05"	"A-0010"	"svg_diagram"	"From Pretraining To The Cursor"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"warn"	"pass"	"not_bridge_target"	"fail"	"67"	"conditional_rhythm"	"Check against Chapter 19 overlap."
"F06.01"	"CH06"	"A-0011"	"svg_diagram"	"Alignment As A Product Stack"	"publish_after_render"	"medium"	"warn"	"pass"	"fail"	"pass"	"pass"	"warn"	"bridge_ready"	"fail"	"61"	"blocked_caption"	"Pair with one source surface, not more diagrams."
"F06.02"	"CH06"	"A-0121"	"screenshot_slot"	"ChatGPT Product Surface"	"capture_or_replace"	"high"	"fail"	"fail"	"warn"	"pass"	"pass"	"warn"	"not_bridge_target"	"fail"	"37"	"blocked_high"	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
"F06.03"	"CH06"	"A-0122"	"screenshot_slot"	"ChatGPT Plus Productization Surface"	"capture_or_replace"	"high"	"fail"	"fail"	"warn"	"pass"	"pass"	"warn"	"not_bridge_target"	"fail"	"37"	"blocked_high"	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
"F07.01"	"CH07"	"A-0016"	"svg_diagram"	"ChatGPT: From Interface Event To Business Surface"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"warn"	"warn"	"bridge_ready"	"fail"	"63"	"conditional_rhythm"	"Retain blocked adoption lane."
"F07.02"	"CH07"	"A-0036"	"screenshot_slot"	"ChatGPT launch surface"	"capture_or_replace"	"high"	"fail"	"fail"	"warn"	"pass"	"warn"	"warn"	"not_bridge_target"	"fail"	"31"	"blocked_high"	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
"F07.03"	"CH07"	"A-0037"	"screenshot_slot"	"ChatGPT Plus conversion"	"capture_or_replace"	"high"	"fail"	"fail"	"warn"	"pass"	"warn"	"warn"	"not_bridge_target"	"fail"	"31"	"blocked_high"	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
"F07.04"	"CH07"	"A-0038"	"screenshot_slot"	"ChatGPT Enterprise launch surface"	"capture_or_replace"	"high"	"fail"	"fail"	"warn"	"pass"	"warn"	"warn"	"not_bridge_target"	"fail"	"31"	"blocked_high"	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
