balance_id	chapter	sequence_role	asset_id	source_table	decision	exhibit_job	reading_path	caption_firewall	next_dependency
I0214-RETF-001	21	rung_1_reasoning_compute_axis	A-0078	data/chapter21_reasoning_visual_package_i0130.tsv	choose	Train-vs-test-time compute axes open the late book by showing reasoning as inference-time structure, not magic cognition.	Start with the new compute axis: training, post-training, scratch work, samples, search, verifiers, tools, and retries.	Does not support measured frontier curves, exact cost/latency, hidden reasoning budgets, production routing behavior, or solved reasoning.	Place before any model-family or benchmark source surface so the chapter teaches mechanism before score.
I0214-RETF-002	21	rung_1_reasoning_loop	A-0079	data/chapter21_reasoning_visual_package_i0130.tsv	choose	Verifier/search loop gives the chapter a moving system visual rather than a static dashboard.	Show prompt, candidate paths, verifier, observation/tool result, loopback, and selected answer.	Does not support faithful explanation, truth guarantees, broad reliability, production autonomy, or general planning reliability.	Use as the narrative-energy figure after A-0078.
I0214-RETF-003	21	rung_1_reasoning_permission	A-0080	data/chapter21_reasoning_visual_package_i0130.tsv	choose	Inference-contract matrix is the permission device for every reasoning score.	Show model/date, task set, tool access, samples/retries, verifier rule, and contamination scope.	Does not support live ranks, raw-model superiority, all-domain usefulness, safety, productivity, or clean frontier claims.	Keep close to any benchmark paragraph so numbers cannot detach from scaffold.
I0214-RETF-004	21	rung_1_budget_to_product	A-0081	data/chapter21_reasoning_visual_package_i0130.tsv	reserve	Reasoning-budget routing map is the handoff to economics.	Use if Chapter 21 needs an explicit bridge from thinking time to product routing.	Does not support exact routing policy, production behavior, cost curve, latency curve, adoption, all-domain superiority, or solved truth.	Promote only if Chapter 22 opener needs a stronger visual bridge.
I0214-RETF-005	21	rung_1_source_texture	A-0152	data/canonical_paper_redraw_batch_i0205.tsv	reserve	DeepSeek-R1 reasoning redraw can supply paper-grounded mechanism texture without importing leaderboard drama.	Use as a sidebar or Chapter 11/21 bridge if the R1 arc needs visible training/eval boundaries.	Does not support live rank, cost, export-control, superiority, geopolitical, or solved-reasoning claims.	Coordinate with A-0050 so source screenshot and redraw do not duplicate the same story beat.
I0214-RETF-006	21	rung_1_source_surface	A-0050	assets_manifest.tsv	reserve	DeepSeek-R1 arXiv screenshot slot can make the reasoning bridge concrete.	Use only after local screenshot capture and extraction; never as a benchmark proof.	Does not support exact benchmark claims, live superiority, cost, broad reasoning, or geopolitical conclusions.	Requires raster capture, hash, viewport, rights review, and exact extraction table.
I0214-RETF-007	22	rung_2_meter	A-0082	data/chapter22_economics_visual_package_i0131.tsv	choose	Token meter opens economics because reasoning spend must become a unit of sale before margin can be discussed.	Show input, cached-input, and output tokens as metered product units.	Does not support live prices, cost per token, provider margin, revenue, utilization, or price-quality frontier claims.	Place immediately after Chapter 21's reasoning-spend handoff.
I0214-RETF-008	22	rung_2_levers	A-0083	data/chapter22_economics_visual_package_i0131.tsv	choose	Routing/caching/batching levers show why inference economics is operational design, not only price tables.	Show visible levers that can change serving cost or user-visible pricing.	Does not support actual savings, routing quality, provider margin, utilization, production behavior, or customer ROI.	Use before product-route visuals so economics stays mechanical.
I0214-RETF-009	22	rung_2_route_to_market	A-0084	data/chapter22_economics_visual_package_i0131.tsv	choose	Subscription/API/bundle map adds business texture without pretending outcome evidence exists.	Show subscriptions, API meters, enterprise controls, and cloud bundles as distinct routes to market.	Does not support subscribers, paid seats, active usage, productivity, revenue, margin, ROI, or broad adoption.	Keep after A-0082/A-0083 so market surfaces follow the meter.
I0214-RETF-010	22	rung_2_negative_control	A-0085	data/chapter22_economics_visual_package_i0131.tsv	reserve	Margin/ROI blocker grid is the safety valve if economics prose starts overclaiming.	Show evidence classes mapped to blocked revenue, margin, utilization, ROI, and price-quality claims.	Does not support provider revenue, gross margin, profitability, capex, utilization, customer ROI, workload savings, or price-quality frontier.	Promote only if review finds economics claims still tempting.
