asset_id	chapter_or_slot	target_file_private_not_committed	visual_kind	source_ids	source_url_or_path	capture_subject	story_purpose	rights_or_capture_note	status	next_action
A-0036	Chapter 1 / Chapter 7	assets/private_use_screenshots/i0112/A-0036_chatgpt_launch_page.png	screenshot_slot	S-0006	https://openai.com/index/chatgpt/	OpenAI ChatGPT launch page or archived rendering	Shows the public product surface that made next-token prediction feel like an interface.	Private-use screenshot slot only; raster should stay uncommitted; record capture date, browser, viewport, hash, and archive fallback.	acquisition_ready	Capture browser screenshot and add hash row.
A-0037	Chapter 7	assets/private_use_screenshots/i0112/A-0037_chatgpt_plus_page.png	screenshot_slot	S-0078	https://openai.com/index/chatgpt-plus/	ChatGPT Plus launch/product page	Shows reliability and subscription conversion after the viral launch.	Private-use screenshot slot only; do not use for adoption or revenue claims.	acquisition_ready	Capture browser screenshot or archive fallback.
A-0038	Chapter 7 / Chapter 8	assets/private_use_screenshots/i0112/A-0038_chatgpt_enterprise_page.png	screenshot_slot	S-0079	https://openai.com/index/introducing-chatgpt-enterprise/	ChatGPT Enterprise launch page	Shows the workplace administration turn without laundering customer outcomes.	Private-use screenshot slot only; customer/productivity claims need separate rows.	acquisition_ready	Capture browser screenshot and preserve source-role label.
A-0039	Chapter 7 / Chapter 18	assets/private_use_screenshots/i0112/A-0039_chatgpt_plugins_page.png	screenshot_slot	S-0044	https://openai.com/index/chatgpt-plugins/	ChatGPT plugins launch page	Visual bridge from chat interface to tool-use/agent scaffolding.	Private-use screenshot slot only; do not imply stable plugin ecosystem or adoption.	acquisition_ready	Capture screenshot if page still renders; otherwise use archive/source note.
A-0040	Chapter 6 / Chapter 12	assets/private_use_screenshots/i0112/A-0040_claude_4_launch_page.png	screenshot_slot	S-0007	https://www.anthropic.com/news/claude-4	Claude 4 launch page	Visual anchor for Anthropic/Claude model-line and benchmark-permission discussion.	Private-use screenshot slot only; benchmark numbers need row extraction.	acquisition_ready	Capture top-page screenshot and separate benchmark table crop if licensed by rows.
A-0041	Chapter 20	assets/private_use_screenshots/i0112/A-0041_claude_code_best_practices.png	screenshot_slot	S-0049	assets/source_docs/coding_agents/S-0049_claude-code-best-practices.html	Claude Code best-practices docs	Shows coding-agent workflow as documentation rather than magic.	Private-use screenshot slot from local HTML or live docs; do not commit raster.	acquisition_ready	Render local/live docs and capture workflow section.
A-0042	Chapter 20	assets/private_use_screenshots/i0112/A-0042_claude_code_security_permissions.png	screenshot_slot	S-0050	assets/source_docs/coding_agents/S-0050_claude-code-security.html	Claude Code security / permissions docs	Shows permission boundaries, tool trust, and human-in-the-loop control.	Private-use screenshot slot; use as visual evidence of workflow controls only.	acquisition_ready	Capture permission/security section with source ID overlay in caption.
A-0043	Chapter 20	assets/private_use_screenshots/i0112/A-0043_claude_code_common_workflows.png	screenshot_slot	S-0051	assets/source_docs/coding_agents/S-0051_claude-code-common-workflows.html	Claude Code common workflows docs	Shows ordinary repo-work loops and terminal-agent pattern.	Private-use screenshot slot; no productivity/adoption inference.	acquisition_ready	Capture workflow section or local render.
A-0044	Chapter 10	assets/private_use_screenshots/i0112/A-0044_llama_launch_page.png	screenshot_slot	S-0111	https://ai.meta.com/blog/large-language-model-llama-meta-ai/	Meta LLaMA launch page	Visual anchor for open-weight shock and research-release posture.	Private-use screenshot slot only; do not imply current license status from launch page.	acquisition_ready	Capture page header and release framing.
A-0045	Chapter 10	assets/private_use_screenshots/i0112/A-0045_llama3_launch_page.png	screenshot_slot	S-0112	https://ai.meta.com/blog/meta-llama-3/	Meta Llama 3 launch page	Shows open-weight family becoming a platform strategy.	Private-use screenshot slot; benchmark and adoption claims blocked without rows.	acquisition_ready	Capture product/release section.
