rank	mining_id	page	source_id	surface	chart_or_diagram_type	chapter_targets	recommended_treatment	why_it_matters	allowed_caption	blocked_claims	link_to_later_work
1	GTCM-0184-001	29	S-0001	AI Factories are the Industrial Infrastructure of the AI Era	thesis_slide	15	source_card_or_slide_surface	Strongest single thesis surface in the deck; converts the chapter from product chronology to source-actor stagecraft.	NVIDIA framed AI factories as industrial infrastructure, with inference as workload, tokens as commodity, and compute as revenue.	No neutral industry definition, independent economics, deployed-factory performance, or revenue proof.	Matches GTCX-0192-001; choose one of A-0004/A-0024/A-0106.
2	GTCM-0184-002	51	S-0001	NVIDIA DSX AI Factory Platform	platform_stack_diagram	15;16	source_card_plus_handoff_surface	Best handoff from stage rhetoric to actual chips, systems, facilities, software, cooling, and power constraints.	NVIDIA presented DSX as an AI factory platform spanning chips, systems, facilities, software, reference designs, cooling, and power.	No customer deployment, adoption scale, facility performance, energy efficiency, or proof that DSX solves power/cooling/interconnection.	Matches GTCX-0192-002; choose one of A-0009/A-0029/A-0107.
3	GTCM-0184-003	49	S-0001	NVIDIA Vera Rubin 7 Chips - 5 Rack Systems	system_comparison_table_and_diagram	15;16	lightweight_claim_card_preferred	Best single diagram/table for NVIDIA's one-gigawatt system comparison and rack-scale AI-factory claim.	NVIDIA compared an X86 plus Hopper one-gigawatt AI factory frame with a Vera Rubin system across GPUs, FLOPS, bandwidth, and tokens per second.	No exact ratios, token throughput, revenue, deployed capacity, or neutral performance proof without independent corroboration.	Matches GTCX-0192-003; prefer A-0027 card over raw slide.
4	GTCM-0184-004	50	S-0001	NVIDIA Extreme Co-Design Delivering X-Factors Every Year	roadmap_diagram	14;15	roadmap_card	Best cadence visual: Blackwell to Rubin to Feynman and chips-to-racks-to-factories sequencing.	NVIDIA showed a 2024/2026/2028 platform roadmap spanning GPUs, CPUs, networking, BlueField, NVLink, and rack-scale systems.	No future roadmap item as happened history, guaranteed delivery, production status, specs, or timing.	Matches GTCX-0192-004; use A-0028 only if roadmap cadence is needed.
5	GTCM-0184-005	32	S-0001	Inference Performance and Efficiency Drive Company Results	scatter_or_bubble_chart	15;22	axis_redraw_candidate	Most chart-like token-economics surface: throughput per MW, interactivity, service tiers, and model classes in one visual.	NVIDIA framed inference throughput per megawatt and interactivity as business-relevant AI factory metrics.	No exact TPS/MW values, company-result proof, cost-per-token, energy-per-token, or model-rank inference without extraction and corroboration.	Reserved in GTCX-0192-006 for future chart mining.
6	GTCM-0184-006	27	S-0001	NVIDIA Extreme Co-Design Revolutionized Token Cost	dual_axis_chart	15;22	source_card_with_redraw_plan	Directly links token cost, interactivity, tokens per watt, and factory revenue; strongest economics chart before the staged page 32 sequence.	NVIDIA presented a token-cost and tokens-per-watt comparison for GB300 NVL72, H200 NVL8, and competition.	No lower-cost or perf/watt claim as independent fact; no price-quality, endpoint, workload, or energy-per-token conclusion without same-scope evidence.	Newly elevated by I-0184; not in I-0192 core sequence.
7	GTCM-0184-007	37	S-0001	NVIDIA Vera Rubin Unlocks $150B Revenue Opportunity	bar_chart	15;22	warned_source_card	High drama and high risk: makes NVIDIA's revenue-per-gigawatt argument visible but must be quarantined as promotional.	NVIDIA connected Vera Rubin to annual revenue per gigawatt and a stated revenue opportunity.	No independent revenue opportunity, actual revenue, ROI, deployed capacity, customer economics, or neutral valuation.	Matches GTCX-0192-005.
8	GTCM-0184-008	41	S-0001	NVIDIA Vera Rubin plus LPX Unlocks $300B Revenue Opportunity	bar_chart	15;22	warned_reserve_card	Useful sequel showing how LPX changes NVIDIA's internal economics story, but even riskier than page 37.	NVIDIA extended the annual revenue per gigawatt comparison to a Rubin plus LPX frame.	No $300B opportunity as fact, no delivered revenue, no customer economics, no AI-factory ROI proof.	Newly elevated by all-page scan; reserve behind page 37.
9	GTCM-0184-009	40	S-0001	35X Performance Efficiency Drives Company Results	scatter_or_bubble_chart	15;22	axis_redraw_reserve	Most complete later-stage build of the throughput/interactivity chart including Rubin plus LPX.	NVIDIA framed Rubin plus LPX, Rubin NVL72, Blackwell NVL72, and Hopper in a throughput/interactivity chart.	No performance-ratio, throughput, interactivity, tier, model-capability, or cost claim without extraction and triangulation.	Newly elevated by all-page scan; reserve behind page 32.
10	GTCM-0184-010	36	S-0001	Rubin NVL72 / Blackwell NVL72 / Hopper comparison	scatter_or_bubble_chart	14;15;22	axis_redraw_reserve	Useful generation comparison if the chapter needs hardware cadence without the 2028 roadmap.	NVIDIA compared Rubin, Blackwell, and Hopper in throughput/interactivity space with performance-ratio annotations.	No 10X/3X/2X claims as independent fact; no model-rank, cost, or energy proof.	Matches GTCX-0192 page-36 note.
11	GTCM-0184-011	44	S-0001	Uniting Processors of Extreme FLOPS and Bandwidth	process_diagram	14;15;21	redraw_candidate	Only mined page that teaches an inference mechanism: prefill, decode, KV cache, Dynamo, Vera Rubin, and Groq 3 LPX.	NVIDIA linked prefill, decode, and KV cache stages to specialized processors in its inference-compute argument.	No architecture optimality, shipped integration, performance benefit, model behavior, or vendor superiority without corroboration.	Newly elevated by all-page scan.
12	GTCM-0184-012	25	S-0001	Inference Inflection Arrives	thesis_slide	15;21	source_card_reserve	Concise inference-turn slide, useful as setup if page 32/27 are too dense for layout.	NVIDIA framed inference compute as entering a new scaling phase and referenced ChatGPT compute.	No verified 10000X claim, product-demand proof, model behavior proof, or neutral compute requirement.	Matches GTCX-0192-007.
13	GTCM-0184-013	24	S-0001	NVIDIA AI Platform	ecosystem_map	15;18;20	trimmed_source_surface_card	Maps NVIDIA's platform breadth around inference frameworks, agent protocols, frontier builders, and software-development categories.	NVIDIA presented an AI platform map spanning inference, agent frameworks, protocols, model builders, and vertical AI categories.	No ecosystem dominance, adoption, standardization, robotics relevance, or category completeness claim.	Matches GTCX-0192-012.
14	GTCM-0184-014	16	S-0001	NVIDIA AI Platform with Google Cloud AI Hypercomputer	cloud_stack_map	8;15	reserve_context_card	Shows AI-factory stack pattern in a cloud-provider context, but lower than generic DSX source surface.	NVIDIA mapped its platform onto Google Cloud infrastructure, data systems, AI platforms, and open software.	No cloud adoption, cost savings, customer productivity, performance, or platform superiority.	Newly elevated by all-page scan; reserve only.
15	GTCM-0184-015	12	S-0001	IBM Storage Scale / Nestle operations data case	bar_chart_and_stack	17	reserve_source_card	One of the few data-operation charts, but it is partner/testimonial evidence rather than core GTC thesis.	NVIDIA showed an IBM/Nestle data-processing case with time and cost-savings claims.	No customer productivity, generalized enterprise savings, exact cost/time claims, or quote use without visual verification and source-chain review.	Newly elevated by all-page scan; reserve only.
16	GTCM-0184-016	48	S-0001	Announcing NVIDIA BlueField-4 STX	product_announcement_with_metrics	14;15	reserve_networking_card	Useful if networking/context movement needs a concrete GTC source surface.	NVIDIA announced BlueField-4 STX with tokens/sec, networking bandwidth, and shared-context-per-GPU claims.	No product availability, performance, customer deployment, or networking superiority without official release corroboration.	Supports prior page notes; reserve.
17	GTCM-0184-017	58	S-0001	Agents - A New Computing Platform	thesis_slide	18;20	source_card_reserve	Can connect the GTC chapter to agent chapters, but should not dominate Chapter 15.	NVIDIA framed agents as a new computing platform.	No agent autonomy, productivity, adoption, safety, platform dominance, or coding-agent proof.	Matches GTCX-0192-013.
18	GTCM-0184-018	66	S-0001	Nemotron 3 Ultra benchmark chart	benchmark_chart	11	drop_or_cite_only	Important negative control: chart-like and LLM-relevant, but unsafe for GTC visual program because it invites leaderboard crowns.	NVIDIA presented Nemotron 3 Ultra benchmark/efficiency claims against GLM and Kimi.	No best-open-model claim, live rank, reasoning superiority, benchmark transfer, model capability, or vendor comparison without independent benchmark normalization.	Matches GTCX-0192-014 drop logic.
