"chapter"	"figure_id"	"asset_id"	"asset_type"	"figure_title"	"mock_page_band"	"mock_size"	"caption_mode"	"source_note_position"	"white_space_pressure"	"orphan_risk"	"reader_fatigue_risk"	"page_flow_risk"	"next_gate"
"CH01"	"F01.01"	"A-0068"	"svg_diagram"	"ChatGPT Shock Chronology"	"opener_or_first_turn"	"large_or_half_page"	"claim_checked_caption"	"nearby_source_note"	"healthy"	"low"	"low"	"claim_checked_caption"	"Render in full-book opener spread."
"CH01"	"F01.02"	"A-0069"	"svg_diagram"	"From Prompt to Answer, One Token at a Time"	"early_middle"	"standard_inline"	"standard_caption"	"nearby_source_note"	"healthy"	"low"	"low"	"low"	"Check mobile/print legibility."
"CH01"	"F01.03"	"A-0070"	"svg_diagram"	"Local Alarms: First Institutional Response Chronology"	"closing_or_handoff"	"standard_inline"	"standard_caption"	"nearby_source_note"	"healthy"	"low"	"low"	"low"	"Keep only if prose placement stays tight."
"CH02"	"F02.01"	"A-0115"	"svg_diagram"	"The Bottleneck Before The Breakthrough"	"single_mid_chapter"	"standard_inline"	"standard_caption"	"nearby_source_note"	"too_open"	"high_single_visual_chapter"	"under_varied_low_count"	"under_varied_low_count"	"Trace final caption to paper-source rows."
"CH03"	"F03.01"	"A-0116"	"svg_diagram"	"Attention Is A Mixing Operation, Not A Mind"	"single_mid_chapter"	"wide_with_short_caption"	"needs_short_caption"	"nearby_source_note"	"too_open"	"high_single_visual_chapter"	"under_varied_low_count"	"needs_short_caption;under_varied_low_count"	"Add exact Transformer-figure provenance before final art."
"CH04"	"F04.01"	"A-0117"	"svg_diagram"	"Loss Is A Map, Not A Product Guarantee"	"single_mid_chapter"	"standard_inline"	"claim_checked_caption"	"nearby_source_note"	"too_open"	"high_single_visual_chapter"	"under_varied_low_count"	"claim_checked_caption;under_varied_low_count"	"Verify plotted-value exclusions in final caption."
"CH05"	"F05.01"	"A-0010"	"svg_diagram"	"From Pretraining To The Cursor"	"single_mid_chapter"	"standard_inline"	"caption_gate_visible"	"nearby_source_note"	"too_open"	"high_single_visual_chapter"	"under_varied_low_count"	"caption_gate_visible;under_varied_low_count"	"Check against Chapter 19 overlap."
"CH06"	"F06.01"	"A-0011"	"svg_diagram"	"Alignment As A Product Stack"	"opener_or_first_turn"	"large_or_half_page"	"needs_short_caption"	"nearby_source_note"	"healthy"	"medium_caption_cluster"	"low"	"needs_short_caption"	"Pair with one source surface, not more diagrams."
"CH06"	"F06.02"	"A-0121"	"screenshot_slot"	"ChatGPT Product Surface"	"early_middle"	"half_page_or_inset"	"claim_checked_caption"	"nearby_source_note"	"healthy"	"medium_caption_cluster"	"low"	"selected_pending_capture;claim_checked_caption"	"Capture screenshot/hash; rights review."
"CH06"	"F06.03"	"A-0122"	"screenshot_slot"	"ChatGPT Plus Productization Surface"	"closing_or_handoff"	"half_page_or_inset"	"claim_checked_caption"	"nearby_source_note"	"healthy"	"medium_caption_cluster"	"low"	"selected_pending_capture;claim_checked_caption"	"Capture screenshot/hash; strict caption."
"CH07"	"F07.01"	"A-0016"	"svg_diagram"	"ChatGPT: From Interface Event To Business Surface"	"opener_or_first_turn"	"large_or_half_page"	"claim_checked_caption"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"source_texture_cluster"	"claim_checked_caption;source_texture_cluster"	"Retain blocked adoption lane."
"CH07"	"F07.02"	"A-0036"	"screenshot_slot"	"ChatGPT launch surface"	"early_middle"	"half_page_or_inset"	"caption_gate_visible"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"source_texture_cluster"	"selected_pending_capture;caption_gate_visible;source_texture_cluster"	"Capture/hash or use archival fallback."
"CH07"	"F07.03"	"A-0037"	"screenshot_slot"	"ChatGPT Plus conversion"	"early_middle"	"half_page_or_inset"	"caption_gate_visible"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"source_texture_cluster"	"selected_pending_capture;caption_gate_visible;source_texture_cluster"	"Choose one of A-0037/A-0122 in final layout."
"CH07"	"F07.04"	"A-0038"	"screenshot_slot"	"ChatGPT Enterprise launch surface"	"late_middle"	"half_page_or_inset"	"caption_gate_visible"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"source_texture_cluster"	"selected_pending_capture;caption_gate_visible;source_texture_cluster"	"Capture/hash; block productivity and customer outcomes."
"CH07"	"F07.05"	"A-0039"	"screenshot_slot"	"ChatGPT plugins surface"	"closing_or_handoff"	"half_page_or_inset"	"caption_gate_visible"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"source_texture_cluster"	"selected_pending_capture;caption_gate_visible;source_texture_cluster"	"Capture/hash; block ecosystem adoption."
"CH08"	"F08.01"	"A-0056"	"svg_diagram"	"Microsoft/OpenAI: The Cloud Bargain Timeline"	"opener_or_first_turn"	"large_or_half_page"	"claim_checked_caption"	"nearby_source_note"	"healthy"	"medium_caption_cluster"	"low"	"claim_checked_caption"	"Check if chapter can carry four diagrams."
"CH08"	"F08.02"	"A-0057"	"svg_diagram"	"Cloud-To-Product Flywheel"	"early_middle"	"standard_inline"	"claim_checked_caption"	"nearby_source_note"	"healthy"	"medium_caption_cluster"	"low"	"claim_checked_caption"	"Prune if it duplicates A-0056 in layout."
