pass_id	defect_id	severity	figure_id	page	category	evidence	recommended_action
I-0263	I0263-DEF-001	P1	F01.01	3	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-002	P1	F01.02	8	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-003	P1	F01.03	13	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-004	P1	F02.01	17	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-005	P1	F03.01	29	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-006	P1	F04.01	42	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-007	P1	F05.01	54	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-008	P1	F06.01	71	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-009	P1	F06.02	76	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-010	P1	F06.03	82	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-011	P1	F07.01	89	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-012	P1	F07.02	93	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-013	P1	F07.03	96	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-014	P1	F07.04	99	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-015	P1	F07.05	103	source_note	Source note label absent from figure page text.	Keep source note in caption/source block adjacent to figure.
I-0263	I0263-DEF-016	P1	F07.05	103	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-017	P1	F08.01	107	source_note	Source note label absent from figure page text.	Keep source note in caption/source block adjacent to figure.
I-0263	I0263-DEF-018	P1	F08.01	107	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-019	P1	F08.02	111	source_note	Source note label absent from figure page text.	Keep source note in caption/source block adjacent to figure.
I-0263	I0263-DEF-020	P1	F08.02	111	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-021	P1	F08.03	114	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-022	P1	F08.04	117	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-023	P1	F09.01	122	source_note	Source note label absent from figure page text.	Keep source note in caption/source block adjacent to figure.
I-0263	I0263-DEF-024	P1	F09.01	122	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-025	P1	F09.02	125	source_note	Source note label absent from figure page text.	Keep source note in caption/source block adjacent to figure.
I-0263	I0263-DEF-026	P1	F09.02	125	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-027	P1	F09.03	128	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-028	P1	F09.04	131	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-029	P1	F09.05	133	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-030	P1	F10.01	138	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-031	P1	F10.02	141	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-032	P1	F10.03	144	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-033	P1	F10.04	147	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-034	P1	F10.05	150	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-035	P1	F11.01	154	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-036	P1	F11.02	156	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-037	P1	F11.03	159	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-038	P1	F11.04	162	source_note	Source note label absent from figure page text.	Keep source note in caption/source block adjacent to figure.
I-0263	I0263-DEF-039	P1	F11.04	162	rights_stage	Rights stage label absent from figure page text.	Keep rights stage adjacent to figure.
I-0263	I0263-DEF-040	P1	F11.04	162	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-041	P1	F11.05	164	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-042	P1	F12.01	170	small_text	min_caption_font=6.49pt	Raise caption/source-note type size or shorten caption.
I-0263	I0263-DEF-043	P1	F12.02	174	rights_stage	Rights stage label absent from figure page text.	Keep rights stage adjacent to figure.
