balance_id	chapter	sequence_role	asset_id	source_table	decision	exhibit_job	reading_path	caption_firewall	next_dependency
I0213-DTC-001	17	rung_1_data_materiality	A-0064	data/chapter17_data_tokens_visual_package_i0126.tsv	choose	Tokenization ladder opens the arc by making text visibly material before the model acts.	Start with text becoming pieces, IDs, context budget, and prediction target.	Does not support exact tokenizer behavior, language neutrality, vocabulary size, token cost, or modern product comparison claims.	Keep before corpus/filter figures so data starts as material conversion rather than abstract scale.
I0213-DTC-002	17	rung_1_data_supply_chain	A-0065	data/chapter17_data_tokens_visual_package_i0126.tsv	choose	Web corpus filter funnel shows data as acquired, filtered, deduplicated, and documented supply.	Move from tokens to collection and curation decisions.	Does not support legality, cleanliness, representativeness, or closed proprietary corpus-share claims.	Pair with one source-card/corpus table only after quote/page permissions are normalized.
I0213-DTC-003	17	rung_1_recipe_boundary	A-0066	data/chapter17_data_tokens_visual_package_i0126.tsv	choose	Data mixture control board makes recipe choices and closed-corpus blockers visible.	Show that "data" is not one substance but a governed mixture.	Does not support exact proportions, universal best recipe, legality, or closed-model composition.	Use as Chapter 17's final technical turn into tool-context selection.
I0213-DTC-004	17	rung_1_failure_boundary	A-0067	data/chapter17_data_tokens_visual_package_i0126.tsv	reserve	Memorization/contamination blocker map is the risk surface when data becomes evidence.	Hold for a late Chapter 17 caveat beat or appendix callout.	Does not support contamination prevalence, leakage rates, legal conclusions, or solved privacy/product-safety claims.	Promote only if Chapter 17 needs a second caveat figure after render layout.
I0213-DTC-005	17	rung_1_source_texture	A-0153	data/canonical_paper_redraw_batch_i0206.tsv	reserve	Canonical tokenization boundary redraw can replace or support A-0064 if the chapter wants a paper-grounded mechanism card.	Use as source texture, not as a second tokenization explanation.	Does not support production tokenizer fairness, language cost, semantic equivalence, or closed-tokenizer behavior.	Choose either A-0064 or A-0153 as primary in final top-100 trim.
I0213-DTC-006	17	rung_1_corpus_texture	n/a	data/data_corpus_source_cards_i0203.tsv	needs_design	Corpus source-card candidates should add provenance texture around Common Crawl/C4/Pile/Dolma/FineWeb only after quote limits are fixed.	Use as small evidence cards beside the supply-chain sequence.	Does not support closed-corpus ownership, legality, representativeness, quality rank, leakage prevalence, or synthetic-share claims.	Need final source-card layout and quote/page extraction before manifestation.
I0213-DTC-007	18	rung_2_retrieval_boundary	A-0060	data/chapter18_tools_agents_visual_package_i0120.tsv	choose	RAG evidence conveyor is the first tool chapter figure because it turns data supply into selected context.	Show query, retrieval, ranking, packing, generation, citation, and audit as a system.	Does not support truth guarantees, hallucination fixes, human-like memory, or permission guarantees.	Place after Chapter 17 data-mixture discussion so retrieval reads as controlled reuse of data.
I0213-DTC-008	18	rung_2_action_boundary	A-0061	data/chapter18_tools_agents_visual_package_i0120.tsv	choose	Function-call boundary makes the membrane between language and execution explicit.	Show typed proposals crossing validation, permission, execution, and logging.	Does not support trusting model arguments, safe execution proof, or arbitrary API mastery.	Use before the agent-loop figure so action is bounded before agency is named.
I0213-DTC-009	18	rung_2_harness	A-0062	data/chapter18_tools_agents_visual_package_i0120.tsv	choose	Agent-loop harness gives Chapter 18 its main agency visual without pretending the model is a worker.	Show plan, act, observe, gate, context, and review as a bounded loop.	Does not support reliable autonomy, production planning, employee-like completion, or solved safety.	Bridge explicitly to Chapter 19 by noting that code adds executable feedback to this loop.
I0213-DTC-010	18	rung_2_attack_surface	A-0063	data/chapter18_tools_agents_visual_package_i0120.tsv	reserve	Prompt-injection boundary is the failure-mode reserve for tool-connected systems.	Use if Chapter 18 needs one more trust-boundary visual.	Does not support exploit prevalence, incident history, or universal unmitigability claims.	Promote only after final Chapter 18 length and trust-chapter overlap are checked.
