pass_id	figure_id	chapter	chapter_anchor	asset_id	asset_type	figure_title	inserted_after_heading	planned_status	rights_status	caption_gate	provenance_gate	placement_status	next_gate
I-0242	F01.01	CH01	ch01-fig01	A-0068	svg_diagram	ChatGPT Shock Chronology	The Box That Was Too Easy	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Render in full-book opener spread.
I-0242	F01.02	CH01	ch01-fig02	A-0069	svg_diagram	From Prompt to Answer, One Token at a Time	Local Alarms	selected_pending_render	ready_svg	caption_contract_ok	provenance_contract_ok	section_callout_inserted_not_final_layout	Check mobile/print legibility.
I-0242	F01.03	CH01	ch01-fig03	A-0070	svg_diagram	Local Alarms: First Institutional Response Chronology	The Hidden Factory	selected_pending_render	ready_svg	caption_contract_ok	provenance_contract_ok	section_callout_inserted_not_final_layout	Keep only if prose placement stays tight.
I-0242	F02.01	CH02	ch02-fig01	A-0115	svg_diagram	The Bottleneck Before The Breakthrough	The Older Machine	selected_pending_render	ready_svg	caption_contract_ok	provenance_contract_ok	section_callout_inserted_not_final_layout	Trace final caption to paper-source rows.
I-0242	F03.01	CH03	ch03-fig01	A-0116	svg_diagram	Attention Is A Mixing Operation, Not A Mind	The Break In The Loop	selected_pending_render	ready_svg	caption_long	provenance_contract_ok	section_callout_inserted_not_final_layout	Add exact Transformer-figure provenance before final art.
I-0242	F04.01	CH04	ch04-fig01	A-0117	svg_diagram	Loss Is A Map, Not A Product Guarantee	The Curve Before The Product	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Verify plotted-value exclusions in final caption.
I-0242	F05.01	CH05	ch05-fig01	A-0010	svg_diagram	From Pretraining To The Cursor	The Model That Learned To Begin	selected_pending_render	ready_svg	rights_or_private_use_cue_required	provenance_contract_ok	section_callout_inserted_not_final_layout	Check against Chapter 19 overlap.
I-0242	F06.01	CH06	ch06-fig01	A-0011	svg_diagram	Alignment As A Product Stack	The Model That Needed A Boss	selected_pending_render	ready_svg	caption_long;rights_or_private_use_cue_required	provenance_contract_ok	section_callout_inserted_not_final_layout	Pair with one source surface, not more diagrams.
I-0242	F06.02	CH06	ch06-fig02	A-0121	screenshot_slot	ChatGPT Product Surface	Red Teams, System Cards, And The Public Boundary	selected_pending_capture	private_capture_needed	claim_language_review;rights_or_private_use_cue_required	provenance_contract_ok	section_callout_inserted_not_final_layout	Capture screenshot/hash; rights review.
I-0242	F06.03	CH06	ch06-fig03	A-0122	screenshot_slot	ChatGPT Plus Productization Surface	What The Quote Table Allows	selected_pending_capture	private_capture_needed	claim_language_review;rights_or_private_use_cue_required	provenance_contract_ok	section_callout_inserted_not_final_layout	Capture screenshot/hash; strict caption.
