chapter	official_title	live_primary_file	primary_map_words	unique_source_ids	words_per_source	density_status	primary_sources	secondary_sources	mixed_sources	unknown_sources	primary_ratio	factual_sections	weak_factual_sections	zero_source_sections	over_400_words_per_source_sections	quote_permission_status	highest_priority_repair
01	The Shock	manuscript/01-the-shock.md	3758	17	221.1	meets	12	4	1	0	0.76	8	2	2	0	medium: several long quote-like passages require quote-role review before final typesetting	Add local source IDs to "The Answer That Lied Beautifully" and "The Central Question" or mark them as essay/synthesis rather than factual-reporting sections.
02	Before the Transformer	manuscript/01-before-the-transformer.md	3589	5	717.8	critical	5	0	0	0	1.00	9	4	2	2	medium: technical paraphrase is mostly primary-source based, but quote extraction is thin	Add Bengio/word2vec/seq2seq/attention source rows inside the weak sections rather than only in the apparatus.
03	Attention Catches Fire	manuscript/02-attention-catches-fire.md	3558	5	711.6	critical	5	0	0	0	1.00	10	1	1	0	medium: Transformer paper permissions are safe for paraphrase, but any figure/phrase use needs redraw or quote row	Add source IDs to "What The Transformer Did Not Solve" and split architecture claims from interpretation.
04	The Scaling Bet	manuscript/03-scaling-bet.md	3564	6	594.0	critical	6	0	0	0	1.00	12	1	1	0	medium: scaling-law quotes/figures need row-specific extraction	Add source IDs to "What Scaling Did Not Buy" and preserve measured/modeled/interpretive lanes in citations.
05	GPT-1 to GPT-3: The Door Opens	manuscript/05-gpt-1-to-gpt-3-door-opens.md	5277	9	586.3	critical	9	0	0	0	1.00	13	2	1	1	medium: OpenAI paper/post phrases need quote-safe rows before pull quotes	Add source support to "The Platform Primitive" and tighten the API/platform section with launch/source IDs.
06	Alignment Enters the Product	manuscript/06-alignment-enters-product.md	4944	10	494.4	critical	10	0	0	0	1.00	14	4	3	1	high: alignment chapters explicitly depend on quote-safe rows and policy-language caution	Move quote-safe alignment rows beside the weak assistant/refusal/interface sections and avoid long policy phrasing without extraction.
07	ChatGPT: The Interface Event	manuscript/07-chatgpt-interface-event.md	4946	23	215.0	meets	17	5	1	0	0.78	8	5	2	3	high: product/adoption/reception wording needs local source-role labels	Repair dense-but-weak factual sections where adoption, interface, and institution claims are spread across too few local citations.
08	Microsoft, OpenAI, and the Cloud Bargain	manuscript/08-microsoft-openai-cloud-bargain.md	3741	8	467.6	critical	8	0	0	0	1.00	12	5	5	0	medium: partnership and enterprise language needs quote/source-role separation	Add citations to backend, mutual dependence, search/Office, inference-rent, and final bargain sections.
09	Google and DeepMind Wake the Sleeping Giant	manuscript/09-google-deepmind-gemini.md	3822	16	238.9	meets	16	0	0	0	1.00	11	2	2	0	medium: vendor product framing should not become success/adoption proof	Add source IDs to opening research-depth and closing open-race sections.
10	Meta, Llama, and the Open-Weight Shock	manuscript/10-meta-llama-open-weight-shock.md	3695	8	461.9	critical	8	0	0	0	1.00	10	2	2	0	medium: license/open-weight wording needs quote and version caution	Add citations to control-stack and "What Llama Changed" sections; keep license/current-status claims row-bound.
11	The Chinese Frontier	manuscript/11-chinese-frontier-open-models.md	3594	6	599.0	critical	6	0	0	0	1.00	9	4	4	0	high: gap lanes need source permission before narrative prose	Add source IDs or explicit gap-row references to openness, missing rows, multipolar frontier, and final permission sections.
12	Europe, xAI, and the Rest of the Frontier / Anthropic and Claude conflict	manuscript/12-europe-xai-rest-frontier.md;manuscript/12-anthropic-and-claude-spine-section.md	7263	22	330.1	thin	22	0	0	0	1.00	15	4	3	1	high: structurally conflicted chapter increases quote and source-role risk	Resolve chapter-slot conflict, then localize citations in rest-of-frontier and Anthropic behavior-brand sections.
13	Benchmarks, Arenas, and the Mirage of Rank	manuscript/13-model-rankings-appendix.md	3691	10	369.1	thin	10	0	0	0	1.00	9	2	1	1	high: leaderboard/rank claims require snapshot and scaffold contracts	Add source IDs to the historical slice and editorial contract; keep every rank/date/model/scaffold local.
14	NVIDIA and CUDA: The Moat Under the Moat	manuscript/14-nvidia-cuda-moat.md	3819	15	254.6	thin	15	0	0	0	1.00	8	4	3	1	medium: roadmap/spec wording must stay vendor-attributed	Add source IDs to platform, parallelism, and hardware-middle guardrail sections.
15	GTC 2026: The AI Factory Sells Itself	manuscript/15-gtc-2026-ai-factory-sells-itself.md	4589	8	573.6	critical	8	0	0	0	1.00	11	2	2	0	high: GTC slides are source-actor rhetoric, not independent proof	Add page-level GTC source IDs to capital-equipment and hinge sections; label roadmap/stagecraft claims inline.
16	Datacenters, Power, and the Physical Internet	manuscript/16-speed-to-power.md	5026	8	628.2	critical	6	2	0	0	0.75	10	4	2	2	high: physical/infrastructure claims need measured/scenario/source-role separation	Add local citations to land/useful-capacity/interconnection sections and split report, survey, forecast, and photo evidence.
17	Data, Tokens, and the Library Problem	manuscript/17-data-tokens-library-problem.md	3787	19	199.3	meets	19	0	0	0	1.00	10	4	4	0	medium: corpus/legal language needs explicit blocker rows	Add citations to library, synthetic data, data-moat, and refusal sections or recast them as synthesis.
