plan_id	workflow	source_types	intended_command_or_script	output_locations	required_hashes	ledger_updates	git_safety	robots_rights_note	validation_gate
SDAP-0183-001	source job intake	web pages;docs;pricing pages;leaderboards;screenshots;PDFs;decks	planned scripts/source_capture.ps1 or scripts/source_capture.py reads a TSV queue row and refuses missing source_id/url/accessed_at/capture_method	data/source_snapshots/YYYY-MM-DD/ for HTML/text/JSON; assets/source_snapshots/YYYY-MM-DD/ for screenshots/content intended as visual evidence	sha256 for every committed capture note or lightweight file; sha256 note for ignored heavy media	data/source_download_capture_queue_i0183.tsv;data/source_download_capture_log_i0183.tsv;sources.tsv notes only after capture succeeds	Queue and logs are committed; large binaries stay ignored unless explicitly allowed	Record robots/terms/rights note before capture; private/account-specific pages marked console-limited	Queue row validates required fields and target path before any network/browser work.
SDAP-0183-002	static paper/PDF capture	arXiv papers;official PDFs;system cards;technical reports	planned script downloads or records local PDF path, hashes it, and emits metadata without committing heavyweight PDFs by default	data/source_snapshots/YYYY-MM-DD/ capture note plus ignored assets/source_media/YYYY-MM-DD/ optional local PDF path	sha256 of PDF or capture note; optional page-render hashes for selected pages	source_snapshot_protocol.tsv row; sources.tsv note; assets_manifest.tsv only for rendered page/screenshot assets	*.pdf remains ignored except explicitly allowlisted text/markdown; commit note/hash not binary	Prefer official source URLs; record license/terms/fair-use plan for any page render	Hash-only row is acceptable if PDF is local and ignored; page refs required before figure extraction.
SDAP-0183-003	web HTML/text capture	company posts;docs;model cards;pricing pages;policy pages	planned script fetches HTML/text when allowed; if blocked, writes capture-note with status and fallback route	data/source_snapshots/YYYY-MM-DD/YYYY-MM-DD__SOURCEID__source-kind__slug__html.html or __capture-note.txt	sha256 of HTML/text/note	source_snapshot_protocol.tsv row; sources.tsv note only if claim-ready	Commit lightweight HTML/text if size is reasonable; do not commit browser cache or profile	Record HTTP status, redirects, robots/terms observation, dynamic-page caveat, and quote limit	Local path exists and hash matches ledger.
SDAP-0183-004	browser screenshot capture	product pages;leaderboards;source pages;docs surfaces	planned browser capture saves PNG outside Git under assets/private_use_screenshots/... and writes hash/log row	data/source_snapshots/YYYY-MM-DD/ capture note; assets/private_use_screenshots/... ignored raster	sha256 of PNG; optional html_sha256; viewport; URL; page title; captured_at	assets_manifest.tsv after capture; source_download_capture_log_i0183.tsv; optional screenshot queue row	assets/**/*.png ignored; only manifest/hash/log committed	Caption must say private-use/fair-use review pending unless rights cleared	No final layout use until raster hash, source URL, capture time, rights status, and blocked claims exist.
SDAP-0183-005	deck/local PDF page rendering	GTC-2026-Keynote.pdf;other local decks	planned render script outputs selected page images to ignored assets/... and writes dimensions/hash/page rows	assets/gtc_2026/slides/ or assets/source_snapshots/YYYY-MM-DD/ ignored images; data rendered-page TSVs committed	sha256 of source PDF; sha256 of each rendered page; dimensions; page number	assets_manifest.tsv for selected rendered pages; page notes TSV; claims.tsv only for specific supported claims	Rendered PNG/JPG ignored; commit page metadata and captions only	Use as source-actor evidence; rights/fair-use review remains separate	Every rendered page row has source PDF hash, page number, image hash, dimensions, caption blocker.
SDAP-0183-006	normalized data extraction	leaderboards;pricing tables;benchmark dashboards;CSV/JSON APIs	planned extractor reads captured snapshot and emits normalized TSV with snapshot_id/source_id/date/caveat fields	data/*.tsv normalized table; data/source_snapshots/YYYY-MM-DD/ raw JSON/HTML when lightweight	sha256 of raw capture; optional hash of normalized table in note	claims.tsv only after row-level normalization; chart data TSVs cite snapshot_id	Commit normalized TSV; keep raw heavyweight/API dumps out if too large	No row can imply live rank/current price unless access date and scope are explicit	Every normalized row cites snapshot_id, source_id, metric definition, scope, and blocker.
SDAP-0183-007	rights and quote review	all direct quotes;screenshots;photos;source cards	planned review script/table checks quote_limit_words, rights_status, source_url, and blocked_claims before promotion	data/source_rights_quote_review_i0183.tsv;source-card candidate tables;assets_manifest.tsv	n/a for review rows; source hashes cited by ID	assets_manifest.tsv rights_or_private_use_note; claims.tsv caveat if claim promoted	Review rows are lightweight and committed; no copyrighted bulk text copied	Direct quotes default to <=25 words/source and paraphrase fallback is recorded	No quote card or screenshot enters final top-100 without review row.
SDAP-0183-008	manifest synchronization	visual snapshots;rendered pages;screenshots;photos;SVG redraws	planned manifest sync emits draft asset rows from capture logs for human/agent review	assets_manifest.tsv plus data/source_download_capture_log_i0183.tsv	reuse capture hashes; no duplicate binary hash fields in manifest if log row has them	assets_manifest.tsv;master_100 selection matrix if promoted	Commit manifest rows; do not stage ignored rasters with git add -f unless user explicitly changes rules	Rights/private-use note required for every visual row	Field audit: caption, source_url_or_path, creator, accessed_date, story_purpose, rights/private-use note.
SDAP-0183-009	gitignore and pre-commit audit	all acquisition work	planned check lists staged files over size/type threshold and fails on ignored heavy extensions	git status/diff reports; optional data/git_safety_audit_i0183.tsv	n/a	commit message references pass ID and file list	Existing .gitignore blocks PDFs, images, archives, audio, video, caches, rendered output; keep it that way	If a heavy file is needed, record path/hash and rationale, not binary	Before commit, status shows only TSV/MD/SVG/lightweight sources intended for pass.
SDAP-0183-010	error handling and rejection	all capture jobs	planned script writes rejected/blocked rows instead of silently skipping failures	data/source_download_capture_log_i0183.tsv;date-specific capture-note files	sha256 of capture note if no source capture exists	source_snapshot_protocol.tsv status capture_blocked/rejected/superseded; claims not promoted	Blocked notes are committed as evidence; no retry loops that hide failures	Record 403, paywall, robots, binary payload, account requirement, or dynamic render caveat	Blocked capture still leaves auditable queue/log row and does not support new claims.
