review_id	asset_id	candidate_id	photo_need	source_url	evidence_status	license_or_status	attribution_text	use_decision	caption_allowed	blocked_claims	next_action
IPR-0207-001	A-0133	PPH-0181-001	ASML machine / lithography proxy	https://commons.wikimedia.org/wiki/File:Extreme_ultraviolet_lithography_tool.jpg	verified_public_page	Public domain / U.S. government source, Lawrence Livermore National Laboratory	Photo: Lawrence Livermore National Laboratory / U.S. Department of Energy, public domain	rights_ready_proxy_not_machine_specific	Show EUV/lithography physical scale as chipmaking texture; not an ASML machine proof.	ASML-specific machine, node, yield, capacity, supplier rank, production allocation, export-control effect, AI-chip output	If used, caption as lithography proxy; keep ASML-specific shot as separate unresolved target.
IPR-0207-002	A-0134	PPH-0181-002	cleanroom manufacturing environment	https://commons.wikimedia.org/wiki/File:Clean_room.jpg	verified_public_page	Public domain / NASA	NASA, public domain	rights_ready_public_domain	Show controlled manufacturing environment and protective workflow texture.	TSMC-specific fab, named process node, yield, production output, AI-chip output, supplier rank	Use as generic cleanroom environment only.
IPR-0207-003	A-0135	PPH-0181-003	silicon wafer substrate	https://commons.wikimedia.org/wiki/File:Silicon_wafer.jpg	verified_public_page	Public domain / creator Inductiveload	Inductiveload, public domain, via Wikimedia Commons	rights_ready_public_domain	Show wafer substrate and material scale before packaging.	accelerator identity, process node, yield, die count, foundry, customer, product allocation	Use as generic wafer substrate; pair with technical caption, not business inference.
IPR-0207-004	A-0136	PPH-0181-004	server rack physical texture	https://commons.wikimedia.org/wiki/File:Front_of_server_racks_at_NERSC.jpg	verified_public_page	CC0/public-domain-compatible / NERSC-Derrick Coetzee	NERSC / Derrick Coetzee, CC0	rights_ready_cc0	Show server racks as room-scale infrastructure texture.	GPU count, workload, utilization, model training, operator claim, power draw, network topology	Use as infrastructure texture only.
IPR-0207-005	A-0137	PPH-0181-005	datacenter hall	https://commons.wikimedia.org/wiki/File:Datacenter_Server_Racks_(22370909788).jpg	Flickr-derived Commons file	CC BY 2.0 / Carl Lender	Photo: Carl Lender, CC BY 2.0, via Wikimedia Commons	conditional_ready_attribution_required	Show datacenter hall scale and repeated-rack visual rhythm.	hidden workload, energy use, operator, hardware generation, training run, site capacity	Preserve original Flickr license trail and exact revision before final layout.
IPR-0207-006	A-0138	PPH-0181-006	datacenter exterior cooling/support equipment	https://commons.wikimedia.org/wiki/File:Outdoor_cooling_equipment_at_NERSC_(2).jpg	verified_public_page	CC0/public-domain-compatible / Derrick Coetzee or NERSC	Photo: Derrick Coetzee / NERSC, CC0	rights_ready_cc0	Show exterior cooling and support equipment as datacenter physical plant.	internal hardware, power, fuel, workload, training system, service capacity	Use as cooling/support texture only.
IPR-0207-007	A-0139	PPH-0181-007	substation grid infrastructure	https://commons.wikimedia.org/wiki/File:Electrical_Substation.JPG	verified_public_page	Public domain / Wtshymanski	Wtshymanski, public domain, via Wikimedia Commons	rights_ready_public_domain	Show grid interconnection texture and electrical scale.	site service, capacity, energized state, reliability, fuel mix, datacenter contract	Use as generic substation image only.
IPR-0207-008	A-0140	PPH-0181-008	transmission lines	https://commons.wikimedia.org/wiki/File:Overhead_Transmission_Lines.jpg	exact_target_not_verified	unresolved; replacement candidate should be separately verified	attribution pending	replace_or_reverify_exact_target	Show transmission dependency only.	congestion, interconnection queue, data-center service, voltage, reliability, delivered capacity	Use a verified replacement candidate or re-open exact Commons file page before final layout.
IPR-0207-009	A-0141	PPH-0181-009	gas turbine power plant	https://commons.wikimedia.org/wiki/File:Gas_Turbine_Power_Plant.JPG	exact_target_not_verified	unresolved; replacement candidate public-domain Altbach gas turbine by Zonk43	attribution pending	replace_or_reverify_exact_target	Show gas turbine speed-to-power texture only.	data-center deployment, runtime, emissions, fuel contract, delivered capacity, PPA	Replace with a verified gas-turbine candidate or reverify exact file.
IPR-0207-010	A-0142	PPH-0181-010	battery energy storage	https://commons.wikimedia.org/wiki/File:Air-cooled_industrial_and_commercial_battery_energy_storage_system.jpg	verified_public_page	CC0/public-domain-compatible	creator/Commons contributor, CC0, via Wikimedia Commons	rights_ready_cc0	Show storage infrastructure as a power-system component.	solved intermittency, interconnection status, AI-site use, power duration, supplier, economics	Use as generic storage infrastructure only.
IPR-0207-011	A-0143	PPH-0181-011	nuclear/cooling tower	https://commons.wikimedia.org/wiki/File:Davis_Besse_cooling_tower.jpg	exact_target_not_verified	unresolved; possible CC BY-SA replacement needs attribution	attribution pending	replace_or_reverify_exact_target	Show cooling/nuclear texture only.	delivered nuclear power, PPA, SMR deployment, emissions, data-center service, generation capacity	Reverify exact file or pick a clear public-domain/CC replacement.
IPR-0207-012	A-0144	PPH-0181-012	cooling tower	https://commons.wikimedia.org/wiki/File:Cooling_tower.jpg	exact_target_not_verified	unresolved	attribution pending	replace_or_reverify_exact_target	Show cooling infrastructure texture only.	data-center cooling method, water consumption, heat load, site efficiency, operator	Reverify exact file or replace with a specific licensed cooling tower image.
