asset_id	target_chapter	exhibit_type	source_or_candidate	source_url_or_path	status_after_pass	execution_path	required_hash_or_proof	rights_basis	alt_caption	story_purpose	blocked_claims	next_action
A-0036	01/07	product screenshot	OpenAI ChatGPT launch page	https://openai.com/index/chatgpt/	private_use_capture_priority	assets/private_use_screenshots/i0112/A-0036_chatgpt_launch_page.png	PNG SHA256, capture date, viewport, browser, source URL, and archive fallback if live page changed	OpenAI product page; private-use/fair-use review required before publication	OpenAI's ChatGPT launch page as a product surface, shown as company-attributed interface history rather than adoption proof.	Give Chapter 1 or 7 one recognizable product surface beside the launch/reception diagrams.	Adoption; revenue; fastest-growing-service superlative; productivity; market share; current product behavior.	Capture live page or archive fallback, then record hash without committing raster.
A-0037	07	product screenshot	OpenAI ChatGPT Plus page	https://openai.com/index/chatgpt-plus/	private_use_capture_priority	assets/private_use_screenshots/i0112/A-0037_chatgpt_plus_page.png	PNG SHA256, capture date, viewport, browser, source URL, and date-specific caption	OpenAI product page; private-use/fair-use review required before publication	ChatGPT Plus as a paid reliability surface, captioned only as product packaging at the time of the source page.	Show the conversion from public demo to subscription surface.	Subscriber count; revenue; reliability outcomes; user satisfaction; current feature availability.	Capture only if Chapter 7 spread needs productization texture after A-0036.
A-0038	07/08	product screenshot	OpenAI ChatGPT Enterprise launch page	https://openai.com/index/introducing-chatgpt-enterprise/	private_use_capture_priority	assets/private_use_screenshots/i0112/A-0038_chatgpt_enterprise_page.png	PNG SHA256, capture date, viewport, browser, source URL, and source-role label	OpenAI product page; private-use/fair-use review required before publication	OpenAI's Enterprise launch page as vendor framing for admin and workplace controls, not proof of customer results.	Connect ChatGPT productization to enterprise packaging and governance.	Customer adoption; productivity; ROI; revenue; security outcomes; deployment scale.	Capture page header/control framing; keep customer claims in claims ledger only.
A-0039	07/18	product screenshot	OpenAI ChatGPT plugins page	https://openai.com/index/chatgpt-plugins/	private_use_capture_priority	assets/private_use_screenshots/i0112/A-0039_chatgpt_plugins_page.png	PNG SHA256, capture date, viewport, browser, source URL, and archive fallback if needed	OpenAI product page; private-use/fair-use review required before publication	Plugins as an attributed bridge from sealed chat toward tools, not evidence of a durable ecosystem.	Bridge Chapter 7 productization to Chapter 18 tool-use architecture.	Plugin adoption; ecosystem stability; task success; revenue; general autonomy.	Capture only after deciding whether Chapter 18 needs a real product surface.
A-0041	20	documentation screenshot	Claude Code best-practices docs	assets/source_docs/coding_agents/S-0049_claude-code-best-practices.html	source_page_hash_recorded_screenshot_pending	assets/private_use_screenshots/i0112/A-0041_claude_code_best_practices.png	local HTML SHA256 D627F624A8FE2C175708F0DF3CDCD9254D745C200AED1AF906E5D70A95D972E9; PNG hash still required	Anthropic documentation captured locally; private-use/fair-use review required before publication	Claude Code workflow guidance as documentation of a supervised work loop, not productivity evidence.	Give Chapter 20 one real source surface beside the repository-loop diagrams.	Productivity; adoption; autonomous engineering; code quality; secure-by-default agents.	If Chapter 20 gets one Claude Code screenshot, prefer A-0042 first and keep this as backup.
A-0042	20	documentation screenshot	Claude Code security and permissions docs	assets/source_docs/coding_agents/S-0050_claude-code-security.html	source_page_hash_recorded_screenshot_pending	assets/private_use_screenshots/i0112/A-0042_claude_code_security_permissions.png	local HTML SHA256 5F9C66BFFA364514ED30F09609540E320ACDF86F33767198F8172A11BC50610F; PNG hash still required	Anthropic documentation captured locally; private-use/fair-use review required before publication	Claude Code permission/security surface, captioned as a control boundary rather than a safety guarantee.	Make human permission and tool trust visible in the coding-agent chapter.	Secure-by-default; universal safety; vulnerability prevalence; productivity; enterprise outcome claims.	Priority Chapter 20 capture; render local HTML, screenshot permission section, and hash raster outside git.
A-0043	20	documentation screenshot	Claude Code common workflows docs	assets/source_docs/coding_agents/S-0051_claude-code-common-workflows.html	source_page_hash_recorded_screenshot_pending	assets/private_use_screenshots/i0112/A-0043_claude_code_common_workflows.png	local HTML SHA256 EA7F28F47F503605C08CB6F4FBD32F0D9837B57EFE9140D9EDDBB95F8A2042A6; PNG hash still required	Anthropic documentation captured locally; private-use/fair-use review required before publication	Common-workflows documentation as a source surface for repo-task lifecycle.	Show ordinary coding-agent workflow texture without asserting outcomes.	Enterprise adoption; time savings; code quality; autonomy; developer replacement.	Use only if Chapter 20 needs a workflow screenshot in addition to a permission-boundary surface.
A-0044	10	product/source screenshot	Meta LLaMA launch page	assets/source_docs/meta/S-0111_llama-1-meta-ai-blog.html	source_page_hash_recorded_screenshot_pending	assets/private_use_screenshots/i0112/A-0044_llama_launch_page.png	local HTML SHA256 950EDFDA0F45B68F1D052D6E54AC952AD0E13A69776B3D653025A418C84D6A4C; PNG hash still required	Meta page captured locally; private-use/fair-use review required before publication	LLaMA launch surface as a release artifact, not a current license or ecosystem claim.	Anchor Chapter 10's open-weight shock in a real source page.	Open-source equivalence; current license freedom; adoption; popularity; safety; benchmark superiority.	Lower priority than A-0047 unless Chapter 10 needs the launch moment specifically.
A-0047	10/19	repository screenshot	Meta Llama GitHub repository	assets/source_docs/meta/S-0114_meta-llama-github.html	source_page_hash_recorded_screenshot_pending	assets/private_use_screenshots/i0112/A-0047_llama_github_repo.png	local HTML SHA256 0D692FF9E63AE327ECF164A760CE7D70EF4024B1120D89459C001C28334ADE48; PNG hash still required	GitHub page captured locally; private-use/fair-use review required before publication	The Llama repository as a developer-facing artifact, with mutable stars/files excluded from the caption.	Show open weights as operational developer infrastructure rather than slogan.	Stars/forks; adoption; current repository state as cutoff fact; ecosystem size; lower deployment cost.	Priority Chapter 10 source capture if only one Meta surface fits.
A-0048	11	source screenshot	Qwen2 arXiv abstract page	assets/source_docs/china/S-0026_qwen2-arxiv-abs.html	source_page_hash_recorded_screenshot_pending	assets/private_use_screenshots/i0112/A-0048_qwen2_arxiv_abs.png	local HTML SHA256 5DCC242357EE6FAFA545E31E0FB6B6248D1A9515850B502F5E41C2E07EA507FB; PNG hash still required	arXiv source surface; private-use/fair-use review required before publication	Qwen2 abstract surface as earlier supported source texture, not a ranking or capability claim.	Let Chapter 11 show a primary-document lane before the later Qwen3 surface.	Benchmark superiority; current rank; adoption; Qwen 3.5/3.6; market share; model-family completeness.	Use as backup if Qwen3 screenshot is too late-stage for the desired chapter beat.
