pass_id	extraction_id	card_asset_id	surface_id	source_surface_asset_id	chapter	source_id	source_title	source_url_or_path	source_anchor	card_title	card_status	quote_text	quote_words	local_evidence	paraphrase_final_label	blocked_claims	redraw_path	placement_note	rights_stage	card_svg_path	svg_sha256
I-0260	SC-0260-001	A-0260-001	SSF-0259-001	A-0259-001	7	S-0078	OpenAI ChatGPT Plus launch text render	https://openai.com/index/chatgpt-plus/	SNAP-20260525-013	Paid access became a product surface	quote_safe_svg_ready_page_proof_pending	$20/month	2	data/source_snapshots/2026-05-25/2026-05-25__S-0078__product-post__chatgpt-plus__text-render.md:51	The ChatGPT research preview became a subscription product with dated launch-price evidence.	Does not prove subscribers, revenue, retention, model quality, or current UI.	Use a pricing/productization card; do not reproduce the full launch page.	Chapter 7 productization beat.	original_svg_from_source_surface_private_use_page_proof_pending	assets/source_cards/i0260/sc-0260-001-paid-access-became-a-product-surface.svg	9fd7cba8266421a0099486dbb648c4c535b92210b09aaf19e696fe129f7c7c74
I-0260	SC-0260-002	A-0260-002	SSF-0259-002	A-0259-002	7	S-0079;S-0089	OpenAI ChatGPT Enterprise launch text render	https://openai.com/index/introducing-chatgpt-enterprise/	SNAP-20260525-026	Enterprise ChatGPT added workplace controls	quote_safe_svg_ready_page_proof_pending	admin console	2	data/source_snapshots/2026-05-25/2026-05-25__S-0079__product-post__chatgpt-enterprise__text-render.md:18	The enterprise page turns a chat product into an administered workplace system.	Does not prove adoption, Fortune 500 deployment, productivity, security, or revenue.	Show control categories as a source card, not a raw vendor page.	Chapter 7 enterprise packaging beat.	original_svg_from_source_surface_private_use_page_proof_pending	assets/source_cards/i0260/sc-0260-002-enterprise-chatgpt-added-workplace-controls.svg	4cc95e192635553d7284a645324dfba07e659da781b41b616f7759047db01c5d
I-0260	SC-0260-003	A-0260-003	SSF-0259-003	A-0259-003	18	S-0089	OpenAI ChatGPT release notes source surface	https://help.openai.com/en/articles/6825453-chatgpt-release-notes	SNAP-20260525-014	Release notes are product archaeology	quote_safe_svg_ready_page_proof_pending	release notes	2	data/source_snapshots/2026-05-25/2026-05-25__S-0089__release-notes__chatgpt-release-notes__text-render.md:1	The running release-note surface supports dated product-change claims without proving usage.	Does not prove stable feature availability, usage, plugin adoption, or ecosystem quality.	Create a dated release-note timeline card with quoted labels only.	Chapter 18 tool/product evolution beat.	original_svg_from_source_surface_private_use_page_proof_pending	assets/source_cards/i0260/sc-0260-003-release-notes-are-product-archaeology.svg	09d11e362c10ba7dc6311760d2da445baa1aae71ec1dcb329ba74304cac3207e
I-0260	SC-0260-004	A-0260-004	SSF-0259-004	A-0259-004	6	S-0074;S-0075	OpenAI Model Spec behavior surface	https://cdn.openai.com/spec/model-spec-2024-05-08.html	SNAP-20260525-005	Behavior became a written product spec	quote_safe_svg_ready_page_proof_pending	objectives, rules, and defaults	4	data/source_snapshots/2026-05-25/2026-05-25__S-0075__behavior-specification__openai-model-spec-2024-05-08__html.html:577	The Model Spec is useful as behavior-spec evidence, not as proof of actual model behavior.	Does not prove alignment success, safety, or actual deployed policy behavior.	Use a three-part spec diagram: objectives, rules, defaults.	Chapter 6 alignment machinery beat.	original_svg_from_source_surface_private_use_page_proof_pending	assets/source_cards/i0260/sc-0260-004-behavior-became-a-written-product-spec.svg	b2a74e71a581143770e034e4a0a5fa12526a4478453f471712f8e74b9eaa701c
I-0260	SC-0260-005	A-0260-005	SSF-0259-005	A-0259-005	6	S-0076	OpenAI GPT-4 System Card first page	https://cdn.openai.com/papers/gpt-4-system-card.pdf	SNAP-20260525-006 page 1	System cards expose the risk ledger	quote_safe_svg_ready_page_proof_pending	GPT-4 System Card	3	data/source_snapshots/2026-05-25/2026-05-25__S-0076__system-card__gpt-4-system-card__pdf.pdf; SNAP-20260525-006 page 1	The first-page render anchors the chapter's safety-documentation lane.	Does not prove risk mitigation success or deployment-level safety.	Use a document-cover source card with risk-ledger annotations.	Chapter 6 system-card source texture.	original_svg_from_source_surface_private_use_page_proof_pending	assets/source_cards/i0260/sc-0260-005-system-cards-expose-the-risk-ledger.svg	0416ea6996fe6721e82aa9587922576141298e3e0507f72365c513083f62218f
I-0260	SC-0260-006	A-0260-006	SSF-0259-006	A-0259-006	6	S-0077	OpenAI GPT-4o System Card first page	https://cdn.openai.com/gpt-4o-system-card.pdf	SNAP-20260525-007 page 1	Multimodal models kept the card habit	quote_safe_svg_ready_page_proof_pending	GPT-4o System Card	3	data/source_snapshots/2026-05-25/2026-05-25__S-0077__system-card__gpt-4o-system-card__pdf.pdf; SNAP-20260525-007 page 1	The later system-card surface shows safety documentation continuing into multimodal releases.	Does not prove safety, benchmark superiority, or current model behavior.	Use a side-by-side system-card chronology tile.	Chapter 6 multimodal safety handoff.	original_svg_from_source_surface_private_use_page_proof_pending	assets/source_cards/i0260/sc-0260-006-multimodal-models-kept-the-card-habit.svg	70f61d06856809945d702bc4a072211f21d0202e3b448d5a6e63b1fd1d2ddc9d
I-0260	SC-0260-007	A-0260-007	SSF-0259-007	A-0259-007	13	S-0080	LMArena historical dataset JSON surface	https://datasets-server.huggingface.co/rows?dataset=lmarena-ai%2Fleaderboard-dataset	SNAP-20260525-008	Leaderboards are datasets before they are crowns	quote_safe_svg_ready_page_proof_pending	leaderboard-dataset	1	data/source_snapshots/2026-05-25/2026-05-25__S-0080__historical-dataset__lmarena-text-style-control-latest__json.json; SNAP-20260525-008	The captured JSON page makes arena evidence a dated data surface, not a live superiority claim.	Does not prove live May 24 rank, quality, price, or general model superiority.	Use a dataset-row card with capture date and blocked live-rank footer.	Chapter 13 evaluation literacy.	original_svg_from_source_surface_private_use_page_proof_pending	assets/source_cards/i0260/sc-0260-007-leaderboards-are-datasets-before-they-are-crowns.svg	365b72b787cd2f3494164f96c240e6b10ad132a3ff1be54109eb133865eb8fd9
I-0260	SC-0260-008	A-0260-008	SSF-0259-008	A-0259-008	22	S-0081;S-0082	Mistral pricing source surface	https://mistral.ai/pricing	SNAP-20260525-011	Token economics need a dated price surface	quote_safe_svg_ready_page_proof_pending		0	data/source_snapshots/2026-05-25/2026-05-25__S-0081__pricing-page__mistral-ai-pricing__html.html; SNAP-20260525-011	The pricing page can anchor economics prose only as a captured provider page.	Does not prove current price, margin, revenue, or price-quality superiority.	Redraw prices as a dated table after current-price verification.	Chapter 22 inference economics.	original_svg_from_source_surface_private_use_page_proof_pending	assets/source_cards/i0260/sc-0260-008-token-economics-need-a-dated-price-surface.svg	1604fa01ee4b35bbc43b4363f8c43f875b48ee99ec5b6d7d1e4624883c762187
I-0260	SC-0260-009	A-0260-009	SSF-0259-009	A-0259-009	9	S-0121	Google Gemini launch blog source surface	https://blog.google/products/gemini/google-gemini-ai/	S-0121 local capture	Gemini arrived as a public product	quote_safe_svg_ready_page_proof_pending	Gemini	1	assets/source_docs/google_deepmind/S-0121_google-gemini-ai-launch-blog.html:12	The Google launch surface supports product-entry chronology, not search-share or adoption claims.	Does not prove Search-share effect, adoption, benchmark rank, safety, or current UI.	Use a Google product-launch source card with one dated label.	Chapter 9 Google response.	original_svg_from_source_surface_private_use_page_proof_pending	assets/source_cards/i0260/sc-0260-009-gemini-arrived-as-a-public-product.svg	3a928ed967bfa83a181812af5692de9ca422188d6e3e08ad214ae3bce2645ebf
I-0260	SC-0260-010	A-0260-010	SSF-0259-010	A-0259-010	9	S-0122	Bard becomes Gemini source surface	https://blog.google/products/gemini/bard-gemini-advanced-app/	S-0122 local capture	Bard became Gemini at the interface	quote_safe_svg_ready_page_proof_pending	Bard	1	assets/source_docs/google_deepmind/S-0122_bard-becomes-gemini-blog.html:12	The naming transition is useful evidence for interface packaging and brand consolidation.	Does not prove usage, model quality, Search displacement, or revenue.	Use a rename-arrow card with source date and blocked usage claims.	Chapter 9 product renaming beat.	original_svg_from_source_surface_private_use_page_proof_pending	assets/source_cards/i0260/sc-0260-010-bard-became-gemini-at-the-interface.svg	394bf4c020b1b60852cd8a408aa3bbef45821ca4a77ef6877fdee4b853ec8dca
I-0260	SC-0260-011	A-0260-011	SSF-0259-011	A-0259-011	9	S-0117	Gemini 1.5 arXiv source surface	https://arxiv.org/abs/2403.05530	S-0117 local capture	Technical reports belong beside product pages	quote_safe_svg_ready_page_proof_pending	Gemini 1.5	2	assets/source_docs/google_deepmind/S-0117_gemini15-arxiv-abs.html:4	The arXiv page pairs the product story with a citable technical-report surface.	Does not prove current benchmark rank or product availability.	Use a paper-source card with abstract-page metadata only.	Chapter 9 model-family evidence.	original_svg_from_source_surface_private_use_page_proof_pending	assets/source_cards/i0260/sc-0260-011-technical-reports-belong-beside-product-pages.svg	0e489748f5257d491dd77a78dae05617fabf8ae0c3c9e300577dca84879a7224
I-0260	SC-0260-012	A-0260-012	SSF-0259-012	A-0259-012	10	S-0111	Meta LLaMA launch blog source surface	https://ai.meta.com/blog/large-language-model-llama-meta-ai/	S-0111 local capture	LLaMA was a release artifact	quote_safe_svg_ready_page_proof_pending	LLaMA	1	assets/source_docs/meta/S-0111_llama-1-meta-ai-blog.html:3	The Meta launch page anchors the open-weight turn as a release event.	Does not prove adoption, current license, downloads, safety, or benchmark superiority.	Use a release-card treatment; no adoption or license-currentness inference.	Chapter 10 open-model turn.	original_svg_from_source_surface_private_use_page_proof_pending	assets/source_cards/i0260/sc-0260-012-llama-was-a-release-artifact.svg	616fdaa1175f6c48c98fc2a579623ec3d30c91208656ae2e30a79f288ed74e0d
I-0260	SC-0260-013	A-0260-013	SSF-0259-013	A-0259-013	10	S-0114	Meta Llama GitHub repository source surface	https://github.com/meta-llama/llama	S-0114 local capture	Open weights became developer infrastructure	quote_safe_svg_ready_page_proof_pending	GitHub	1	assets/source_docs/meta/S-0114_meta-llama-github.html:21	The repository surface shows the developer artifact layer of the open-weight story.	Does not prove stars, forks, current license, popularity, or deployment.	Use a repository anatomy card with current metrics removed.	Chapter 10 developer-distribution beat.	original_svg_from_source_surface_private_use_page_proof_pending	assets/source_cards/i0260/sc-0260-013-open-weights-became-developer-infrastructure.svg	6595350dffbdf9935c4de3fb5d90f1407a969a346ba07fbafc105f4bcd7ad423
I-0260	SC-0260-014	A-0260-014	SSF-0259-014	A-0259-014	11	S-0026	Qwen2 arXiv source surface	https://arxiv.org/abs/2407.10671	S-0026 local capture	Qwen evidence starts with the paper	quote_safe_svg_ready_page_proof_pending	Qwen2	1	assets/source_docs/china/S-0026_qwen2-arxiv-abs.html:4	The arXiv surface supports a bounded Qwen2 lane without later-family drift.	Does not prove benchmark rank, adoption, or later Qwen family claims.	Use a paper-card surface with family/version guardrails.	Chapter 11 China model lane.	original_svg_from_source_surface_private_use_page_proof_pending	assets/source_cards/i0260/sc-0260-014-qwen-evidence-starts-with-the-paper.svg	ac2eda069e51d3f255453cd576a22ec399f8da2053b315371f768fa170de4824
I-0260	SC-0260-015	A-0260-015	SSF-0259-015	A-0259-015	11	S-0027	Qwen3 arXiv source surface	https://arxiv.org/abs/2505.09388	S-0027 local capture	Qwen3 needs its own dated anchor	quote_safe_svg_ready_page_proof_pending	Qwen3	1	assets/source_docs/china/S-0027_qwen3-arxiv-abs.html:4	The Qwen3 arXiv page supports Qwen3-specific claims only.	Does not support Qwen 3.5/3.6 claims unless separately sourced.	Use a second paper-card tile, not a generalized Qwen-family claim.	Chapter 11 later Qwen lane.	original_svg_from_source_surface_private_use_page_proof_pending	assets/source_cards/i0260/sc-0260-015-qwen3-needs-its-own-dated-anchor.svg	b00b4b5ba18e59eaaca89da61e36fc35eaef096f23a2722de711a9f26d276931
I-0260	SC-0260-016	A-0260-016	SSF-0259-016	A-0259-016	11	S-0029	DeepSeek-R1 arXiv source surface	https://arxiv.org/abs/2501.12948	S-0029 local capture	DeepSeek-R1 anchors reasoning claims	quote_safe_svg_ready_page_proof_pending	DeepSeek-R1	1	assets/source_docs/china/S-0029_deepseek-r1-arxiv-abs.html:4	The arXiv surface connects the reasoning/open-model story to a primary paper page.	Does not prove benchmark superiority or later DeepSeek versions.	Use a reasoning-paper card with benchmark claims quarantined.	Chapter 11 reasoning/open-model beat.	original_svg_from_source_surface_private_use_page_proof_pending	assets/source_cards/i0260/sc-0260-016-deepseek-r1-anchors-reasoning-claims.svg	ecb68c404ac3c4c7b6d54ba8dc2af3cc8935fccddbf2b437b15fe381096de0df
I-0260	SC-0260-017	A-0260-017	SSF-0259-017	A-0259-017	12	S-0109	Anthropic computer-use announcement source surface	https://www.anthropic.com/news/3-5-models-and-computer-use	S-0109 local capture	Computer use was a product announcement	quote_safe_svg_ready_page_proof_pending	computer use	2	assets/source_docs/anthropic/S-0109_claude-3-5-computer-use.html:1	The Anthropic announcement anchors action-surface prose without proving autonomy or reliability.	Does not prove autonomy, reliability, safety, productivity, or broad deployment.	Use a tool-action source card with permission and reliability blockers.	Chapter 12 action-surface beat.	original_svg_from_source_surface_private_use_page_proof_pending	assets/source_cards/i0260/sc-0260-017-computer-use-was-a-product-announcement.svg	8650d04216b21ccfd437bf94bec5770427ebdee4a5949e000e82b5e0ad07934f
