source_id	status	title	owner_or_authors	type	url_or_path	access_date	cutoff_note	use	blocked_claims
S-0168	identified_web_refreshed	Learning to Reason with LLMs / Introducing OpenAI o1	OpenAI	research/product posts	https://openai.com/index/learning-to-reason-with-llms/;https://openai.com/index/introducing-openai-o1-preview/	2026-05-26	pre-cutoff official OpenAI o1 sources	Use for vendor-attributed o1 thinking-before-answering product/research framing.	No independent benchmark crown, hidden chain-of-thought, exact cost, or production-behavior claim.
S-0169	identified_web_refreshed	Introducing OpenAI o3 and o4-mini	OpenAI	product post	https://openai.com/index/introducing-o3-and-o4-mini/	2026-05-26	pre-cutoff official OpenAI reasoning-model source	Use for vendor-attributed o3/o4-mini reasoning family and tool-use framing.	No live rank, adoption, current availability beyond cutoff, or exact cost/latency claim.
S-0170	identified_web_refreshed	Chain-of-Thought Prompting Elicits Reasoning in Large Language Models	Wei et al.	arXiv paper	https://arxiv.org/abs/2201.11903	2026-05-26	pre-cutoff reasoning-method source	Use for intermediate-reasoning prompting mechanism.	No faithful-explanation, human-like reasoning, or universal improvement claim.
S-0171	identified_web_refreshed	Self-Consistency Improves Chain of Thought Reasoning in Language Models	Wang et al.	arXiv paper	https://arxiv.org/abs/2203.11171	2026-05-26	pre-cutoff inference-sampling source	Use for multiple-reasoning-path and answer-consensus mechanism.	No truth guarantee or broad reliability claim.
S-0172	identified_web_refreshed	Let's Verify Step by Step	OpenAI / Lightman et al.	research post and arXiv paper	https://openai.com/index/lets-verify-step-by-step/;https://arxiv.org/abs/2305.20050	2026-05-26	pre-cutoff process-supervision source	Use for intermediate-step reward/process-supervision framing.	No solved reasoning, truth, or safety claim.
S-0173	identified_web_refreshed	Tree of Thoughts: Deliberate Problem Solving with Large Language Models	Yao et al.	arXiv paper	https://arxiv.org/abs/2305.10601	2026-05-26	pre-cutoff tree-search reasoning source	Use for search over intermediate reasoning states.	No production-agent autonomy or general planning-reliability claim.
S-0029	available_local_html	DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning	DeepSeek-AI	local arXiv abstract	assets/source_docs/china/S-0029_deepseek-r1-arxiv-abs.html	2026-05-24	pre-cutoff DeepSeek R1 source	Use for RL, self-reflection, verification, strategy adaptation, and distillation framing.	No DeepSeek V4-era, adoption, or all-domain superiority claim.
S-0031	available_local_html	Kimi k1.5: Scaling Reinforcement Learning with LLMs	Moonshot AI	local arXiv abstract	assets/source_docs/china/S-0031_kimi-k1-5-arxiv-abs.html	2026-05-24	pre-cutoff Kimi reasoning source	Use for Kimi/Moonshot reasoning and RL lane.	Exact benchmark/product claims need extraction.
S-0119	available_local_html	Gemini 2.5: Our newest Gemini model with thinking	Google DeepMind	product blog local capture	assets/source_docs/google_deepmind/S-0119_gemini-model-thinking-updates-march-2025.html	2026-05-25	pre-cutoff Gemini 2.5 thinking source	Use for Google-attributed thinking/reasoning product grammar.	No independent best-model, benchmark superiority, or adoption claim.
S-0135	available_local_html	ReAct: Synergizing Reasoning and Acting in Language Models	Yao et al.	local arXiv abstract	assets/source_docs/tools_agents/S-0135_react-arxiv-abs.html	2026-05-25	pre-cutoff reasoning/action source	Use for reasoning/action/observation loop framing.	No production-agent reliability or broad autonomous-planning claim.
