page	source_id	status_label	chapter_targets	extractable_text_summary	use_as	verification_notes
10	S-0001	performance_claim	15;17	Structured data is the ground truth of AI; cites Gartner DBMS 2025 and a 120B structured data ecosystem.	Enterprise data framing for AI factory chapter.	Check Gartner source before using dollar figure.
11	S-0001	performance_claim	15;17	Unstructured data is the context of AI; cites IDC Global DataSphere 2025 and hundreds of zettabytes per year.	Data-growth framing.	Check IDC source before using volume claim.
12	S-0001	partner_claim	15;17	IBM Storage Scale, enterprise data operations, and a quoted Nestle CIO claim about refreshing operations data in minutes.	Enterprise data-grounding anecdote lead.	Do not quote partner statement until exact text is verified visually from page.
24	S-0001	announced	14;15	NVIDIA AI Platform with AI natives, inference frameworks, agent frameworks and protocols, frontier model builders, and vertical AI categories.	Platform ecosystem map.	Separate LLM-relevant categories from robotics/physical AI categories.
25	S-0001	performance_claim	15;21	Inference inflection arrives; 10000X ChatGPT compute.	Inference-scaling thesis.	Needs exact chart context and independent triangulation before prose.
27	S-0001	performance_claim	15;22	Cost/interactivity chart comparing GB300 NVL72, H200 NVL8, lower cost, and competition performance.	Price/performance visual candidate.	Treat as NVIDIA claim; do not chart without source caveat.
28	S-0001	performance_claim	15;22	All leading inference endpoints run on NVIDIA; mentions Kimi K2.5 Reasoning.	Inference endpoint platform claim.	Requires independent endpoint/provider confirmation.
29	S-0001	announced	15;16	AI factories are the industrial infrastructure of the AI era; inference workload, tokens commodity, compute revenue.	Key chapter thesis visual.	Good slide-slot candidate; use as NVIDIA framing, not neutral fact.
32	S-0001	performance_claim	15;22	Inference performance and efficiency drive company results; throughput TPS/MW and model tiers including Qwen and Kimi.	Token economics and throughput source candidate.	Requires axis/legend verification from rendered slide.
36	S-0001	performance_claim	15;22	Rubin NVL72, Blackwell NVL72, Hopper comparison; 10X throughput and other ratios.	Hardware generation comparison.	Use exact numbers only after visual verification and corroboration.
37	S-0001	performance_claim	15;22	Vera Rubin unlocks 150B revenue opportunity; annual revenue per gigawatt comparison.	AI factory economics claim.	Highly promotional; needs caption caveat and external context.
42	S-0001	performance_claim	14;15	Rubin GPU and Groq 3 LPU comparison; SRAM, HBM4, FLOPS, transistors.	Hardware architecture detail.	Verify exact spec labels visually and against official releases.
45	S-0001	roadmap	14;15	AI inference compute, Groq 3 LPX LPU, 128 GB SRAM, 40 PB/s memory bandwidth, BF4 available 2H26.	Roadmap/availability visual.	Label as roadmap or availability claim, not shipped history.
46	S-0001	announced	14;15	Announcing NVIDIA Vera Rubin NVL72 launch partners; 10X perf/W, 3.6 EF NVFP4, HBM4, NVLink6.	Launch-partner and rack-system source.	Check official Vera Rubin release for wording and production status.
47	S-0001	announced	14;15	Announcing NVIDIA Vera CPU launch partners; 256 Vera CPUs, LPDDR5X, ETL spine, throughput claim.	CPU source candidate.	Corroborate with Vera CPU release.
48	S-0001	announced	14;15	Announcing NVIDIA BlueField-4 STX launch partners; tokens/sec, networking bandwidth, shared context per GPU.	Storage/networking source candidate.	Corroborate with BlueField-4 STX release.
49	S-0001	announced	15;16	NVIDIA Vera Rubin seven chips and five rack systems; AI factory for the agentic AI frontier; X86 plus Hopper vs Vera Rubin comparison.	AI factory system diagram candidate.	Use as NVIDIA system framing; verify table values visually.
50	S-0001	roadmap	14;15	2024, 2026, and 2028 roadmap with Blackwell, Rubin, Feynman, Kyber, Oberon, Spectrum7, BlueField-5, LP40, and related systems.	Roadmap visual candidate.	Explicitly label future items as roadmap/announced, not happened.
51	S-0001	announced	15;16	NVIDIA DSX AI Factory Platform, chips, systems, facilities, libraries, APIs, software, reference designs, methodologies.	DSX source candidate.	Corroborate with DSX release and avoid overclaiming adoption.
53	S-0001	announced	15;16	DSX AI Factory Platform accelerates scalable, energy-efficient AI factory deployment; DSX Max-Q, Flex, Exchange, Sim.	AI factory deployment framing.	Use with DSX official release.
58	S-0001	announced	18;20	Agents as a new computing platform.	Agentic AI bridge to coding/tool chapters.	Needs exact visual context before use.
61	S-0001	announced	18;20	NVIDIA NemoClaw reference OpenClaw and Agent Toolkit for building specialized agents.	Agent toolkit source candidate.	Verify product names and availability before prose.
62	S-0001	exclude_or_context_only	11;15;18	NVIDIA leaderboard-topping open models; Nemotron, Agentic AI, Cosmos Physical AI, GR00T Robotics, BioNeMo, Earth-2.	Nemotron/open models source, with exclusions.	Robotics/physical AI should be excluded or brief context only.
64	S-0001	performance_claim	11;18	Nemotron 3 Super and benchmark names including DeepResearch Bench II, OCRBench v2, BRIGHT, MMTEB.	Open model benchmark source candidate.	Needs benchmark source triangulation before claims.
66	S-0001	performance_claim	11	Nemotron 3 Ultra described as best open base model; efficiency and reasoning accuracy on GB200 NVL72; compares GLM and Kimi.	Open model performance visual candidate.	Treat as NVIDIA benchmark claim until independently verified.
67	S-0001	partner_claim	11	Regional AI with NVIDIA Nemotron; lists regional AI organizations and countries.	Sovereign/regional AI source candidate.	Verify partner list and relevance to LLM story.
68	S-0001	announced	11	Announcing global AI leaders join NVIDIA Nemotron Coalition to advance open frontier models.	Nemotron coalition source candidate.	Corroborate with open model family release.
