id	source_id	source_title	source_type	local_asset_path	capture_status	model_or_topic	date_or_period	allowed_now	missing_or_blocked	next_action
ANTH-CAP-001	S-0019	Constitutional AI: Harmlessness from AI Feedback	paper	not captured this pass	ledgered	Constitutional AI / RLAIF	2022	Mechanism summary and caveats.	Exact principle wording and long quotes need extraction.	Create quote-safe extraction table if final chapter uses direct wording.
ANTH-CAP-002	S-0020	The Claude 3 Model Family: Opus, Sonnet, Haiku	product post	assets/source_docs/anthropic/S-0020_claude-3-family.html	local HTML captured	Claude 3 family	2024-03-04	Family chronology, tier framing, qualitative multimodal/product claims.	Exact benchmark/table claims and direct quotes need extraction.	Extract launch table rows before final visual/table.
ANTH-CAP-003	S-0110	The Claude 3 Model Family: Opus, Sonnet, Haiku	model card PDF	assets/source_docs/anthropic/S-0110_claude-3-model-card.pdf	local PDF captured; ignored for git	Claude 3 family model card	2024 with later addenda	Safety/evaluation/model-card framing and Constitutional AI continuity.	Large PDF should remain local/ignored; exact passages need extraction rows.	Add quote-safe PDF extraction table.
ANTH-CAP-004	S-0021	Claude 3.5 Sonnet	product post	assets/source_docs/anthropic/S-0021_claude-3-5-sonnet.html	local HTML captured	Claude 3.5 Sonnet	2024-06-21	Chronology, workhorse-tier framing, distribution channels.	Exact price/context-window claims and benchmark superiority blocked for chart use.	Extract exact product table only if needed.
ANTH-CAP-005	S-0109	Introducing computer use, a new Claude 3.5 Sonnet, and Claude 3.5 Haiku	product post	assets/source_docs/anthropic/S-0109_claude-3-5-computer-use.html	local HTML captured	Computer use; Claude 3.5 update	2024-10-22	Qualitative computer-use transition and public-beta chronology.	Autonomy, productivity, and safety-in-use claims unsupported.	Split UI-action claims from model-release claims.
ANTH-CAP-006	S-0055	Introducing the Model Context Protocol	product post	assets/source_docs/anthropic/S-0055_model-context-protocol.html	local HTML captured	MCP / tool-context protocol	2024-11	Protocol framing for assistants reaching tools and data.	Adoption, neutrality, and universal-standard claims unsupported.	Add ecosystem rows only if later tool-use chapter needs them.
ANTH-CAP-007	S-0048	Claude 3.7 Sonnet and Claude Code	product post	assets/source_docs/anthropic/S-0048_claude-3-7-sonnet-claude-code.html	local HTML captured	Claude 3.7 Sonnet; Claude Code	2025-02-24	Hybrid reasoning chronology and Claude Code introduction.	Customer productivity anecdotes and benchmark numbers blocked.	Extract benchmark scaffold notes separately.
ANTH-CAP-008	S-0022	Claude Code overview	documentation	assets/source_docs/anthropic/S-0022_claude-code-overview.html	local HTML captured	Claude Code overview	2025 cutoff-bounded	Repository-work, context, permissions, tests, and workflow synthesis.	Exact commands, settings, defaults, and UI behavior require doc-set extraction.	Capture remaining docs pages before final Chapter 20 integration.
ANTH-CAP-009	S-0007	Introducing Claude 4	product post	assets/source_docs/anthropic/S-0007_claude-4.html	local HTML captured	Claude Opus 4; Claude Sonnet 4	2025-05-22	Vendor-attributed coding/reasoning/agent positioning.	Benchmark numbers, best claims, tool/memory detail need row extraction; C-0013 remains active.	Extract benchmark rows and scaffold notes before charting.
ANTH-CAP-010	S-0060	Claude API pricing	pricing page	data/source_snapshots/2026-05-24/2026-05-24__S-0060__pricing-page__anthropic-claude-api-pricing__html.html	local snapshot exists	Claude API pricing	captured 2026-05-24	Caveat prose and normalized-provider-pricing reference.	Exact price-quality chart blocked by C-0046 and billing semantics.	Join only to same-scope model/ranking rows with cache/batch/tier fields preserved.
