pass_id	figure_id	chapter	old_asset_id	old_asset_type	old_figure_title	old_rights_status	old_rights_stage	old_publication_decision	old_manifest_file_path	old_manifest_status	old_claim_boundary	i0261_repair_action	new_asset_id	new_asset_type	new_source_file	new_source_file_exists	current_selected_asset_id	current_publication_decision	current_fail_closed_status	i0262_render_status	i0263_page	i0263_legibility_status	rights_closure_status	final_publication_action	closure_note	remaining_gate
I-0264	F06.02	CH06	A-0121	screenshot_slot	ChatGPT Product Surface	private_capture_needed	screenshot_capture_and_use_review_required	permission-needed	assets/private_use_screenshots/i0180/A-0121_chatgpt_launch_product_surface.png	acquisition_ready	Product screenshots may show interface/source texture only; they do not prove current UI, endorsement, adoption, revenue, productivity, safety, or market impact.	replace_with_source_card	A-0260-004	source_excerpt_card_svg	assets/source_cards/i0260/sc-0260-004-behavior-became-a-written-product-spec.svg	yes	A-0260-004	publish_after_repair_render_qa	no_empty_callout_ready_for_i0262_render	embedded_in_i0262_pdf	76	warn	closed_replaced_by_source_card	retire_old_screenshot_slot_from_publication	Old screenshot/source-surface placeholder is replaced by an original lightweight source card; no permission request is required for the retired placeholder.	I-0280 layout polish plus final rights/legal review for the finished PDF; do not revive old placeholder without fresh rights proof.
I-0264	F06.03	CH06	A-0122	screenshot_slot	ChatGPT Plus Productization Surface	private_capture_needed	screenshot_capture_and_use_review_required	permission-needed	assets/private_use_screenshots/i0180/A-0122_chatgpt_plus_product_surface.png	acquisition_ready	Product screenshots may show interface/source texture only; they do not prove current UI, endorsement, adoption, revenue, productivity, safety, or market impact.	replace_with_source_card	A-0260-001	source_excerpt_card_svg	assets/source_cards/i0260/sc-0260-001-paid-access-became-a-product-surface.svg	yes	A-0260-001	publish_after_repair_render_qa	no_empty_callout_ready_for_i0262_render	embedded_in_i0262_pdf	82	warn	closed_replaced_by_source_card	retire_old_screenshot_slot_from_publication	Old screenshot/source-surface placeholder is replaced by an original lightweight source card; no permission request is required for the retired placeholder.	I-0280 layout polish plus final rights/legal review for the finished PDF; do not revive old placeholder without fresh rights proof.
I-0264	F07.02	CH07	A-0036	screenshot_slot	ChatGPT launch surface	private_capture_needed	screenshot_capture_and_use_review_required	permission-needed	assets/private_use_screenshots/i0112/A-0036_chatgpt_launch_page.png	acquisition_ready	Product screenshots may show interface/source texture only; they do not prove current UI, endorsement, adoption, revenue, productivity, safety, or market impact.	replace_with_existing_source_card	A-0208	svg_source_card	assets/visual_system/source-card-chatgpt-waiting-room-i0222.svg	yes	A-0208	publish_after_repair_render_qa	no_empty_callout_ready_for_i0262_render	embedded_in_i0262_pdf	93	warn	closed_replaced_by_source_card	retire_old_screenshot_slot_from_publication	Old screenshot/source-surface placeholder is replaced by an original lightweight source card; no permission request is required for the retired placeholder.	I-0280 layout polish plus final rights/legal review for the finished PDF; do not revive old placeholder without fresh rights proof.
I-0264	F07.03	CH07	A-0037	screenshot_slot	ChatGPT Plus conversion	private_capture_needed	screenshot_capture_and_use_review_required	permission-needed	assets/private_use_screenshots/i0112/A-0037_chatgpt_plus_page.png	acquisition_ready	Product screenshots may show interface/source texture only; they do not prove current UI, endorsement, adoption, revenue, productivity, safety, or market impact.	replace_with_source_card	A-0260-001	source_excerpt_card_svg	assets/source_cards/i0260/sc-0260-001-paid-access-became-a-product-surface.svg	yes	A-0260-001	publish_after_repair_render_qa	no_empty_callout_ready_for_i0262_render	embedded_in_i0262_pdf	96	warn	closed_replaced_by_source_card	retire_old_screenshot_slot_from_publication	Old screenshot/source-surface placeholder is replaced by an original lightweight source card; no permission request is required for the retired placeholder.	I-0280 layout polish plus final rights/legal review for the finished PDF; do not revive old placeholder without fresh rights proof.
I-0264	F07.04	CH07	A-0038	screenshot_slot	ChatGPT Enterprise launch surface	private_capture_needed	screenshot_capture_and_use_review_required	permission-needed	assets/private_use_screenshots/i0112/A-0038_chatgpt_enterprise_page.png	acquisition_ready	Product screenshots may show interface/source texture only; they do not prove current UI, endorsement, adoption, revenue, productivity, safety, or market impact.	replace_with_source_card	A-0260-002	source_excerpt_card_svg	assets/source_cards/i0260/sc-0260-002-enterprise-chatgpt-added-workplace-controls.svg	yes	A-0260-002	publish_after_repair_render_qa	no_empty_callout_ready_for_i0262_render	embedded_in_i0262_pdf	99	warn	closed_replaced_by_source_card	retire_old_screenshot_slot_from_publication	Old screenshot/source-surface placeholder is replaced by an original lightweight source card; no permission request is required for the retired placeholder.	I-0280 layout polish plus final rights/legal review for the finished PDF; do not revive old placeholder without fresh rights proof.
I-0264	F07.05	CH07	A-0039	screenshot_slot	ChatGPT plugins surface	private_capture_needed	screenshot_capture_and_use_review_required	permission-needed	assets/private_use_screenshots/i0112/A-0039_chatgpt_plugins_page.png	acquisition_ready	Product screenshots may show interface/source texture only; they do not prove current UI, endorsement, adoption, revenue, productivity, safety, or market impact.	replace_with_source_card	A-0260-003	source_excerpt_card_svg	assets/source_cards/i0260/sc-0260-003-release-notes-are-product-archaeology.svg	yes	A-0260-003	publish_after_repair_render_qa	no_empty_callout_ready_for_i0262_render	embedded_in_i0262_pdf	103	warn	closed_replaced_by_source_card	retire_old_screenshot_slot_from_publication	Old screenshot/source-surface placeholder is replaced by an original lightweight source card; no permission request is required for the retired placeholder.	I-0280 layout polish plus final rights/legal review for the finished PDF; do not revive old placeholder without fresh rights proof.
I-0264	F09.05	CH09	A-0129	screenshot_slot	Gemini/Bard Product Surface	private_capture_needed	screenshot_capture_and_use_review_required	permission-needed	assets/private_use_screenshots/i0180/A-0129_gemini_bard_product_surface.png	acquisition_ready	Product screenshots may show interface/source texture only; they do not prove current UI, endorsement, adoption, revenue, productivity, safety, or market impact.	replace_with_source_card	A-0260-009	source_excerpt_card_svg	assets/source_cards/i0260/sc-0260-009-gemini-arrived-as-a-public-product.svg	yes	A-0260-009	publish_after_repair_render_qa	no_empty_callout_ready_for_i0262_render	embedded_in_i0262_pdf	133	warn	closed_replaced_by_source_card	retire_old_screenshot_slot_from_publication	Old screenshot/source-surface placeholder is replaced by an original lightweight source card; no permission request is required for the retired placeholder.	I-0280 layout polish plus final rights/legal review for the finished PDF; do not revive old placeholder without fresh rights proof.
I-0264	F10.04	CH10	A-0044	screenshot_slot	LLaMA launch surface	private_capture_needed	screenshot_capture_and_use_review_required	permission-needed	assets/private_use_screenshots/i0112/A-0044_llama_launch_page.png	acquisition_ready	Product screenshots may show interface/source texture only; they do not prove current UI, endorsement, adoption, revenue, productivity, safety, or market impact.	replace_with_source_card	A-0260-012	source_excerpt_card_svg	assets/source_cards/i0260/sc-0260-012-llama-was-a-release-artifact.svg	yes	A-0260-012	publish_after_repair_render_qa	no_empty_callout_ready_for_i0262_render	embedded_in_i0262_pdf	147	warn	closed_replaced_by_source_card	retire_old_screenshot_slot_from_publication	Old screenshot/source-surface placeholder is replaced by an original lightweight source card; no permission request is required for the retired placeholder.	I-0280 layout polish plus final rights/legal review for the finished PDF; do not revive old placeholder without fresh rights proof.
I-0264	F10.05	CH10	A-0047	screenshot_slot	Llama GitHub surface	private_capture_needed	screenshot_capture_and_use_review_required	permission-needed	assets/private_use_screenshots/i0112/A-0047_llama_github_repo.png	acquisition_ready	Product screenshots may show interface/source texture only; they do not prove current UI, endorsement, adoption, revenue, productivity, safety, or market impact.	replace_with_source_card	A-0260-013	source_excerpt_card_svg	assets/source_cards/i0260/sc-0260-013-open-weights-became-developer-infrastructure.svg	yes	A-0260-013	publish_after_repair_render_qa	no_empty_callout_ready_for_i0262_render	embedded_in_i0262_pdf	150	warn	closed_replaced_by_source_card	retire_old_screenshot_slot_from_publication	Old screenshot/source-surface placeholder is replaced by an original lightweight source card; no permission request is required for the retired placeholder.	I-0280 layout polish plus final rights/legal review for the finished PDF; do not revive old placeholder without fresh rights proof.
I-0264	F11.03	CH11	A-0048	source_screenshot_slot	Qwen2 source surface	private_capture_needed	redraw_or_source_card_before_publication	redraw	assets/private_use_screenshots/i0112/A-0048_qwen2_arxiv_abs.png	acquisition_ready	Source-page visuals may prove provenance and chronology only; they do not authorize benchmark, superiority, adoption, safety, or company-result claims.	replace_with_source_card	A-0260-014	source_excerpt_card_svg	assets/source_cards/i0260/sc-0260-014-qwen-evidence-starts-with-the-paper.svg	yes	A-0260-014	publish_after_repair_render_qa	no_empty_callout_ready_for_i0262_render	embedded_in_i0262_pdf	159	warn	closed_replaced_by_source_card	retire_old_screenshot_slot_from_publication	Old screenshot/source-surface placeholder is replaced by an original lightweight source card; no permission request is required for the retired placeholder.	I-0280 layout polish plus final rights/legal review for the finished PDF; do not revive old placeholder without fresh rights proof.
