row_id	claim_family	status	source_ids	allowed_use	blocked_use	notes
CH7Q-001	global source-note cleanup	supported	C-0010;data/chatgpt_ch7_source_note_cleanup_plan_i0091.tsv	Use a short global source note while keeping productization, adoption, reception, and Enterprise caveats beside their paragraphs.	Do not bury metric definitions, named-example scope, Enterprise outcome blockers, or C-0010 in one generic caveat.	Pass I-0097 shortens the opener and localizes caveats.
CH7Q-002	launch/interface frame	supported	S-0006;S-0004;S-0005	Describe ChatGPT as a conversational interface event built on instruction-following/productized language-model behavior, not as a new theory of mind.	Do not claim the model understood users, solved hallucination, or became a finished oracle.	Supports the Box and ending sections.
CH7Q-003	attributed adoption metrics	supported_with_firewall	S-0092;S-0098;S-0102	Use Altman's one-million-users post and Reuters/UBS/Similarweb MAU/daily-visitor estimates only with unit and attribution labels.	Do not convert these into OpenAI telemetry, registered accounts, paid users, fastest-growing-app superlative, or one blended adoption number.	Metric firewall remains live in prose.
CH7Q-004	named institutional reception	supported_with_scope	S-0093;S-0094;S-0096;S-0097	Use Stack Overflow, NYC schools, Seattle schools, and JPMorgan as named local control problems.	Do not generalize to all developers, all schools, all companies, public panic, permanent bans, national bans, or broad workplace policy.	Negative-control wording remains inline.
CH7Q-005	Plus productization	supported	S-0078	Describe ChatGPT Plus launch mechanics, $20/month launch price, access during peak demand, faster responses, and priority feature access with text-render caveat.	Do not infer paid-user totals, retention, revenue, market size, or dependency claims.	Productization permission moved beside Plus paragraph.
CH7Q-006	platform/tool turn	supported	S-0044;S-0045;S-0046	Describe plugins, GPTs, and GPT-4o as interface/platform milestones that widened ordinary language as a control surface.	Do not turn this chapter into a general image/video history or claim every custom GPT was useful.	Supports From Answer Box To Platform expansion.
CH7Q-007	cloud/business context	supported	S-0041;S-0047	Describe Microsoft/OpenAI infrastructure and partnership context as part of the cloud commitment behind popular ChatGPT serving.	Do not claim unverified internal motives, boardroom scenes, or exact compute economics.	Supports Cloud Behind Conversation section.
CH7Q-008	Enterprise product mechanics	supported_with_caveats	S-0089;S-0079	Use release-note and text-rendered Enterprise product-post evidence for short, attributed launch and feature wording.	Do not convert Fortune 500 domain-registration language, vendor customer lists, or testimonials into adoption, deployment, productivity, pricing, revenue, active usage, paid-seat, or rollout claims.	Updates stale S-0079 blocked wording while preserving C-0010.
CH7Q-009	PwC commercial-role framing	supported_with_attribution	S-0100;S-0103	Use PwC-side agreement/workforce framing and TechCrunch/OpenAI-executive reseller/largest-customer/100000-user coverage-access language only with attribution.	Do not claim price, revenue, active use, paid seats, global rollout, client adoption, productivity outcomes, or neutral Enterprise market share.	Preserves I-0090 sentence and blockers.
CH7Q-010	stronger ending	supported	S-0006	Frame the chapter ending around ChatGPT making "ask the model" a normal software expectation and race trigger.	Do not write generic AI-will-change-everything futurism or unsupported roadmaps.	Ending hands off to Microsoft/cloud, Google, Anthropic, Meta/open weights, Chinese labs, NVIDIA, and agents as later sourced chapters.
