pass_id	inventory_id	visual_family	visual_category	asset_id	pdf_page	title	has_source	has_private_use_status	has_blocked_claims	boundary_verdict	missing_boundary_terms	blocked_claims
I-0303	FI-0001	expanded_300_exhibit	real_photo_screenshot_source_image	A-0287-013	2	Figure 01.01 - OpenAI Platform Became A Public Product Surface	yes	yes	yes	pass		Screenshot surface only; does not prove current product state, adoption, performance, revenue, safety, benchmark rank, or deployment outcome.
I-0303	FI-0002	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0069	7	Figure 1.2 - From Prompt to Answer, One Token at a Time. Human text becomes tokens, context, next-token predictions, and generated answer.	yes	yes	yes	pass		Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0303	FI-0003	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0070	12	Figure 1.3 - Local Alarms: First Institutional Response Chronology. Stack Overflow, NYC schools, Seattle schools, and JPMorgan become named local-control examples.	yes	yes	yes	pass		Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0303	FI-0004	expanded_300_exhibit	paper_report_excerpt	A-0285-001	17	Figure 02.01 - Transformer Paper Page As The Breakthrough Surface	yes	yes	yes	pass		Does not prove modern implementation details, intention, truth, or later LLM behavior.
I-0303	FI-0005	expanded_300_exhibit	paper_report_excerpt	A-0288-001	30	Figure 03.01 - BERT Page As Bidirectional Transformer Lineage	yes	yes	yes	pass		Does not make BERT a generative chatbot or prove later LLM behavior.
I-0303	FI-0006	expanded_300_exhibit	paper_report_excerpt	A-0285-005	43	Figure 04.01 - Scaling Laws Page As Loss-Compute Evidence	yes	yes	yes	pass		Does not prove automatic truth, safety, emergence thresholds, or business value.
I-0303	FI-0007	expanded_300_exhibit	paper_report_excerpt	A-0285-002	56	Figure 05.01 - GPT-1 Paper Page As Pretraining Origin	yes	yes	yes	pass		Does not prove ChatGPT, GPT-3, or broad product capability.
I-0303	FI-0008	expanded_300_exhibit	real_photo_screenshot_source_image	A-0287-014	72	Figure 06.01 - Anthropic Console Product Surface	yes	yes	yes	pass		Screenshot surface only; does not prove current product state, adoption, performance, revenue, safety, benchmark rank, or deployment outcome.
I-0303	FI-0009	expanded_300_exhibit	real_photo_screenshot_source_image	A-0284-006	77	Figure 06.02 - OpenAI API As Behavior Interface	yes	yes	yes	pass		Visual texture only; does not prove current product state, adoption, performance, revenue, safety, or benchmark rank.
I-0303	FI-0010	expanded_300_exhibit	person_image	A-0284-057	83	Figure 06.03 - Dario Amodei Public Profile Texture	yes	yes	yes	pass		Public-profile page screenshot only; does not support biography claims beyond separately sourced text, current title, motives, or private scenes.
