"qa_id"	"chapter"	"asset_id"	"asset_type"	"final_role"	"manifest_status"	"manifest_file_path"	"file_exists"	"captured_evidence"	"raster_gate"	"resolution_gate"	"crop_gate"	"pii_secrets_gate"	"quote_limit_gate"	"caption_neutrality_gate"	"small_type_gate"	"rights_gate"	"source_note_gate"	"issue_count"	"issue_mix"	"publication_gate"	"next_action"
"I0220-SS-001"	"6"	"A-0121"	"screenshot_slot"	"ChatGPT product surface"	"acquisition_ready"	"assets/private_use_screenshots/i0180/A-0121_chatgpt_launch_product_surface.png"	"no"	"not_captured_or_not_verified"	"raster_missing"	"unproven_no_raster"	"crop_unproven_no_raster"	"manual_pii_secrets_review_needed"	"quote_limit_or_visible_text_review_needed"	"caption_claim_review_needed"	"small_type_unproven_no_raster"	"private_capture_rights_pending"	"provenance_contract_ok"	"8"	"raster_missing;resolution_unproven;crop_unproven;pii_secrets_manual_review;quote_visible_text_review;caption_neutrality_review;small_type_readability_unproven;rights_or_private_use_pending"	"capture_required_before_publication"	"Capture screenshot/raster or replace/drop before publication-ready selection."
"I0220-SS-002"	"6"	"A-0122"	"screenshot_slot"	"Plus productization surface"	"acquisition_ready"	"assets/private_use_screenshots/i0180/A-0122_chatgpt_plus_product_surface.png"	"no"	"not_captured_or_not_verified"	"raster_missing"	"unproven_no_raster"	"crop_unproven_no_raster"	"manual_pii_secrets_review_needed"	"quote_limit_or_visible_text_review_needed"	"caption_claim_review_needed"	"small_type_unproven_no_raster"	"private_capture_rights_pending"	"provenance_contract_ok"	"8"	"raster_missing;resolution_unproven;crop_unproven;pii_secrets_manual_review;quote_visible_text_review;caption_neutrality_review;small_type_readability_unproven;rights_or_private_use_pending"	"capture_required_before_publication"	"Capture screenshot/raster or replace/drop before publication-ready selection."
"I0220-SS-003"	"7"	"A-0036"	"screenshot_slot"	"ChatGPT launch surface"	"acquisition_ready"	"assets/private_use_screenshots/i0112/A-0036_chatgpt_launch_page.png"	"no"	"not_captured_or_not_verified"	"raster_missing"	"unproven_no_raster"	"crop_unproven_no_raster"	"manual_pii_secrets_review_needed"	"quote_limit_or_visible_text_review_needed"	"caption_claim_review_needed"	"small_type_unproven_no_raster"	"private_capture_rights_pending"	"provenance_contract_ok"	"8"	"raster_missing;resolution_unproven;crop_unproven;pii_secrets_manual_review;quote_visible_text_review;caption_neutrality_review;small_type_readability_unproven;rights_or_private_use_pending"	"capture_required_before_publication"	"Capture screenshot/raster or replace/drop before publication-ready selection."
"I0220-SS-004"	"7"	"A-0037"	"screenshot_slot"	"ChatGPT Plus surface"	"acquisition_ready"	"assets/private_use_screenshots/i0112/A-0037_chatgpt_plus_page.png"	"no"	"not_captured_or_not_verified"	"raster_missing"	"unproven_no_raster"	"crop_unproven_no_raster"	"manual_pii_secrets_review_needed"	"quote_limit_or_visible_text_review_needed"	"caption_claim_review_needed"	"small_type_unproven_no_raster"	"private_capture_rights_pending"	"provenance_contract_ok"	"8"	"raster_missing;resolution_unproven;crop_unproven;pii_secrets_manual_review;quote_visible_text_review;caption_neutrality_review;small_type_readability_unproven;rights_or_private_use_pending"	"capture_required_before_publication"	"Capture screenshot/raster or replace/drop before publication-ready selection."
"I0220-SS-005"	"7"	"A-0038"	"screenshot_slot"	"Enterprise surface"	"acquisition_ready"	"assets/private_use_screenshots/i0112/A-0038_chatgpt_enterprise_page.png"	"no"	"not_captured_or_not_verified"	"raster_missing"	"unproven_no_raster"	"crop_unproven_no_raster"	"manual_pii_secrets_review_needed"	"quote_limit_or_visible_text_review_needed"	"caption_claim_review_needed"	"small_type_unproven_no_raster"	"private_capture_rights_pending"	"provenance_contract_ok"	"8"	"raster_missing;resolution_unproven;crop_unproven;pii_secrets_manual_review;quote_visible_text_review;caption_neutrality_review;small_type_readability_unproven;rights_or_private_use_pending"	"capture_required_before_publication"	"Capture screenshot/raster or replace/drop before publication-ready selection."
"I0220-SS-006"	"7"	"A-0039"	"screenshot_slot"	"plugins surface"	"acquisition_ready"	"assets/private_use_screenshots/i0112/A-0039_chatgpt_plugins_page.png"	"no"	"not_captured_or_not_verified"	"raster_missing"	"unproven_no_raster"	"crop_unproven_no_raster"	"manual_pii_secrets_review_needed"	"quote_limit_or_visible_text_review_needed"	"caption_claim_review_needed"	"small_type_unproven_no_raster"	"private_capture_rights_pending"	"provenance_contract_ok"	"8"	"raster_missing;resolution_unproven;crop_unproven;pii_secrets_manual_review;quote_visible_text_review;caption_neutrality_review;small_type_readability_unproven;rights_or_private_use_pending"	"capture_required_before_publication"	"Capture screenshot/raster or replace/drop before publication-ready selection."
"I0220-SS-007"	"9"	"A-0129"	"screenshot_slot"	"Gemini/Bard source surface"	"acquisition_ready"	"assets/private_use_screenshots/i0180/A-0129_gemini_bard_product_surface.png"	"no"	"not_captured_or_not_verified"	"raster_missing"	"unproven_no_raster"	"crop_unproven_no_raster"	"manual_pii_secrets_review_needed"	"quote_limit_or_visible_text_review_needed"	"caption_claim_review_needed"	"small_type_unproven_no_raster"	"private_capture_rights_pending"	"provenance_contract_ok"	"8"	"raster_missing;resolution_unproven;crop_unproven;pii_secrets_manual_review;quote_visible_text_review;caption_neutrality_review;small_type_readability_unproven;rights_or_private_use_pending"	"capture_required_before_publication"	"Capture screenshot/raster or replace/drop before publication-ready selection."
"I0220-SS-008"	"10"	"A-0044"	"screenshot_slot"	"LLaMA launch surface"	"acquisition_ready"	"assets/private_use_screenshots/i0112/A-0044_llama_launch_page.png"	"no"	"source_html_hash_recorded_no_raster"	"source_surface_hash_only_no_screenshot"	"unproven_hash_only"	"crop_unproven_source_surface_only"	"manual_pii_secrets_review_needed"	"quote_limit_or_visible_text_review_needed"	"caption_claim_review_needed"	"small_type_unproven_source_handle_only"	"private_capture_rights_pending"	"provenance_contract_ok"	"8"	"hash_only_no_screenshot;resolution_unproven;crop_unproven;pii_secrets_manual_review;quote_visible_text_review;caption_neutrality_review;small_type_readability_unproven;rights_or_private_use_pending"	"source_handle_only_needs_screenshot_or_card"	"Either capture raster screenshot with viewport/hash or convert to source-card; do not count as book-grade screenshot yet."
"I0220-SS-009"	"10"	"A-0047"	"screenshot_slot"	"Llama repository surface"	"acquisition_ready"	"assets/private_use_screenshots/i0112/A-0047_llama_github_repo.png"	"no"	"source_html_hash_recorded_no_raster"	"source_surface_hash_only_no_screenshot"	"unproven_hash_only"	"crop_unproven_source_surface_only"	"low_expected_manual_check"	"quote_limit_or_visible_text_review_needed"	"caption_claim_review_needed"	"small_type_unproven_source_handle_only"	"private_capture_rights_pending"	"provenance_contract_ok"	"8"	"hash_only_no_screenshot;resolution_unproven;crop_unproven;pii_secrets_manual_review;quote_visible_text_review;caption_neutrality_review;small_type_readability_unproven;rights_or_private_use_pending"	"source_handle_only_needs_screenshot_or_card"	"Either capture raster screenshot with viewport/hash or convert to source-card; do not count as book-grade screenshot yet."
"I0220-SS-010"	"11"	"A-0048"	"source_screenshot_slot"	"Qwen2 source surface"	"acquisition_ready"	"assets/private_use_screenshots/i0112/A-0048_qwen2_arxiv_abs.png"	"no"	"source_html_hash_recorded_no_raster"	"source_surface_hash_only_no_screenshot"	"unproven_hash_only"	"crop_unproven_source_surface_only"	"low_expected_manual_check"	"quote_limit_or_visible_text_review_needed"	"caption_claim_review_needed"	"small_type_unproven_source_handle_only"	"private_capture_rights_pending"	"provenance_contract_ok"	"8"	"hash_only_no_screenshot;resolution_unproven;crop_unproven;pii_secrets_manual_review;quote_visible_text_review;caption_neutrality_review;small_type_readability_unproven;rights_or_private_use_pending"	"source_handle_only_needs_screenshot_or_card"	"Either capture raster screenshot with viewport/hash or convert to source-card; do not count as book-grade screenshot yet."
