source_id	status	local_path	source_type	cutoff_status	allowed_use	blocked_use
S-0039	available	none	NVIDIA H100 architecture source	pre-cutoff H100 source	H100/Hopper mechanism and source target.	Exact specs or performance claims without local extraction.
S-0040	available	none	NVIDIA Blackwell architecture source	pre-cutoff Blackwell source	Blackwell/B200/GB200 architecture and product-positioning source target.	Exact performance, TCO, energy, deployment, or availability claims without row extraction.
S-0138	available_local_html	assets/source_docs/nvidia_cuda/S-0138_cuda_programming_guide.html	NVIDIA documentation local capture	mutable docs captured after cutoff; contains pre-cutoff CUDA history and programming model material	CUDA programming-model explanation and platform framing.	No claims about current CUDA 13.0 as cutoff fact unless cutoff-filtered.
S-0139	available_local_html	assets/source_docs/nvidia_cuda/S-0139_hopper_architecture_blog.html	NVIDIA technical blog local capture	pre-cutoff Hopper/H100 source	Hopper/H100, Tensor Cores, Transformer Engine, mixed precision mechanism.	No exact benchmark or customer/deployment claims without extraction.
S-0140	available_local_html	assets/source_docs/nvidia_cuda/S-0140_blackwell_architecture.html	NVIDIA architecture page local capture	page captured after cutoff; product page may include post-cutoff updates	Blackwell/B200/GB200 architecture framing with mutable-page caveat.	No exact availability, performance, TCO, or customer deployment claims without cutoff normalization.
S-0141	available_local_html	assets/source_docs/nvidia_cuda/S-0141_cudnn_deep_learning_blog.html	NVIDIA technical blog local capture	pre-cutoff cuDNN 2014 source	cuDNN as deep-learning primitive/library layer.	No modern transformer performance claim from this source alone.
S-0142	available_local_html	assets/source_docs/nvidia_cuda/S-0142_tensorrt_llm.html	NVIDIA developer page local capture	page captured after cutoff; TensorRT-LLM page may include post-cutoff updates	TensorRT-LLM as LLM inference software layer with mutable-page caveat.	No exact 8x/TCO/energy/customer claims without cutoff normalization.
S-0143	available_local_html	assets/source_docs/nvidia_cuda/S-0143_nvlink_nvswitch_llm_inference.html	NVIDIA technical blog local capture	pre-cutoff NVLink/NVSwitch LLM inference source	Qualitative large-model interconnect and rack-scale communication explanation.	No exact speedup, all-GPU-as-one, bandwidth, or benchmark chart without row extraction.
S-0001	available	local:GTC-2026-Keynote.pdf	NVIDIA keynote local PDF	cutoff-bounded local source	GTC/Vera Rubin roadmap context only.	Do not use slide ratios, partner, throughput, revenue, or availability claims as neutral facts.
S-0010	available	none	NVIDIA Vera Rubin press release	cutoff-bounded GTC 2026 source	Vera Rubin roadmap/announcement context with attribution.	No shipped/deployed/performance facts without corroboration.
