pass_id	item_id	item_type	source_location	target_chapter	target_section_id	placement_method	title	story_fit	decision
I-0308	VX001	atlas_figure	terminal_visual_atlas	CH17	chapter-17-contextual-visuals	keyword	Generated visual grammar prototype	Establishes recurring timeline grammar for the book.	moved
I-0308	VX002	atlas_figure	terminal_visual_atlas	CH17	chapter-17-contextual-visuals	keyword	Generated visual grammar prototype	Establishes agent workflow grammar around human framing, model planning, tools, checks, review, and iteration.	moved
I-0308	VX003	atlas_figure	terminal_visual_atlas	CH04	chapter-04-contextual-visuals	keyword	Generated visual grammar prototype	Establishes chart grammar for tradeoffs while foregrounding uncertainty and snapshot requirements.	moved
I-0308	VX004	atlas_figure	terminal_visual_atlas	CH05	chapter-05-contextual-visuals	regex:\bfigure\s+0?(\d{1,2})[\.\-]	Generated GPT lineage visual table	Gives Chapter 5 a compact visual anchor for the shift from pretraining to prompting to API infrastructure to code-at-the-cursor.	moved
I-0308	VX005	atlas_figure	terminal_visual_atlas	CH06	chapter-06-contextual-visuals	regex:\bfigure\s+0?(\d{1,2})[\.\-]	Generated RLHF and alignment pipeline visual	Gives Chapter 6 a mechanism visual showing assistant behavior as a layered product stack rather than evidence that alignment is solved.	moved
I-0308	VX006	atlas_figure	terminal_visual_atlas	CH15	chapter-15-contextual-visuals	regex:\bfigure\s+0?(\d{1,2})[\.\-]	Generated AI factory stack visual	Gives Chapter 15 a reader-friendly mechanism diagram that explains the AI factory stack without converting NVIDIA keynote ratios or roadmap claims into independent facts.	moved
I-0308	VX007	atlas_figure	terminal_visual_atlas	CH13	chapter-13-contextual-visuals	regex:\bfigure\s+0?(\d{1,2})[\.\-]	Generated LMArena historical leaderboard chart	Gives Chapter 13 a sourced model-ranking visual while making dataset config, category, publish date, and non-live-leaderboard caveats visible.	moved
I-0308	VX008	atlas_figure	terminal_visual_atlas	CH13	chapter-13-contextual-visuals	regex:\bfigure\s+0?(\d{1,2})[\.\-]	Generated Arena leaderboard methodology flow	"Teaches readers how to interpret leaderboard rows before seeing any model as ""best,"" and prevents live-rank, release-status, price-quality, and task-superiority overclaims."	moved
I-0308	VX009	atlas_figure	terminal_visual_atlas	CH16	chapter-16-contextual-visuals	regex:\bfigure\s+0?(\d{1,2})[\.\-]	Generated Chapter 16 N16-1 note layout mock	Gives Chapter 16 a visual QA artifact for source-cue cleanup before any production prose merge or PDF layout change.	moved
I-0308	VX010	atlas_figure	terminal_visual_atlas	CH16	chapter-16-contextual-visuals	regex:\bfigure\s+0?(\d{1,2})[\.\-]	Generated Chapter 16 parent inline-cue render	Provides the parent side of the I-0073 A/B comparison against the N16-1 candidate mock and makes the readability tradeoff auditable before any live prose merge.	moved
