node_id	node_name	node_type	primary_chapters	source_ids_or_assets	network_role	allowed_map_claims	blocked_claims
N-OPENAI	OpenAI	model_lab;product_company	5;6;7;8;21;22	S-0004;S-0005;S-0006;S-0074;S-0168;S-0169;A-0068;A-0016	Frontier model lab and product/API source surface.	Can be shown as model/product/API actor with Microsoft partnership and ChatGPT source surfaces.	revenue; market share; exact training data; hidden architecture; best model; AGI; undisclosed partnerships
N-MICROSOFT	Microsoft	cloud;distribution;enterprise	8;16;22	S-0041;S-0047;S-0126;S-0132;A-0056	Cloud capacity, partnership, and distribution surface.	Can be shown as Azure/OpenAI capacity and product-distribution actor.	OpenAI control; profit; search-share outcome; productivity; workload volume; exclusivity beyond source terms
N-GOOGLE	Google	incumbent;product;cloud	3;9;13;22	S-0002;S-0121;S-0120;A-0086	Research/product/cloud incumbent with Gemini surfaces.	Can be shown as Transformer/Gemini/product conversion actor.	benchmark crown; Search outcome; adoption; TPU cost advantage; Workspace productivity
N-DEEPMIND	Google DeepMind	research_lab;model_lab	3;9;21	S-0002;S-0121;S-0120;A-0086	Research lab and Gemini/model-card source surface.	Can be shown as research-to-product and model-card actor under Google/DeepMind framing.	independent company status after merger; model superiority; complete safety disclosure; adoption
N-ANTHROPIC	Anthropic	model_lab;product_company	6;12;20;23	S-0019;S-0110;S-0245;S-0048;S-0049;S-0050;S-0051;A-0094;A-0205;A-0217	Claude, Constitutional AI, and Claude Code source surfaces.	Can be shown as behavior/safety/product/coding-agent actor.	safety solved; productivity; adoption; benchmark superiority; autonomous engineer
N-META	Meta	model_lab;open_weight_actor	10;17	S-0023;S-0024;S-0025;S-0112;S-0113;S-0008;A-0030;A-0213	Llama open-weight release and repository ecosystem actor.	Can be shown as open-weight family and release/repository surface.	open-source legal equivalence; adoption; ecosystem dominance; safety; benchmark superiority
N-NVIDIA	NVIDIA	hardware;platform;source_actor	14;15;16;22	S-0001;S-0064;S-0066;S-0205;A-0012;A-0024;A-0028;A-0029;A-0216	Accelerator/software/platform and GTC AI-factory source actor.	Can be shown as hardware/software/infrastructure platform actor and source-stagecraft node.	deployed capacity; energy savings; performance truth; revenue; market share; customer outcomes
N-CHINA	Chinese frontier labs	frontier_cluster;source_gap_cluster	11;21	S-0029;A-0031;A-0118;A-0050	Qwen/DeepSeek/GLM/Kimi/MiniMax/Baidu/Tencent/Xiaomi/StepFun source-permission cluster.	Can be shown as a visible source-permission/gap cluster with DeepSeek/Qwen stronger rows.	national monolith; unsupported version claims; live rank; sovereignty proof; best model; all labs equivalent
N-DEEPSEEK	DeepSeek	model_lab;technical_report_actor	11;21	S-0029;A-0050;A-0186;A-0187	DeepSeek R1/V3 source surface and reasoning bridge.	Can be shown as technical-report/source actor in China and reasoning chapters.	V4-era happened claims; benchmark crown; training cost certainty; national proxy; adoption
N-QWEN	Alibaba/Qwen	model_family;source_actor	11	A-0048;A-0049;A-0031	Qwen open/frontier source lane.	Can be shown as source-supported model-family lane where rows exist.	Qwen 3.5/3.6 happened-release unless sourced; live rank; adoption; national proxy
N-BENCH	Benchmark institutions	evaluation_infrastructure	13;19;20;21;23	S-0035;S-0036;S-0037;S-0080;A-0014;A-0013;A-0214	Evaluation surfaces: Arena/LMArena, SWE-bench, LiveCodeBench, methodology.	Can be shown as measurement/evaluation institutions and benchmark-contract nodes.	universal intelligence; live crown; productivity; safety; task transfer; neutral price-quality proof
N-OPENWEIGHT	Open-weight ecosystems	distribution_ecosystem	10;11;17;22	S-0114;S-0023;S-0024;S-0025;A-0112;A-0213	Repository, weights, licenses, hosting burden, and downstream adaptation ecosystem.	Can be shown as distribution/control-burden ecosystem across Meta, China/open models, and users.	adoption scale; legal openness; effortless deployment; safety; superiority; full transparency
N-CLOUD	Cloud and datacenter substrate	infrastructure_ecosystem	8;14;15;16;22	S-0041;S-0083;S-0084;S-0086;S-0087;A-0015;A-0020;A-0021	Cloud capacity, datacenter energy, interconnection, and serving substrate.	Can be shown as infrastructure substrate linking model products to chips/power.	named workload; delivered power; emissions; exact utilization; customer ROI; capacity completion
