pass_id	surface_id	asset_id	related_figure_ids	related_asset_ids	source_ids	source_kind	source_title	source_url_or_path	source_anchor	input_local_path	input_exists	output_local_path	output_exists	file_size	sha256	capture_method	rights_or_private_use_note	quality_score	diversity_role	story_fit_note	blocked_claim_note	git_policy
I-0259	SSF-0259-001	A-0259-001	F06.03;F07.03	A-0122;A-0037	S-0078	company_text_render	OpenAI ChatGPT Plus launch text render	https://openai.com/index/chatgpt-plus/	SNAP-20260525-013	data/source_snapshots/2026-05-25/2026-05-25__S-0078__product-post__chatgpt-plus__text-render.md	yes	assets\source_surfaces\i0259\SSF-0259-001_openai-chatgpt-plus-launch-text-render.png	yes	141851	c94cded737a5c7f5cde30cdf3dacebc671341b8363eb1ae0b32c92393c6043e5	text_card	Private-use/source-review surface; raster is ignored by Git; publication use requires rights, fair-use, crop, attribution, and caption review.	45	OpenAI productization surface	Shows subscription packaging as product evidence without adoption or revenue inference.	Does not prove subscribers, revenue, retention, model quality, or current UI.	local_raster_ignored_commit_ledger_only
I-0259	SSF-0259-002	A-0259-002	F07.04	A-0038	S-0079;S-0089	company_text_render	OpenAI ChatGPT Enterprise launch text render	https://openai.com/index/introducing-chatgpt-enterprise/	SNAP-20260525-026	data/source_snapshots/2026-05-25/2026-05-25__S-0079__product-post__chatgpt-enterprise__text-render.md	yes	assets\source_surfaces\i0259\SSF-0259-002_openai-chatgpt-enterprise-launch-text-render.png	yes	169253	6af5f4bb66d79ff8178469e73b705aa83d535c8beae8e2ce82e88cb4fd72c17f	text_card	Private-use/source-review surface; raster is ignored by Git; publication use requires rights, fair-use, crop, attribution, and caption review.	45	enterprise product surface	Shows the workplace-control turn without importing customer-outcome claims.	Does not prove adoption, Fortune 500 deployment, productivity, security, or revenue.	local_raster_ignored_commit_ledger_only
I-0259	SSF-0259-003	A-0259-003	F07.05;F18.05	A-0039;A-0124	S-0089	company_text_render	OpenAI ChatGPT release notes source surface	https://help.openai.com/en/articles/6825453-chatgpt-release-notes	SNAP-20260525-014	data/source_snapshots/2026-05-25/2026-05-25__S-0089__release-notes__chatgpt-release-notes__text-render.md	yes	assets\source_surfaces\i0259\SSF-0259-003_openai-chatgpt-release-notes-source-surface.png	yes	169887	6d391febaeac480edc0906abb0fef0f1a3441c9bea817fcb72d3113ec3682f8d	text_card	Private-use/source-review surface; raster is ignored by Git; publication use requires rights, fair-use, crop, attribution, and caption review.	48	release-note product surface	Gives the tool/product turn an official dated release-note surface.	Does not prove stable feature availability, usage, plugin adoption, or ecosystem quality.	local_raster_ignored_commit_ledger_only
I-0259	SSF-0259-004	A-0259-004	F06.02	A-0121	S-0074;S-0075	company_html	OpenAI Model Spec behavior surface	https://cdn.openai.com/spec/model-spec-2024-05-08.html	SNAP-20260525-005	data/source_snapshots/2026-05-25/2026-05-25__S-0075__behavior-specification__openai-model-spec-2024-05-08__html.html	yes	assets\source_surfaces\i0259\SSF-0259-004_openai-model-spec-behavior-surface.png	yes	170562	fa099f45d21883f368a147b3e0b2501d27204ac0001320550495065cadbe6b30	html_screenshot	Private-use/source-review surface; raster is ignored by Git; publication use requires rights, fair-use, crop, attribution, and caption review.	86	assistant behavior specification surface	Shows assistant behavior becoming specified product infrastructure.	Does not prove alignment success, safety, or actual deployed policy behavior.	local_raster_ignored_commit_ledger_only
I-0259	SSF-0259-005	A-0259-005	F06.02	A-0121	S-0076	pdf_page	OpenAI GPT-4 System Card first page	https://cdn.openai.com/papers/gpt-4-system-card.pdf	SNAP-20260525-006 page 1	data/source_snapshots/2026-05-25/2026-05-25__S-0076__system-card__gpt-4-system-card__pdf.pdf	yes	assets\source_surfaces\i0259\SSF-0259-005_openai-gpt-4-system-card-first-page.png	yes	167263	53bf6dcdb4ed3af35290f72166ad5cd3d7d8252b56678f7987ae6b9aa5a58506	pdf_page_render	Private-use/source-review surface; raster is ignored by Git; publication use requires rights, fair-use, crop, attribution, and caption review.	35	system-card source surface	Adds visible system-card evidence to the alignment/product-safety lane.	Does not prove risk mitigation success or deployment-level safety.	local_raster_ignored_commit_ledger_only
I-0259	SSF-0259-006	A-0259-006	F06.02	A-0121	S-0077	pdf_page	OpenAI GPT-4o System Card first page	https://cdn.openai.com/gpt-4o-system-card.pdf	SNAP-20260525-007 page 1	data/source_snapshots/2026-05-25/2026-05-25__S-0077__system-card__gpt-4o-system-card__pdf.pdf	yes	assets\source_surfaces\i0259\SSF-0259-006_openai-gpt-4o-system-card-first-page.png	yes	202830	302a51144123dbb9716b72648996cc19ded1e41faec6f09a72a9d65466e736c2	pdf_page_render	Private-use/source-review surface; raster is ignored by Git; publication use requires rights, fair-use, crop, attribution, and caption review.	37	multimodal system-card source surface	Gives the alignment/product chapter a later system-card surface.	Does not prove safety, benchmark superiority, or current model behavior.	local_raster_ignored_commit_ledger_only
I-0259	SSF-0259-007	A-0259-007	F13.01	A-0021	S-0080	dataset_json	LMArena historical dataset JSON surface	https://datasets-server.huggingface.co/rows?dataset=lmarena-ai%2Fleaderboard-dataset	SNAP-20260525-008	data/source_snapshots/2026-05-25/2026-05-25__S-0080__historical-dataset__lmarena-text-style-control-latest__json.json	yes	assets\source_surfaces\i0259\SSF-0259-007_lmarena-historical-dataset-json-surface.png	yes	184348	43cad9bdc169e3986afdfa78059d35ee04a0b9ec28814fa4603b98aa04ed38d8	text_card	Private-use/source-review surface; raster is ignored by Git; publication use requires rights, fair-use, crop, attribution, and caption review.	47	benchmark dataset surface	Shows leaderboard rows as captured data, not live crown rhetoric.	Does not prove live May 24 rank, quality, price, or general model superiority.	local_raster_ignored_commit_ledger_only
I-0259	SSF-0259-008	A-0259-008	F22.01	A-0082	S-0081;S-0082	company_html	Mistral pricing source surface	https://mistral.ai/pricing	SNAP-20260525-011	data/source_snapshots/2026-05-25/2026-05-25__S-0081__pricing-page__mistral-ai-pricing__html.html	yes	assets\source_surfaces\i0259\SSF-0259-008_mistral-pricing-source-surface.png	yes	23606	78c2ed0607a9326004137c471316a2f1a3b2f6a4a337b14a4b4921542026afe3	html_screenshot	Private-use/source-review surface; raster is ignored by Git; publication use requires rights, fair-use, crop, attribution, and caption review.	37	pricing/economics surface	Gives token-economics prose a concrete provider pricing surface.	Does not prove current price, margin, revenue, or price-quality superiority.	local_raster_ignored_commit_ledger_only
I-0259	SSF-0259-009	A-0259-009	F09.05	A-0129	S-0121	company_html	Google Gemini launch blog source surface	https://blog.google/products/gemini/google-gemini-ai/	S-0121 local capture	assets/source_docs/google_deepmind/S-0121_google-gemini-ai-launch-blog.html	yes	assets\source_surfaces\i0259\SSF-0259-009_google-gemini-launch-blog-source-surface.png	yes	206556	66749bca5d4662a7aa124cbcf92051f7d3ff26c24e5c0d5b8dd81375fc76f956	html_screenshot	Private-use/source-review surface; raster is ignored by Git; publication use requires rights, fair-use, crop, attribution, and caption review.	100	Google product launch surface	Shows Gemini as a public Google product surface rather than only a model-family diagram.	Does not prove Search-share effect, adoption, benchmark rank, safety, or current UI.	local_raster_ignored_commit_ledger_only
I-0259	SSF-0259-010	A-0259-010	F09.05	A-0129	S-0122	company_html	Bard becomes Gemini source surface	https://blog.google/products/gemini/bard-gemini-advanced-app/	S-0122 local capture	assets/source_docs/google_deepmind/S-0122_bard-becomes-gemini-blog.html	yes	assets\source_surfaces\i0259\SSF-0259-010_bard-becomes-gemini-source-surface.png	yes	182382	02f550e00105033eb4a2babde2b07197f6a769bcf8ada5e452e5c411013fd642	html_screenshot	Private-use/source-review surface; raster is ignored by Git; publication use requires rights, fair-use, crop, attribution, and caption review.	100	Google interface transition surface	Shows product naming and app packaging as evidence of interface conversion.	Does not prove usage, model quality, Search displacement, or revenue.	local_raster_ignored_commit_ledger_only
