pass_id	chapter	chapter_number	official_title	current_file	one_sentence_promise	opening_beat	candidate_opening_figure	candidate_opening_asset	reader_effect_job	claim_guardrail	next_integration_gate
I-0246	CH01	01	The Shock	manuscript/01-the-shock.md	Shows how an ordinary text box turned a research trajectory into a public computing problem.	Open on the plain ChatGPT box, then let the reader feel how little ceremony the rupture needed.	F01.01	A-0068	Shock, mechanism, consequence	No fastest-growing-app superlative, OpenAI-confirmed 100M claim, revenue, retention, or productivity outcome without same-scope support.	Render the first spread so chronology follows the shock rather than burying it.
I-0246	CH02	02	Before the Transformer	manuscript/01-before-the-transformer.md	Makes the pre-Transformer bottleneck feel like a lived engineering constraint, not a textbook preface.	Begin with language squeezed through fragile representations before the reader meets the formal lineage.	F02.01	A-0115	Clarity plus mystery	No modern LLM capability, semantic understanding, or inevitability claim from early language-model mechanisms.	Add one paper/source texture only if it sharpens mystery without slowing the opener.
I-0246	CH03	03	Attention Catches Fire	manuscript/02-attention-catches-fire.md	Turns attention from a buzzword into the moment sequence modeling became parallel and strange.	Open on recurrence straining under long dependencies while hardware waits for something more parallel.	F03.01	A-0116	Technical awe	No attention-as-mind, consciousness, interpretability, or universal reasoning claim.	Create a short-caption variant before render.
I-0246	CH04	04	The Scaling Bet	manuscript/03-scaling-bet.md	Frames scaling as a wager made from evidence under uncertainty, not a destiny chart.	Start with labs learning to treat loss curves as strategy while the business outcome remains unknown.	F04.01	A-0117	Suspense from scaling	No product guarantee, emergence threshold, universal law, or safety inference from scaling curves.	Rewrite surrounding prose so the first chart raises a question rather than declaring the answer.
I-0246	CH05	05	GPT-1 to GPT-3: The Door Opens	manuscript/05-gpt-1-to-gpt-3-door-opens.md	Shows the GPT line becoming a door other software could knock on.	Open with the API as a threshold: a model lineage becoming a service surface for builders.	F05.01	A-0010	Lineage momentum	No API usage scale, Copilot productivity, revenue, legal, licensing, or broad transformation claim.	Make the close hand directly to Microsoft/OpenAI and ChatGPT.
I-0246	CH06	06	Alignment Enters the Product	manuscript/06-alignment-enters-product.md	Explains how completion engines were bent toward assistant behavior through product pressure.	Open on the gap between a continuation machine and an assistant expected to obey, refuse, and explain.	F06.01	A-0011	Product memory	No solved truth, solved safety, solved alignment, jailbreak resistance, conscience, or universal preference claim.	Resolve or replace product-surface captures before final layout.
I-0246	CH07	07	ChatGPT: The Interface Event	manuscript/07-chatgpt-interface-event.md	Makes ChatGPT the interface event where the stack became a public habit.	Cut straight to the box, then reveal how productization followed the public shock.	F07.01	A-0016	Launch suspense and productization	No adoption, revenue, paid-user, productivity, market-share, or current-UI claim beyond dated sources.	Choose one or two product surfaces and cut duplicate conversion evidence.
I-0246	CH08	08	Microsoft, OpenAI, and the Cloud Bargain	manuscript/08-microsoft-openai-cloud-bargain.md	Shows cloud capacity becoming strategy, distribution, and governance all at once.	Open on the workload sentence: a model can become a product only if the cloud can carry it.	F08.01	A-0056	Strategic reversal	No revenue, customer ROI, active-use, margin, workload-volume, market-share, or model-superiority claim.	A/B the chapter with and without one blocker/flywheel visual.
I-0246	CH09	09	Google and DeepMind Wake the Sleeping Giant	manuscript/09-google-deepmind-gemini.md	Treats Google as a research leader, incumbent, platform owner, and habit machine under pressure.	Open with the question of which part of the giant can move first without breaking the rest.	F09.01	A-0086	Institutional character	No adoption, search-share, click-behavior, revenue, benchmark-superiority, or product-preference claim.	Preserve one chronology and one architecture anchor; avoid platform-map flattening.
I-0246	CH10	10	Meta, Llama, and the Open-Weight Shock	manuscript/10-meta-llama-open-weight-shock.md	Shows open weights as a release strategy that changed who could touch frontier-scale systems.	Start on the downloadable-object shock before the license and governance caveats arrive.	F10.01	A-0030	Open-weight surprise	No open-source legal equivalence, download count, adoption scale, benchmark superiority, safety, or ecosystem dominance claim.	Prioritize one release/source surface and one control-stack explanation.
