layer_id	layer_group	label	source_ids_or_assets	evidence_scope	allowed_visual_language	blocked_claims	design_role
AFSYS-001	demand	User demand and task queue	S-0001;S-0043;A-0069;A-0015	LLM products expose prompts, API calls, code-agent tasks, and enterprise workflows as visible demand surfaces.	Incoming work becomes tokenized requests, queues, latency pressure, and service-level promises.	exact workload volume; user adoption; productivity; business value; truthfulness	Starts the diagram with demand rather than chips so readers see the factory as a service system.
AFSYS-002	model_training	Training and post-training work	S-0139;S-0142;S-0143;A-0073	Chapter 14 capacity split and hardware sources support training as a distinct synchronized capacity problem.	Training consumes large accelerator, memory, interconnect, data, and scheduling resources to produce model weights and behavior.	exact FLOPs; training cost; cluster size; utilization; model quality; energy per run	Separates build-time model creation from run-time serving.
AFSYS-003	model_artifact	Model weights and release gate	A-0073;A-0014;A-0206;S-0168	Existing model/evaluation assets support the idea that trained artifacts move through evaluation and release gates before broad serving.	Weights and system behavior pass through eval, safety, packaging, and deployment decisions before they become products.	solved safety; benchmark crown; hidden chain-of-thought access; release causality	Gives the spread a hinge between training and inference.
AFSYS-004	inference	Inference serving and scheduling	S-0001;S-0064;A-0012;A-0015	NVIDIA/GTC and existing stack visuals support inference as a visible AI-factory workload when attributed.	Serving turns prompts plus weights into streamed tokens through batching, caching, routing, and latency-aware scheduling.	exact throughput; neutral performance ratios; exact cost per token; utilization; latency guarantee	Shows how the factory makes output after the model exists.
AFSYS-005	accelerator	Accelerators, CPUs, HBM, and rack-scale systems	S-0001;S-0039;S-0040;S-0010;A-0071;A-0072	Primary product/platform sources and Chapter 14 diagrams support the hardware/software substrate with caveats.	GPUs, CPUs, memory, interconnect endpoints, and rack-scale systems provide the compute surface for training and inference.	performance crown; availability; supply share; exact TCO; customer allocation; shipped roadmap proof	Anchors the machine in hardware without turning product claims into validation.
AFSYS-006	networking	Scale-up, scale-out, storage, and data movement	S-0001;S-0065;S-0067;A-0072;A-0012	Existing networking/interconnect rows support data movement as a necessary system layer.	Fast links, switches, storage, and orchestration move activations, parameters, retrieval payloads, logs, and service traffic.	exact bandwidth; speedup; bottleneck ranking; deployment scale; universal architecture	Prevents the diagram from pretending chips work alone.
AFSYS-007	software	CUDA, libraries, serving stack, and control plane	S-0138;S-0141;S-0142;A-0071;A-0058	Chapter 14 CUDA stack and Chapter 8 inference cost stack support software as infrastructure, not mere code garnish.	Frameworks, kernels, libraries, runtime, schedulers, observability, and policy controls shape usable capacity.	market dominance; quantified lock-in; universal developer preference; exact margin; governance adequacy	Makes software a layer of industrial capacity.
AFSYS-008	facility	Cooling, racks, physical plant, and site operations	S-0066;S-0087;S-0088;A-0022;A-0158	DSX and infrastructure sources support facility/cooling as constraint language under source-scoped caveats.	Racks, heat rejection, floor space, backup systems, water or liquid-cooling choices, and operations mediate installed compute.	site efficiency; water use; PUE generalization; customer deployment; facility performance; universal liquid cooling	Connects the AI factory metaphor to the building and thermal system.
AFSYS-009	power	Grid interconnection, electricity supply, and flexibility	S-0083;S-0084;S-0085;S-0086;S-0087;A-0015;A-0020;A-0021	Power reports and scenario assets support demand, local concentration, and interconnection constraints.	Electricity, substations, transformers, interconnection studies, procurement, and flexibility choices bound how fast capacity can become useful.	delivered electrons; named-campus workload; emissions outcome; energy-per-token estimate; forecast as history	Shows the physical bottleneck under the software output.
AFSYS-010	output	Token output, answer stream, and economic meter	S-0001;S-0083;S-0084;A-0015;A-0024	Sources support token output as a visible software result and NVIDIA's token/revenue language only as source-actor framing.	Tokens, code diffs, assistant answers, tool calls, and billing meters are the visible output of an industrial stack.	revenue proof; cost-per-token; profit margin; productivity; model quality; independent AI-factory economics	Closes the spread with output while refusing unsupported economics.
