candidate_id	priority	chapter	source_ids	working_title	exhibit_type	why_it_matters	required_provenance	blocked_caption_claims	status
DATAEX-0179-001	high	17	S-0155;S-0156;S-0261	From Common Crawl To C4	filter-funnel redraw	Shows data as a supply chain: crawl, extract, filter, deduplicate, document.	Paper page/figure ids, source urls, access dates, redraw notes.	Closed-model corpus share; legal cleanliness; demographic neutrality; content quality.	acquisition_ready
DATAEX-0179-002	high	17	S-0042;S-0157;S-0158	The Open Corpus Recipe Board	mixture-board redraw	Contrasts The Pile and Dolma as documented mixtures rather than hidden corpora.	Component/table extraction, page numbers, rights notes.	Proprietary corpus composition; universal representativeness; downstream superiority.	acquisition_ready
DATAEX-0179-003	high	17	S-0043;S-0153;S-0154	Tokenization Ladder	source-backed redraw	Extends existing tokenization visual with source-page provenance and exact blocker text.	Tokenizer label, demo text, token output source if numeric.	Exact tokenizer behavior across models; language-cost claims; neutrality.	ready_refine
DATAEX-0179-004	high	17	S-0160	Deduplication Is A Training Decision	paper-figure redraw	Shows why repeated data changes model behavior and benchmark risk.	Exact paper figure/table candidate and page id.	Universal improvement; exact effect sizes without extraction; legal conclusion.	acquisition_ready
DATAEX-0179-005	high	17/23	S-0161;S-0162	Memorization Is Conditional	risk map / source card	Ties data duplication and extraction to trust without sensationalizing.	Paper figure/table or excerpt candidate, quote-limit check.	Model leakage prevalence; product safety; legal liability.	acquisition_ready
DATAEX-0179-006	medium	17	S-0163	DataComp-LM: Data As A Benchmark	control-board redraw	Makes data curation measurable without turning it into one score.	Paper section/page ids and metric definitions.	Best recipe; live benchmark crown; closed-corpus inference.	acquisition_ready
DATAEX-0179-007	medium	17	S-0159;S-0262	FineWeb Decants The Web	source screenshot + redraw	Adds modern Common Crawl processing texture.	HF page hash, paper source, rights notes.	Benchmark lift; quality superiority; legal cleanliness.	acquisition_ready
DATAEX-0179-008	medium	17	S-0263	RefinedWeb As Web-Only Corpus	filter recipe redraw	Shows a web-only counterpoint in corpus design.	Paper page/figure ids.	Web data is sufficient; Falcon quality; universal superiority.	acquisition_ready
DATAEX-0179-009	medium	10/17	S-0264	RedPajama Data Lineage	repository screenshot / lineage redraw	Makes open-data reconstruction visible.	Repo commit/date/hash, license note.	Exact LLaMA replication; training equivalence; adoption impact.	acquisition_ready
DATAEX-0179-010	medium	17	S-0265	SlimPajama Dedup Package	dataset-page screenshot / source card	Shows open dataset packaging and dedup metadata.	HF page hash, license/metadata capture.	Largest/best dataset; model performance; legal status.	acquisition_ready
DATAEX-0179-011	medium	11/17	S-0266	ROOTS Multilingual Governance	source-excerpt card / mixture redraw	Adds multilingual/open-science governance texture.	Paper page ids, source governance table/section.	Representative world corpus; governance success; multilingual quality.	acquisition_ready
DATAEX-0179-012	medium	5/17	S-0267	BookCorpus Documentation Debt	source-excerpt blocker card	Shows books data as provenance problem, not nostalgia.	Quote-limit review, paper page id.	Any closed model used this exact corpus unless disclosed; legal ruling.	acquisition_ready
DATAEX-0179-013	medium	9/17/21	S-0117;S-0248	Long Context Is Inference-Time Data	context schematic	Connects training data and prompt/context supply.	Model memory solved; retrieval solved; cheap processing; enterprise knowledge.	Source model/version/date; context figure/page id.	candidate
DATAEX-0179-014	low	17	S-0155;S-0158;S-0159;S-0263	Web Dataset Family Tree	lineage map	Useful if Chapter 17 needs one overview instead of many cards.	All source IDs and date labels in one table.	Completeness, legal status, quality hierarchy.	candidate
DATAEX-0179-015	low	17	S-0042;S-0266;S-0267	Books/Web/Code Caution Board	source card triptych	Shows why provenance differs by source type.	Source snippets/page ids and quote-limit check.	Closed-model mixture shares; legality; consent.	candidate
