"rhythm_id"	"chapter"	"planned_slot"	"asset_id"	"asset_type"	"experience_class"	"final_role"	"selection_status"	"rights_status"	"pacing_note"	"next_gate"
"I0215-RHY-001"	"1"	"Ch01-01"	"A-0068"	"svg_diagram"	"scene"	"opener chronology"	"selected_100"	"ready_svg"	"Scene/chronology beat; use to orient before dense mechanism."	"Render in full-book opener spread."
"I0215-RHY-002"	"1"	"Ch01-02"	"A-0069"	"svg_diagram"	"mechanism"	"mechanism bridge"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Check mobile/print legibility."
"I0215-RHY-003"	"1"	"Ch01-03"	"A-0070"	"svg_diagram"	"scene"	"local response texture"	"selected_100"	"ready_svg"	"Scene/chronology beat; use to orient before dense mechanism."	"Keep only if prose placement stays tight."
"I0215-RHY-004"	"2"	"Ch02-01"	"A-0115"	"svg_diagram"	"mechanism"	"pre-Transformer pressure chain"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Trace final caption to paper-source rows."
"I0215-RHY-005"	"3"	"Ch03-01"	"A-0116"	"svg_diagram"	"mechanism"	"self-attention mechanism"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Add exact Transformer-figure provenance before final art."
"I0215-RHY-006"	"4"	"Ch04-01"	"A-0117"	"svg_diagram"	"evidence"	"scaling evidence lanes"	"selected_100"	"ready_svg"	"Evidence-control beat; keep caption concise and claim-scoped."	"Verify plotted-value exclusions in final caption."
"I0215-RHY-007"	"5"	"Ch05-01"	"A-0010"	"svg_diagram"	"mechanism"	"GPT lineage anchor"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Check against Chapter 19 overlap."
"I0215-RHY-008"	"6"	"Ch06-01"	"A-0011"	"svg_diagram"	"mechanism"	"alignment mechanism"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Pair with one source surface, not more diagrams."
"I0215-RHY-009"	"6"	"Ch06-02"	"A-0121"	"screenshot_slot"	"source_texture"	"ChatGPT product surface"	"selected_100"	"private_capture_needed"	"Concrete surface beat; use to vary diagram-heavy stretches without importing outcome claims."	"Capture screenshot/hash; rights review."
"I0215-RHY-010"	"6"	"Ch06-03"	"A-0122"	"screenshot_slot"	"source_texture"	"Plus productization surface"	"selected_100"	"private_capture_needed"	"Concrete surface beat; use to vary diagram-heavy stretches without importing outcome claims."	"Capture screenshot/hash; strict caption."
"I0215-RHY-011"	"7"	"Ch07-01"	"A-0016"	"svg_diagram"	"scene"	"ChatGPT business timeline"	"selected_100"	"ready_svg"	"Scene/chronology beat; use to orient before dense mechanism."	"Retain blocked adoption lane."
"I0215-RHY-012"	"7"	"Ch07-02"	"A-0036"	"screenshot_slot"	"source_texture"	"ChatGPT launch surface"	"selected_100"	"private_capture_needed"	"Concrete surface beat; use to vary diagram-heavy stretches without importing outcome claims."	"Capture/hash or use archival fallback."
"I0215-RHY-013"	"7"	"Ch07-03"	"A-0037"	"screenshot_slot"	"source_texture"	"ChatGPT Plus surface"	"selected_100"	"private_capture_needed"	"Concrete surface beat; use to vary diagram-heavy stretches without importing outcome claims."	"Choose one of A-0037/A-0122 in final layout."
"I0215-RHY-014"	"7"	"Ch07-04"	"A-0038"	"screenshot_slot"	"source_texture"	"Enterprise surface"	"selected_100"	"private_capture_needed"	"Concrete surface beat; use to vary diagram-heavy stretches without importing outcome claims."	"Capture/hash; block productivity and customer outcomes."
"I0215-RHY-015"	"7"	"Ch07-05"	"A-0039"	"screenshot_slot"	"source_texture"	"plugins surface"	"selected_100"	"private_capture_needed"	"Concrete surface beat; use to vary diagram-heavy stretches without importing outcome claims."	"Capture/hash; block ecosystem adoption."
"I0215-RHY-016"	"8"	"Ch08-01"	"A-0056"	"svg_diagram"	"scene"	"cloud bargain timeline"	"selected_100"	"ready_svg"	"Scene/chronology beat; use to orient before dense mechanism."	"Check if chapter can carry four diagrams."
"I0215-RHY-017"	"8"	"Ch08-02"	"A-0057"	"svg_diagram"	"evidence"	"cloud-to-product flywheel"	"selected_100"	"ready_svg"	"Evidence-control beat; keep caption concise and claim-scoped."	"Prune if it duplicates A-0056 in layout."
"I0215-RHY-018"	"8"	"Ch08-03"	"A-0058"	"svg_diagram"	"mechanism"	"inference cost stack"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Keep for economics handoff."
"I0215-RHY-019"	"8"	"Ch08-04"	"A-0059"	"svg_diagram"	"comparison"	"enterprise blocker map"	"selected_100"	"ready_svg"	"Comparison/permission beat; avoid adjacent comparison overload."	"May become appendix/sidebar if chapter feels over-diagrammed."
