queue_id	screenshot_id	assets_manifest_id	capture_url_or_path	capture_viewport	capture_tool	private_use_path	hash_fields_required	publication_gate	chapter_target	caption_floor
MCQ-0180-001	MPI-0180-001	A-0121	https://openai.com/index/chatgpt/	1280x900	browser	assets/private_use_screenshots/i0180/A-0121_chatgpt_launch_product_surface.png	sha256;html_sha256;captured_at;url;page_title	rights/fair-use review before publication	6	Attribution, source date, and product-surface scope.
MCQ-0180-002	MPI-0180-002	A-0122	https://openai.com/index/chatgpt-plus/	1280x900	browser	assets/private_use_screenshots/i0180/A-0122_chatgpt_plus_product_surface.png	sha256;html_sha256;captured_at;url;page_title	rights/fair-use review before publication	6	Paid-product framing only; no subscriber or revenue inference.
MCQ-0180-003	MPI-0180-003	A-0123	https://openai.com/index/introducing-chatgpt-enterprise/	1440x1000	browser	assets/private_use_screenshots/i0180/A-0123_chatgpt_enterprise_product_surface.png	sha256;html_sha256;captured_at;url;page_title	rights/fair-use review before publication	7	Enterprise wrapper and governance promise, not proof of enterprise outcome.
MCQ-0180-004	MPI-0180-004	A-0124	https://openai.com/index/chatgpt-plugins/	1280x900	browser	assets/private_use_screenshots/i0180/A-0124_chatgpt_tools_gpts_product_surface.png	sha256;html_sha256;captured_at;url;page_title	rights/fair-use review before publication	12;18	Tool surface chronology only; no app-store or autonomy claim.
MCQ-0180-005	MPI-0180-005	A-0125	https://platform.openai.com/docs/guides/tools?api-mode=chat	1440x1000	browser	assets/private_use_screenshots/i0180/A-0125_openai_api_tools_docs_surface.png	sha256;html_sha256;captured_at;url;page_title	rights/fair-use review before publication	18	Dynamic docs page; exact behavior needs source-date extraction.
MCQ-0180-006	MPI-0180-006	A-0126	https://openai.com/index/introducing-codex/	1440x1000	browser	assets/private_use_screenshots/i0180/A-0126_openai_codex_agent_surface.png	sha256;html_sha256;captured_at;url;page_title	rights/fair-use review before publication	20	Codex as supervised repository-agent packaging, not productivity proof.
MCQ-0180-007	MPI-0180-007	A-0127	https://github.blog/news-insights/product-news/introducing-github-copilot-ai-pair-programmer/	1440x1000	browser	assets/private_use_screenshots/i0180/A-0127_github_copilot_product_surface.png	sha256;html_sha256;captured_at;url;page_title	rights/fair-use review before publication	19	Coding assistant surface and date only.
MCQ-0180-008	MPI-0180-008	A-0128	https://blogs.microsoft.com/blog/2023/03/16/introducing-microsoft-365-copilot-your-copilot-for-work/	1440x1000	browser	assets/private_use_screenshots/i0180/A-0128_microsoft_365_copilot_product_surface.png	sha256;html_sha256;captured_at;url;page_title	rights/fair-use review before publication	7	Work-surface announcement only; block productivity and commercial claims.
MCQ-0180-009	MPI-0180-009	A-0129	https://blog.google/products/gemini/bard-gemini-advanced-app/	1440x1000	browser	assets/private_use_screenshots/i0180/A-0129_gemini_bard_product_surface.png	sha256;html_sha256;captured_at;url;page_title	rights/fair-use review before publication	8	Gemini/Bard product conversion under Google distribution pressure.
MCQ-0180-010	MPI-0180-010	A-0130	https://www.anthropic.com/news/claude-3-7-sonnet	1440x1000	browser	assets/private_use_screenshots/i0180/A-0130_claude_product_surface.png	sha256;html_sha256;captured_at;url;page_title	rights/fair-use review before publication	12	Claude source surface only; no safety or benchmark conclusion.
MCQ-0180-011	MPI-0180-011	A-0131	https://www.anthropic.com/news/claude-3-7-sonnet	1440x1000	browser	assets/private_use_screenshots/i0180/A-0131_claude_code_product_surface.png	sha256;html_sha256;captured_at;url;page_title	rights/fair-use review before publication	20	Claude Code workflow surface with review boundary.
MCQ-0180-012	MPI-0180-012	A-0132	https://docs.cursor.com/	1440x1000	browser	assets/private_use_screenshots/i0180/A-0132_cursor_style_ide_surface.png	sha256;html_sha256;captured_at;url;page_title	rights/fair-use review before publication	19	AI-native IDE source surface, not dominance proof.
