evidence_id	source_ids	evidence_axis	safe_claim	chapter_use	caveat
DCPC-001	S-0083	global_demand	Data centres accounted for roughly 1.5% of global electricity consumption in 2024, and IEA's 2025 base case projected data-centre electricity consumption to more than double by 2030.	Use to open Chapter 16 with scale: AI infrastructure is physically small in global share but fast-growing and locally concentrated.	Forecasts are scenario outputs, not guarantees; keep IEA attribution in sentence.
DCPC-002	S-0083	grid_bottlenecks	IEA estimated that about 20% of planned data-centre projects could face delay risk if grid and supply bottlenecks are not addressed.	Use to explain why "AI factory" strategy runs into grid connection, transformers, cables, and turbine lead times.	Use as an IEA risk estimate; do not convert into a count of specific delayed projects.
DCPC-003	S-0083	power_supply_mix	IEA projected global electricity generation to supply data centres rising from 460 TWh in 2024 to more than 1,000 TWh in 2030, with renewables meeting nearly half of additional demand and natural gas/coal still important near term.	Use to prevent a one-note clean-energy or fossil-only narrative.	Separate physical electricity supply from corporate procurement claims such as PPAs or certificates.
DCPC-004	S-0084;S-0085	u_s_load_growth	LBNL/DOE reported U.S. data centres consumed about 176 TWh in 2023 and projected 325-580 TWh by 2028, with total U.S. share rising from about 4.4% in 2023 to 6.7%-12% by 2028.	Use as the U.S. quantitative backbone for Chapter 16.	Scenario range depends on assumptions about shipments, AI adoption, and efficiency; avoid single-point certainty.
DCPC-005	S-0086	local_concentration	EPRI emphasized that data-centre load is geographically concentrated, with fifteen states accounting for an estimated 80% of U.S. data-centre load in 2023 and Virginia especially exposed.	Use to turn the chapter from "national electricity" into "specific grid geography."	EPRI's state-level projections are simplified scenario work; avoid overreading exact state percentages.
DCPC-006	S-0086	facility_scale	EPRI described new data centres with capacities from 100 MW to 1,000 MW and compared that range to the load of roughly 80,000 to 800,000 average homes.	Use to make the physical scale legible to non-specialist readers.	Keep the comparison attributed; actual household equivalence varies by region and time.
DCPC-007	S-0087	interconnection	DOE-SEAB reported hyperscale connection requests of 300-1,000 MW or larger with 1-3 year lead times stretching local grids.	Use to explain why procurement timelines and utility planning now shape LLM scaling.	This is advisory-report language from stakeholder review, not a complete interconnection dataset.
DCPC-008	S-0087	flexibility	DOE-SEAB identified temporal/spatial compute flexibility, backup-power strategy, grid services, and model tariffs as possible responses to bottlenecks.	Use to frame inference/training load as potentially dispatchable, but not yet routine grid practice.	Do not claim broad U.S. grid-aware flexible data-centre operation; SEAB says examples were limited.
DCPC-009	S-0087	cooling_and_facilities	DOE-SEAB recommended facility-level solutions including advanced cooling technologies, power/water reduction, waste-heat use, and onsite/facility-level electricity supply experiments.	Use to connect cooling to grid stress rather than treating cooling as mere building plumbing.	Needs engineering-specific sources before final detailed cooling technology claims.
DCPC-010	S-0088	pue_rack_density	Uptime Institute's 2025 survey reported little change in average PUE for a sixth consecutive year, slowly rising server-rack power densities, and few facilities exceeding 30 kW racks.	Use as a caution against assuming cooling and power-density improvements automatically absorb AI demand.	Industry survey source; corroborate exact facility-design claims before final prose.
