"qa_id"	"chapter"	"asset_id"	"asset_type"	"file_path"	"width"	"height"	"min_font_px"	"tiny_font_count_under_14"	"very_tiny_count_under_12"	"thin_stroke_count_under_1_5"	"source_label_gate"	"caveat_label_gate"	"axis_annotation_gate"	"accessibility_metadata"	"color_count"	"text_color_count"	"min_text_contrast_proxy"	"issue_count"	"issue_mix"	"legibility_gate"	"next_action"
"I0219-LEG-001"	"1"	"A-0068"	"svg_diagram"	"assets/visual_system/chapter1-chatgpt-shock-chronology.svg"	"1200"	"760"	"12"	"1"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"11"	"2"	"5,43"	"1"	"print_scale_small_text"	"render_scale_review"	"Inspect or revise text scale before final PDF placement."
"I0219-LEG-002"	"1"	"A-0069"	"svg_diagram"	"assets/visual_system/chapter1-token-to-answer-schematic.svg"	"1200"	"760"	"12"	"1"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"14"	"2"	"5,43"	"1"	"print_scale_small_text"	"render_scale_review"	"Inspect or revise text scale before final PDF placement."
"I0219-LEG-003"	"1"	"A-0070"	"svg_diagram"	"assets/visual_system/chapter1-institutional-response-chronology.svg"	"1200"	"760"	"12"	"1"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"13"	"2"	"5,43"	"1"	"print_scale_small_text"	"render_scale_review"	"Inspect or revise text scale before final PDF placement."
"I0219-LEG-004"	"2"	"A-0115"	"svg_diagram"	"assets/visual_system/chapter2-pre-transformer-bottleneck-map.svg"	"1200"	"760"	"14"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"14"	"6"	"1,23"	"1"	"text_contrast_proxy_review"	"style_metadata_review"	"Patch metadata/style fields before render QA."
"I0219-LEG-005"	"3"	"A-0116"	"svg_diagram"	"assets/visual_system/chapter3-self-attention-information-flow.svg"	"1200"	"760"	"14"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"16"	"7"	"1,25"	"1"	"text_contrast_proxy_review"	"style_metadata_review"	"Patch metadata/style fields before render QA."
"I0219-LEG-006"	"4"	"A-0117"	"svg_diagram"	"assets/visual_system/chapter4-scaling-evidence-lane-chart.svg"	"1200"	"760"	"14"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"17"	"7"	"1,25"	"1"	"text_contrast_proxy_review"	"style_metadata_review"	"Patch metadata/style fields before render QA."
"I0219-LEG-007"	"5"	"A-0010"	"svg_diagram"	"assets/visual_system/gpt-lineage-table.svg"	"1600"	"900"	"15"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"11"	"4"	"3,87"	"1"	"text_contrast_proxy_review"	"style_metadata_review"	"Patch metadata/style fields before render QA."
"I0219-LEG-008"	"6"	"A-0011"	"svg_diagram"	"assets/visual_system/rlhf-alignment-pipeline.svg"	"1600"	"900"	"14"	"0"	"0"	"1"	"yes"	"yes"	"not_applicable"	"ok"	"12"	"3"	"3,87"	"2"	"thin_stroke_under_1_5px;text_contrast_proxy_review"	"style_metadata_review"	"Patch metadata/style fields before render QA."
"I0219-LEG-009"	"7"	"A-0016"	"svg_diagram"	"assets/visual_system/chatgpt-interface-business-timeline.svg"	"1400"	"760"	"14"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"12"	"3"	"5,93"	"0"	"none"	"legibility_proxy_ok"	"Carry into page-image render QA; do not certify final size until placed."
"I0219-LEG-010"	"8"	"A-0056"	"svg_diagram"	"assets/visual_system/chapter8-microsoft-openai-partnership-chronology.svg"	"1400"	"760"	"13"	"1"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"10"	"3"	"3,87"	"2"	"print_scale_small_text;text_contrast_proxy_review"	"render_scale_review"	"Inspect or revise text scale before final PDF placement."
"I0219-LEG-011"	"8"	"A-0057"	"svg_diagram"	"assets/visual_system/chapter8-cloud-to-product-flywheel.svg"	"1200"	"760"	"13"	"1"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"13"	"2"	"5,43"	"1"	"print_scale_small_text"	"render_scale_review"	"Inspect or revise text scale before final PDF placement."
"I0219-LEG-012"	"8"	"A-0058"	"svg_diagram"	"assets/visual_system/chapter8-inference-cost-stack.svg"	"1200"	"760"	"13"	"1"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"10"	"2"	"5,43"	"1"	"print_scale_small_text"	"render_scale_review"	"Inspect or revise text scale before final PDF placement."
"I0219-LEG-013"	"8"	"A-0059"	"svg_diagram"	"assets/visual_system/chapter8-enterprise-claim-blocker-map.svg"	"1200"	"760"	"13"	"1"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"9"	"2"	"5,43"	"1"	"print_scale_small_text"	"render_scale_review"	"Inspect or revise text scale before final PDF placement."
"I0219-LEG-014"	"9"	"A-0086"	"svg_diagram"	"assets/visual_system/chapter9-research-to-product-conversion-timeline.svg"	"1200"	"760"	"13"	"1"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"28"	"10"	"5,93"	"1"	"print_scale_small_text"	"render_scale_review"	"Inspect or revise text scale before final PDF placement."
