qa_id	gate_id	evidence	result	decision	notes
CH16PDF-001	CH16PG-001	candidate anchor_page=2; note_page=2; pdf=C:/AI/TEMP/World_Of_Computing/rendered/chapter16_i0083/chapter16_i0083_candidate.pdf; page_image=C:/AI/TEMP/World_Of_Computing/rendered/chapter16_i0083/chapter16_i0083_candidate_p02.png	pass	candidate_pdf_gate_passed	N16-1 anchor and full mapping note extract on the same rendered PDF page.
CH16PDF-002	CH16PG-002	candidate page image includes dashed leader from N16-1 anchor area to the note column; bounding boxes were generated by the render script.	pass	candidate_pdf_gate_passed	Visual inspection target is rendered/chapter16_i0083/chapter16_i0083_candidate_p02.png in the current layout.
CH16PDF-003	CH16PG-003	page_width=432pt; parent_main_width=344pt; candidate_main_width=246pt; note_width=82pt; note_font=7.2pt	pass_with_caveat	candidate_pdf_gate_passed_for_text_proof	The note is readable in 2x page PNG, but final book trim/style can still require a new render.
CH16PDF-004	CH16PG-004	candidate render includes page furniture and an A-0015 placement-check page; no note overlap or crowding appears in the generated page image.	pass_with_scope_limit	candidate_pdf_gate_passed_for_current_text_layout	This is a production-text PDF proof, not the final designed full-book renderer.
CH16PDF-005	CH16PG-005	text extraction contains CH16Q-003, CH16Q-004, CH16Q-005, CH16Q-006, reported, modeled, projected, and scenario in N16-1.	pass	candidate_pdf_gate_passed	The four LBNL/DOE mappings survive PDF text extraction as separate rows.
CH16PDF-006	CH16PG-006	candidate_ch16q017_page=1; parent_ch16q017_page=1	pass	candidate_pdf_gate_passed	CH16Q-017 remains inline in the opening company-framing paragraph.
CH16PDF-007	CH16PG-007	candidate_ch16q018_page=4; parent_ch16q018_page=3	pass	candidate_pdf_gate_passed	CH16Q-018 remains inline beside the energy-per-token exclusion.
CH16PDF-008	CH16PG-008	candidate_ch16q015_page=3; candidate_ch16q016_page=3	pass	candidate_pdf_gate_passed	CH16Q-015 and CH16Q-016 remain inline in the Uptime operator-signal paragraph.
CH16PDF-009	CH16PG-009	live manuscript keeps only the LBNL/DOE paragraph under the N16-1 anchor; candidate render adds the full CH16Q-003 through CH16Q-006 mapping note without adding new quantities.	pass	candidate_pdf_gate_passed	Live prose changed only by replacing the LBNL/DOE CH16Q-003 through CH16Q-006 inline clusters with N16-1; no new quantitative claim row is introduced.
CH16PDF-010	CH16PG-010	parent_pdf=C:/AI/TEMP/World_Of_Computing/rendered/chapter16_i0083/chapter16_i0083_parent.pdf; candidate_pdf=C:/AI/TEMP/World_Of_Computing/rendered/chapter16_i0083/chapter16_i0083_candidate.pdf; parent_pages=3; candidate_pages=5	pass	candidate_pdf_gate_passed	Parent/candidate PDFs, extracted text, and page images are all regenerated by the script for reversibility.
CH16SMOKE-TEXT	RENDER-SMOKE	required=10; missing=none	pass	candidate_pdf_gate_passed	Required guardrail strings survive PDF text extraction.
CH16SMOKE-IMAGE-ANCHOR	RENDER-SMOKE	path=C:/AI/TEMP/World_Of_Computing/rendered/chapter16_i0083/chapter16_i0083_candidate_p02.png; unique_colors=59.0; dark_ratio=0.000; mean_luma=244.1; colorfulness=0.9	pass	candidate_pdf_gate_passed	Image is rejected if it looks blank, near-black, monochrome, or missing expected figure colors.
CH16SMOKE-IMAGE-FIGURE	RENDER-SMOKE	path=C:/AI/TEMP/World_Of_Computing/rendered/chapter16_i0083/chapter16_i0083_candidate_p05.png; unique_colors=30.0; dark_ratio=0.002; mean_luma=252.8; colorfulness=0.2	pass	candidate_pdf_gate_passed	Image is rejected if it looks blank, near-black, monochrome, or missing expected figure colors.
CH16SMOKE-ARTIFACTS	RENDER-SMOKE	max_unignored_bytes=250000; unignored_large=none	pass	candidate_pdf_gate_passed	Rendered PDFs, PNGs, and text extracts must stay ignored when they are too large for source control.
