card_asset_id	card_id	chapter	source_ids	card_title	source_family	card_role	direct_quote	quote_words_used	provenance_status	design_status	blocked_claims	next_action
A-0198	SEC-0189-013	10	S-0111;S-0112;S-0113;S-0114	Open weights are a control stack	Meta/Llama source surfaces	Explains Llama as release posts plus repository surfaces, not a logo or adoption story.	no	0	source_rows_available;local_html_for_core_meta_rows	near_final_svg	open-source legal conclusion; adoption count; benchmark superiority; ecosystem dominance	Page-proof beside Chapter 10 open-weight control figure; keep source notes near card.
A-0199	SEC-0189-024	13	S-0035;S-0037	Coding benchmarks are harnesses	benchmark papers	Shows SWE-bench and LiveCodeBench as task/scaffold contracts before any coding-agent rank.	no	0	source_rows_available;local_html_available	near_final_svg	best coder; productivity proof; secure code quality; developer replacement	Use in Chapter 13/20 only with benchmark version, scaffold, tools, and date fields.
A-0200	SEC-0189-015	15	S-0001	GTC page 29 is NVIDIA framing	GTC slide source	Shows the AI-factory thesis as NVIDIA-attributed stagecraft, not independent economics.	no	0	local_pdf_hash_available;page_29_render_exists	near_final_svg	neutral industry definition; deployed capacity; revenue proof; performance proof	Choose against raw page-29 slide/card duplication during final layout.
A-0201	SEC-0189-018	16	S-0086;S-0087	Power is a process lane	infrastructure reports	Frames interconnection, backup, flexibility, and utility planning as grid process constraints.	no	0	source_rows_available;capture_notes_available	near_final_svg	solved interconnection; fuel mix; emissions; named-campus proof; workload attribution	Page-proof beside power-response taxonomy; add exact report page refs before direct quotation.
A-0202	SEC-0189-020	17	S-0261;S-0262	Raw crawl becomes filtered corpus	corpus sources	Connects Common Crawl and FineWeb as transformation surfaces, not ownership of truth.	no	0	source_rows_identified;web_refreshed	near_final_svg	closed-model corpus composition; legality; consent; representativeness; quality superiority	Use as source texture only; capture final source snapshots before public PDF.
A-0203	SEC-0189-021	17	S-0263;S-0264;S-0265	Open recipes expose choices	corpus recipe sources	Shows RefinedWeb, RedPajama, and SlimPajama as recipe/provenance surfaces with gaps.	no	0	source_rows_identified;web_refreshed	near_final_svg	exact LLaMA replication; legal conclusion; model quality proof; adoption impact	Add snapshot hashes if card is promoted into final selected-100 replacement.
A-0204	SEC-0189-023	18	S-0038;S-0135	Retrieval and action are different promises	tool-use papers	Distinguishes retrieved evidence from action/observation loops before autonomy claims.	no	0	source_rows_available;local_react_html_available	near_final_svg	production reliability; complete factuality; broad planning competence; autonomous operation	Pair with RAG/tool-loop diagrams; keep source IDs visible.
A-0205	SEC-0189-024	20	S-0048;S-0049;S-0050;S-0051	Claude Code needs permissions and review	Claude Code launch/docs	Shows coding-agent documentation as workflow and control evidence rather than productivity proof.	no	0	source_rows_available;local_docs_available	near_final_svg	developer replacement; enterprise productivity; autonomy; security sufficiency	Page-proof with caption firewall; avoid current-UI claims.
A-0206	SEC-0189-025	21	S-0170;S-0171;S-0172;S-0173	Reasoning methods spend inference	reasoning papers	Labels chain-of-thought, self-consistency, process supervision, and tree search as procedures.	no	0	source_rows_available_or_identified	near_final_svg	faithful explanation; truth guarantee; universal improvement; solved planning	Add exact page refs before any direct phrase from papers.
A-0207	SEC-0189-027	23	S-0164;S-0165;S-0166;S-0167	Failures are separate evidence lanes	trust/failure papers	Separates truthfulness, model-written evals, adversarial attacks, and reward tampering.	no	0	source_rows_identified;web_refreshed	near_final_svg	production prevalence; uniform vulnerability; solved safety; all-model personality	Use as trust-chapter source texture after final paper page refs are logged.
