asset_id	category	subject	organization_or_role	source_page_url	source_asset_url	local_path	sha256	file_size	width	height	quality_score	quality_note	rights_status	story_purpose	blocked_claims
A-0287-001	source_image	NVIDIA DGX Cloud	NVIDIA	https://www.nvidia.com/en-us/data-center/dgx-cloud/	https://www.nvidia.com/en-us/data-center/dgx-cloud/	assets/private_use_screenshots/i0287_source_pages/src-0287-001-nvidia-dgx-cloud.png	7408690e7b905d51b033cc2ca025057ec916cf95c0ccdbaabd81bd884f4e09bb	340019	1360	920	100.0	mp=1.25; contrast=255	private_use_public_webpage_screenshot	AI-cloud product surface	Screenshot surface only; does not prove current product state, adoption, performance, revenue, safety, benchmark rank, or deployment outcome.
A-0287-002	source_image	NVIDIA GB200 NVL72	NVIDIA	https://www.nvidia.com/en-us/data-center/gb200-nvl72/	https://www.nvidia.com/en-us/data-center/gb200-nvl72/	assets/private_use_screenshots/i0287_source_pages/src-0287-002-nvidia-gb200-nvl72.png	fbda80d823ee81867cea6d7da4220656f3795b59604d58d3bc036d765b373731	229393	1360	920	100.0	mp=1.25; contrast=255	private_use_public_webpage_screenshot	rack-scale hardware surface	Screenshot surface only; does not prove current product state, adoption, performance, revenue, safety, benchmark rank, or deployment outcome.
A-0287-003	source_image	NVIDIA CUDA Toolkit	NVIDIA	https://developer.nvidia.com/cuda-toolkit	https://developer.nvidia.com/cuda-toolkit	assets/private_use_screenshots/i0287_source_pages/src-0287-003-nvidia-cuda-toolkit.png	f822e4d515754195c297a611e72f5476a1e0c7fdc954fe42869289ddfc16eaa6	91936	1360	920	100.0	mp=1.25; contrast=255	private_use_public_webpage_screenshot	software stack surface	Screenshot surface only; does not prove current product state, adoption, performance, revenue, safety, benchmark rank, or deployment outcome.
A-0287-004	source_image	AMD ROCm	AMD	https://www.amd.com/en/developer/resources/rocm-hub.html	https://www.amd.com/en/developer/resources/rocm-hub.html	assets/private_use_screenshots/i0287_source_pages/src-0287-004-amd-rocm.png	86b8fa8a36fc920077a6fb5e63fad6d2b39b3502dfcbcbcdbd9653beaf58f9a2	17860	1360	920	100.0	mp=1.25; contrast=126	private_use_public_webpage_screenshot	accelerator software surface	Screenshot surface only; does not prove current product state, adoption, performance, revenue, safety, benchmark rank, or deployment outcome.
A-0287-005	source_image	AMD Instinct MI300	AMD	https://www.amd.com/en/products/accelerators/instinct/mi300.html	https://www.amd.com/en/products/accelerators/instinct/mi300.html	assets/private_use_screenshots/i0287_source_pages/src-0287-005-amd-instinct-mi300.png	1a9242ab13d0768c6af7f8924fae353288954a8195baf81f408686c2caec0122	18929	1360	920	100.0	mp=1.25; contrast=126	private_use_public_webpage_screenshot	accelerator competitor surface	Screenshot surface only; does not prove current product state, adoption, performance, revenue, safety, benchmark rank, or deployment outcome.
A-0287-006	source_image	CoreWeave Cloud	CoreWeave	https://www.coreweave.com/	https://www.coreweave.com/	assets/private_use_screenshots/i0287_source_pages/src-0287-006-coreweave-cloud.png	6b527a45a99ba08e0853edf4f1b135c8d6e68c8abfba224abb8c90753f2da33e	236113	1360	920	100.0	mp=1.25; contrast=250	private_use_public_webpage_screenshot	GPU cloud surface	Screenshot surface only; does not prove current product state, adoption, performance, revenue, safety, benchmark rank, or deployment outcome.
A-0287-007	source_image	Lambda GPU Cloud	Lambda	https://lambdalabs.com/service/gpu-cloud	https://lambdalabs.com/service/gpu-cloud	assets/private_use_screenshots/i0287_source_pages/src-0287-007-lambda-gpu-cloud.png	77af5d1ac3a378ed3d464ec5a9e7a07af6473c757a043243880d69e3988f44d1	120840	1360	920	100.0	mp=1.25; contrast=255	private_use_public_webpage_screenshot	GPU cloud surface	Screenshot surface only; does not prove current product state, adoption, performance, revenue, safety, benchmark rank, or deployment outcome.
A-0287-008	source_image	Crusoe Cloud	Crusoe	https://crusoe.ai/cloud/	https://crusoe.ai/cloud/	assets/private_use_screenshots/i0287_source_pages/src-0287-008-crusoe-cloud.png	ca6ee15ed7e6cefe70b452e527f34e6f563842c40908fb5f4c12807875ed8da8	131458	1360	920	100.0	mp=1.25; contrast=255	private_use_public_webpage_screenshot	AI infrastructure cloud surface	Screenshot surface only; does not prove current product state, adoption, performance, revenue, safety, benchmark rank, or deployment outcome.
A-0287-009	source_image	Equinix AI	Equinix	https://www.equinix.com/solutions/artificial-intelligence	https://www.equinix.com/solutions/artificial-intelligence	assets/private_use_screenshots/i0287_source_pages/src-0287-009-equinix-ai.png	0041d672b58f44824e19a5ab4622254a40a65875652af8a741294350f94e3d4c	16275	1360	920	100.0	mp=1.25; contrast=254	private_use_public_webpage_screenshot	datacenter AI surface	Screenshot surface only; does not prove current product state, adoption, performance, revenue, safety, benchmark rank, or deployment outcome.
A-0287-010	source_image	Digital Realty AI	Digital Realty	https://www.digitalrealty.com/data-centers/artificial-intelligence	https://www.digitalrealty.com/data-centers/artificial-intelligence	assets/private_use_screenshots/i0287_source_pages/src-0287-010-digital-realty-ai.png	4540c3dfd67360ed4fad5e9004986865a5da1de9eae0efa94be7d768ad3e7199	47509	1360	920	100.0	mp=1.25; contrast=216	private_use_public_webpage_screenshot	datacenter AI surface	Screenshot surface only; does not prove current product state, adoption, performance, revenue, safety, benchmark rank, or deployment outcome.
