"pass_id"	"chapter"	"assembly_title"	"primary_file"	"supplemental_file"	"primary_words"	"supplemental_words"	"assembled_words"	"figure_placeholders"	"status"	"assembly_note"
"I-0237"	"CH01"	"The Shock"	"manuscript/01-the-shock.md"	""	"3844"	"0"	"3844"	"3"	"assembled"	"current main chapter"
"I-0237"	"CH02"	"Before the Transformer"	"manuscript/01-before-the-transformer.md"	""	"3670"	"0"	"3670"	"1"	"mapped_numbering_drift"	"filename remains 01 from earlier drift; assembly maps it to outline chapter 2"
"I-0237"	"CH03"	"Attention Catches Fire"	"manuscript/02-attention-catches-fire.md"	""	"3674"	"0"	"3674"	"1"	"mapped_numbering_drift"	"filename remains 02 from earlier drift; assembly maps it to outline chapter 3"
"I-0237"	"CH04"	"The Scaling Bet"	"manuscript/03-scaling-bet.md"	""	"3653"	"0"	"3653"	"1"	"mapped_numbering_drift"	"filename remains 03 from earlier drift; assembly maps it to outline chapter 4"
"I-0237"	"CH05"	"GPT-1 to GPT-3: The Door Opens"	"manuscript/05-gpt-1-to-gpt-3-door-opens.md"	""	"5488"	"0"	"5488"	"1"	"assembled"	"current main chapter"
"I-0237"	"CH06"	"Alignment Enters the Product"	"manuscript/06-alignment-enters-product.md"	""	"5105"	"0"	"5105"	"3"	"assembled"	"current main chapter"
"I-0237"	"CH07"	"ChatGPT: The Interface Event"	"manuscript/07-chatgpt-interface-event.md"	""	"5074"	"0"	"5074"	"5"	"assembled"	"current main chapter"
"I-0237"	"CH08"	"Microsoft, OpenAI, and the Cloud Bargain"	"manuscript/08-microsoft-openai-cloud-bargain.md"	""	"3832"	"0"	"3832"	"4"	"assembled"	"current main chapter"
"I-0237"	"CH09"	"Google and DeepMind Wake the Sleeping Giant"	"manuscript/09-google-deepmind-gemini.md"	""	"3965"	"0"	"3965"	"5"	"assembled"	"current main chapter"
"I-0237"	"CH10"	"Meta, Llama, and the Open-Weight Shock"	"manuscript/10-meta-llama-open-weight-shock.md"	""	"3840"	"0"	"3840"	"5"	"assembled"	"current main chapter"
"I-0237"	"CH11"	"The Chinese Frontier"	"manuscript/11-chinese-frontier-open-models.md"	""	"3823"	"0"	"3823"	"5"	"assembled"	"current main chapter"
"I-0237"	"CH12"	"Europe, xAI, Anthropic, and the Rest of the Frontier"	"manuscript/12-europe-xai-rest-frontier.md"	"manuscript/12-anthropic-and-claude-spine-section.md"	"3702"	"3911"	"7613"	"6"	"compound_unresolved"	"compound unresolved: official outline slot is Europe/xAI/rest-of-frontier, while Anthropic/Claude is a valuable same-number sidecar retained here as supplemental material until title normalization"
"I-0237"	"CH13"	"Benchmarks, Arenas, and the Mirage of Rank"	"manuscript/13-model-rankings-appendix.md"	""	"3935"	"0"	"3935"	"3"	"mapped_numbering_drift"	"filename still says appendix; assembly treats it as main chapter"
"I-0237"	"CH14"	"NVIDIA and CUDA: The Moat Under the Moat"	"manuscript/14-nvidia-cuda-moat.md"	""	"3947"	"0"	"3947"	"6"	"assembled"	"current main chapter"
"I-0237"	"CH15"	"GTC 2026: The AI Factory Sells Itself"	"manuscript/15-gtc-2026-ai-factory-sells-itself.md"	""	"4912"	"0"	"4912"	"7"	"assembled"	"current main chapter"
"I-0237"	"CH16"	"Datacenters, Power, and the Physical Internet"	"manuscript/16-speed-to-power.md"	""	"5266"	"0"	"5266"	"9"	"mapped_numbering_drift"	"filename remains Speed To Power; assembly maps it to official outline chapter 16"
"I-0237"	"CH17"	"Data, Tokens, and the Library Problem"	"manuscript/17-data-tokens-library-problem.md"	""	"3903"	"0"	"3903"	"4"	"assembled"	"current main chapter"
"I-0237"	"CH18"	"Tools, Retrieval, and the Agent Turn"	"manuscript/18-tools-retrieval-agent-turn.md"	""	"3700"	"0"	"3700"	"5"	"assembled"	"current main chapter"
"I-0237"	"CH19"	"Code as the Second Native Language"	"manuscript/19-code-as-the-second-native-language.md"	""	"3748"	"0"	"3748"	"5"	"assembled"	"current main chapter"
"I-0237"	"CH20"	"Claude Code and the Industrialization of Pair Programming"	"manuscript/20-claude-code-industrialized-pair-programming.md"	""	"4296"	"0"	"4296"	"5"	"assembled"	"current main chapter"
"I-0237"	"CH21"	"Reasoning, Test-Time Compute, and the New Scaling Axis"	"manuscript/21-reasoning-test-time-compute.md"	""	"4183"	"0"	"4183"	"4"	"assembled"	"current main chapter"
"I-0237"	"CH22"	"The Economics of Intelligence on Tap"	"manuscript/22-economics-intelligence-on-tap.md"	""	"3668"	"0"	"3668"	"4"	"assembled"	"current main chapter"
"I-0237"	"CH23"	"Failure Modes, Truth, and Trust"	"manuscript/23-failure-modes-truth-trust.md"	""	"3750"	"0"	"3750"	"4"	"assembled"	"current main chapter"
"I-0237"	"CH24"	"Next Token"	"manuscript/24-next-token.md"	""	"3307"	"0"	"3307"	"4"	"assembled"	"current main chapter"
