pass_id	figure_id	chapter	old_asset_id	old_asset_type	old_fail_closed_status	repair_action	new_asset_id	new_asset_type	new_source_file	new_source_file_exists	replacement_reason	claim_boundary	next_gate
I-0261	F06.02	CH06	A-0121	screenshot_slot	blocked_missing_source_file_permission-needed	replace_with_source_card	A-0260-004	source_excerpt_card_svg	assets/source_cards/i0260/sc-0260-004-behavior-became-a-written-product-spec.svg	yes	OpenAI behavior-spec source card replaces the unresolved ChatGPT product screenshot slot.	Original lightweight SVG generated from local source-surface ledger; paraphrase-first, quote fragment <=4 words, no raw screenshot/page reproduced; publication still needs final placement and rights/source-note review.	I-0262 full-book render must embed this file; I-0263 must inspect page legibility.
I-0261	F06.03	CH06	A-0122	screenshot_slot	blocked_missing_source_file_permission-needed	replace_with_source_card	A-0260-001	source_excerpt_card_svg	assets/source_cards/i0260/sc-0260-001-paid-access-became-a-product-surface.svg	yes	ChatGPT Plus source card replaces the unresolved Plus product-surface screenshot slot.	Original lightweight SVG generated from local source-surface ledger; paraphrase-first, quote fragment <=4 words, no raw screenshot/page reproduced; publication still needs final placement and rights/source-note review.	I-0262 full-book render must embed this file; I-0263 must inspect page legibility.
I-0261	F07.02	CH07	A-0036	screenshot_slot	blocked_missing_source_file_permission-needed	replace_with_existing_source_card	A-0208	svg_source_card	assets/visual_system/source-card-chatgpt-waiting-room-i0222.svg	yes	Existing ChatGPT waiting-room card replaces the unresolved launch-page screenshot.	Original lightweight SVG; direct_quote=no; no external image assets, screenshots, UI, or copied source text; page-image proof and source-note proximity pending.	I-0262 full-book render must embed this file; I-0263 must inspect page legibility.
I-0261	F07.03	CH07	A-0037	screenshot_slot	blocked_missing_source_file_permission-needed	replace_with_source_card	A-0260-001	source_excerpt_card_svg	assets/source_cards/i0260/sc-0260-001-paid-access-became-a-product-surface.svg	yes	ChatGPT Plus card replaces the unresolved conversion-page screenshot.	Original lightweight SVG generated from local source-surface ledger; paraphrase-first, quote fragment <=4 words, no raw screenshot/page reproduced; publication still needs final placement and rights/source-note review.	I-0262 full-book render must embed this file; I-0263 must inspect page legibility.
I-0261	F07.04	CH07	A-0038	screenshot_slot	blocked_missing_source_file_permission-needed	replace_with_source_card	A-0260-002	source_excerpt_card_svg	assets/source_cards/i0260/sc-0260-002-enterprise-chatgpt-added-workplace-controls.svg	yes	Enterprise controls card replaces the unresolved Enterprise launch screenshot.	Original lightweight SVG generated from local source-surface ledger; paraphrase-first, quote fragment <=4 words, no raw screenshot/page reproduced; publication still needs final placement and rights/source-note review.	I-0262 full-book render must embed this file; I-0263 must inspect page legibility.
I-0261	F07.05	CH07	A-0039	screenshot_slot	blocked_missing_source_file_permission-needed	replace_with_source_card	A-0260-003	source_excerpt_card_svg	assets/source_cards/i0260/sc-0260-003-release-notes-are-product-archaeology.svg	yes	Release-note archaeology card replaces the unresolved plugins/tool screenshot.	Original lightweight SVG generated from local source-surface ledger; paraphrase-first, quote fragment <=4 words, no raw screenshot/page reproduced; publication still needs final placement and rights/source-note review.	I-0262 full-book render must embed this file; I-0263 must inspect page legibility.
I-0261	F09.05	CH09	A-0129	screenshot_slot	blocked_missing_source_file_permission-needed	replace_with_source_card	A-0260-009	source_excerpt_card_svg	assets/source_cards/i0260/sc-0260-009-gemini-arrived-as-a-public-product.svg	yes	Gemini product-launch card replaces the unresolved Google product screenshot.	Original lightweight SVG generated from local source-surface ledger; paraphrase-first, quote fragment <=4 words, no raw screenshot/page reproduced; publication still needs final placement and rights/source-note review.	I-0262 full-book render must embed this file; I-0263 must inspect page legibility.
I-0261	F10.04	CH10	A-0044	screenshot_slot	blocked_missing_source_file_permission-needed	replace_with_source_card	A-0260-012	source_excerpt_card_svg	assets/source_cards/i0260/sc-0260-012-llama-was-a-release-artifact.svg	yes	LLaMA release card replaces the unresolved Meta launch screenshot.	Original lightweight SVG generated from local source-surface ledger; paraphrase-first, quote fragment <=4 words, no raw screenshot/page reproduced; publication still needs final placement and rights/source-note review.	I-0262 full-book render must embed this file; I-0263 must inspect page legibility.
I-0261	F10.05	CH10	A-0047	screenshot_slot	blocked_missing_source_file_permission-needed	replace_with_source_card	A-0260-013	source_excerpt_card_svg	assets/source_cards/i0260/sc-0260-013-open-weights-became-developer-infrastructure.svg	yes	Repository-infrastructure card replaces the unresolved Llama GitHub screenshot.	Original lightweight SVG generated from local source-surface ledger; paraphrase-first, quote fragment <=4 words, no raw screenshot/page reproduced; publication still needs final placement and rights/source-note review.	I-0262 full-book render must embed this file; I-0263 must inspect page legibility.
I-0261	F11.03	CH11	A-0048	source_screenshot_slot	blocked_missing_source_file_redraw	replace_with_source_card	A-0260-014	source_excerpt_card_svg	assets/source_cards/i0260/sc-0260-014-qwen-evidence-starts-with-the-paper.svg	yes	Qwen2 paper card replaces the unresolved Qwen2 source screenshot.	Original lightweight SVG generated from local source-surface ledger; paraphrase-first, quote fragment <=4 words, no raw screenshot/page reproduced; publication still needs final placement and rights/source-note review.	I-0262 full-book render must embed this file; I-0263 must inspect page legibility.
