item_id	cluster	source_id	title	owner_or_authors	chapter_targets	source_status	figure_or_surface_candidates	inference_contract_fields	allowed_claims	blocked_claims	next_action
RF-001	openai_reasoning	S-0168	Learning to Reason with LLMs / Introducing OpenAI o1	OpenAI	21	official web sources identified; no local source-surface hash in this pass	Source-page screenshot; "thinking before responding" source-excerpt card; vendor benchmark table if separately extracted	model; release/date; task; benchmark variant; tool access; sampling/retries; inference budget; hidden-token visibility; vendor/independent source flag	OpenAI-attributed o1 framing around spending more time thinking before responding; product/research positioning	Hidden chain-of-thought access; independent benchmark crown; exact cost/latency; production routing behavior; post-cutoff availability	Capture/source-hash official pages before quotation or screenshot use.
RF-002	openai_reasoning	S-0169	Introducing OpenAI o3 and o4-mini	OpenAI	21	official web source identified; no local source-surface hash in this pass	Source-page screenshot; tool-use/reasoning product-surface card	model; release/date; benchmark variant; tool access; sample budget; reasoning-effort setting; vendor/independent source flag; cutoff availability	OpenAI-attributed o3/o4-mini reasoning-family and tool-use framing	Live rank; adoption; availability beyond cutoff; exact cost/latency; broad product reliability	Capture page and separate product claims from benchmark claims.
RF-003	google_reasoning	S-0119	Gemini 2.5: Our newest Gemini model with thinking	Google DeepMind	9,21	local HTML capture exists	Gemini-thinking source-page excerpt; product-framing screenshot	model/version; post date; task/benchmark; thinking mode; tool access; source attribution; product availability scope	Google-attributed thinking/reasoning product grammar	Best-model claim; adoption; revenue; benchmark superiority; solved memory or reasoning	Use as convergence texture, not independent proof.
RF-004	china_reasoning	S-0029	DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning	DeepSeek-AI	11,21	local arXiv abstract capture exists	RL pipeline; distillation family; benchmark table caution card	model variant; base/distilled model; task; benchmark version; tool access; sample count; pass@/consensus metric; training/eval split; contamination note	DeepSeek-R1 paper-reported RL, self-reflection, verification, strategy adaptation, and distillation framing	DeepSeek V4 claims; live rank; exact cost; all-domain superiority; geopolitical performance claims; deployment/adoption	Extract full paper figure/table provenance before any redraw or benchmark statement.
RF-005	china_reasoning	S-0031	Kimi k1.5: Scaling Reinforcement Learning with LLMs	Moonshot AI	11,21	local arXiv abstract capture exists	RL scaling diagram; long-context/eval table caution card	model version; context length; task; benchmark variant; RL stage; tool access; sample budget; date; vendor/independent flag	Kimi paper-reported RL/reasoning framing and long-context reasoning lane	Live model rank; production behavior; exact cost; adoption; broad superiority	Extract full paper surfaces and normalize benchmark fields before use.
RF-006	method_prompting	S-0170	Chain-of-Thought Prompting Elicits Reasoning in Large Language Models	Wei et al.	21	web-identified arXiv source	Prompt-format schematic; tiny paraphrased example card	model; task; prompt condition; number of exemplars; sample count; scoring metric; dataset contamination caveat	CoT prompting as task-conditioned intermediate-reasoning method	Faithful explanation; human-like thought; universal improvement; hidden chain access	Use as mechanism source; avoid direct long prompt quotation until extracted.
RF-007	method_sampling	S-0171	Self-Consistency Improves Chain of Thought Reasoning in Language Models	Wang et al.	21	web-identified arXiv source	Multiple reasoning paths to answer-consensus schematic	model; task; number of sampled paths; temperature; vote rule; metric; compute budget; contamination caveat	Self-consistency as inference-time sampling/answer-agreement method	Truth guarantee; broad reliability; exact cost; production routing behavior	Pair with an inference-budget caveat if visualized.
RF-008	method_verifier	S-0193	Training Verifiers to Solve Math Word Problems	Cobbe et al.	21,23	web-identified arXiv source; added in I-0169	Generate-many/select-by-verifier loop; outcome-verifier card	model; math dataset; candidate count; verifier training data; selection rule; metric; split; contamination caveat	Verifier/reranking mechanism in math-word-problem setting	Solved math reasoning; broad truth guarantee; deployed safety; general theorem-proving capability	Add to verifier lineage table before process-supervision visual.
RF-009	method_process_supervision	S-0172	Let's Verify Step by Step	OpenAI / Lightman et al.	21,23	web-identified OpenAI/arXiv source	Process-vs-outcome supervision contrast; intermediate-step reward schematic	task; model; step-label source; reward model; outcome/process distinction; benchmark; date; vendor/independent flag	Process-supervision framing and intermediate-step reward idea	Truth solved; safety solved; general reasoning solved; deployed behavior proof; hidden-chain access	Use with OpenAI attribution and task scope in every caption.
RF-010	method_search	S-0173	Tree of Thoughts: Deliberate Problem Solving with Large Language Models	Yao et al.	21	web-identified arXiv source	Reasoning-state tree search diagram; branch/evaluate/select loop	task; model; branching factor; evaluator; search budget; sample count; benchmark; contamination caveat	Search over intermediate reasoning states as a problem-solving method	General planning reliability; production autonomy; universal improvement; exact cost/latency	Redraw only with task-contract fields on the figure.
