chapter	asset_id	current_status	i0211_decision	final_role	why	placement_rule	blocked_claims	next_gate
10	A-0030	selected_100	keep_core	Llama family chronology	Best single visual for release surfaces from LLaMA through Llama 4 while carrying caveat bands.	Open Chapter 10 visual sequence with A-0030, then move from chronology to control stack.	no_benchmark_superiority;no_adoption;no_open_source_equivalence;no_current_license_state;no_price_quality	Final caption should name source rows and license-state caveat.
10	A-0112	selected_100	keep_core	open-weight control stack	Separates weights, license, data transparency, hosting, safety, ecosystem work, and benchmark permission.	Place after A-0030 to explain what "open" does and does not transfer.	no_license_freedom;no_full_transparency;no_safety_proof;no_lower_cost;no_benchmark_superiority	Check line length and caption density in render QA.
10	A-0113	selected_100	keep_core	adopter burden transfer	Completes Chapter 10 argument by showing responsibility moving outward with control.	Use as the third Chapter 10 figure if prose has room; otherwise reserve for sidebar/appendix.	no_enterprise_outcomes;no_cheaper_deployment;no_safer_deployment;no_ecosystem_size	Pair with governance/security prose, not launch chronology.
10	A-0044	selected_100	reserve_release_texture	LLaMA launch source surface	Useful real-source texture, but weaker than repository surface if only one screenshot fits.	Reserve behind A-0047; use only if chapter needs the initial release moment visually.	no_current_license_state;no_adoption;no_popularity;no_safety;no_benchmark_superiority	Needs screenshot/hash and rights review before final layout.
10	A-0047	selected_100	keep_source_texture	Llama repository source surface	Best screenshot slot because it shows open weights as developer artifact rather than press slogan.	If one Chapter 10 screenshot is allowed, choose A-0047 over A-0044/A-0045/A-0046.	no_stars;no_forks;no_current_repo_state_as_cutoff_fact;no_adoption;no_ecosystem_size	Needs screenshot/hash; caption must suppress mutable GitHub metrics.
10	A-0045	acquisition_ready	drop_from_ch10_main	Llama 3 launch page	Duplicates family chronology and weaker than repository surface for the chapter's job.	Keep as reserve provenance only.	no_adoption;no_benchmark_superiority;no_platform_success;no_current_license_state	Do not capture unless A-0047 fails.
10	A-0046	acquisition_ready	drop_from_ch10_main	Llama 3.1 launch page	I-0210 captured HTML as A-0185, so this duplicate screenshot slot is unnecessary for main layout.	Use A-0185 as private source-media evidence, not a second Chapter 10 product image.	no_exact_specs_without_extraction;no_adoption;no_benchmark_superiority;no_current_ui	Normalize specs only if prose requires them.
10	A-0155	available	reserve_cross_chapter	model-card/report comparison grammar	Useful bridge visual for Chapters 10-12, but too generic for the main Chapter 10 sequence.	Use only if a shared source-surface comparison sidebar is needed across 10-12.	no_rank;no_safety_proof;no_openness_equivalence;no_full_transparency	Reserve until caption-excellence pass.
11	A-0031	selected_100	keep_core	China open-model source-permission map	Core Chapter 11 guardrail; prevents a national/logo parade by showing supported lanes and gaps.	Open Chapter 11 visual sequence with source-permission map.	no_national_leaderboard;no_market_share;no_adoption;no_benchmark_superiority;no_qwen_35_36_happened_release	Update only after new cutoff-bounded primary rows exist.
11	A-0118	selected_100	keep_core	supported-vs-gap board	Best negative-control visual for unsupported families and future-looking claims.	Place after A-0031 or as sidebar near the first paragraph that names unsupported labs.	no_deepseek_v4_chronology;no_qwen_35_36;no_minimax_baidu_tencent_stepfun_release_claims;no_rank	Keep gaps visible rather than smoothing prose.
11	A-0049	selected_100	keep_source_texture	Qwen3 arXiv source surface	Most useful Qwen source screenshot because it is cutoff-bounded and later than Qwen2.	If one Qwen source surface fits, choose A-0049 over A-0048.	no_qwen_35_36;no_current_rank;no_adoption;no_benchmark_superiority	Needs screenshot/hash or rendered source card.
11	A-0050	selected_100	keep_bridge_texture	DeepSeek-R1 source surface	Strongest bridge from Chapter 11 to reasoning/test-time compute.	Use only if Chapter 21 can still carry its own reasoning contract; caption must say source surface, not scorecard.	no_solved_reasoning;no_benchmark_crown;no_cost_claim;no_deepseek_v4;no_geopolitical_conclusion	Needs screenshot/hash or PDF page render.
11	A-0048	selected_100	reserve_qwen_background	Qwen2 arXiv source surface	Valuable earlier Qwen lane but duplicative if A-0049 is visible.	Reserve behind A-0049 unless prose needs Qwen2-to-Qwen3 sequence.	no_rank;no_adoption;no_qwen_35_36;no_model_family_completeness	Needs screenshot/hash if promoted.
11	A-0051	acquisition_ready	reserve_deepseek_background	DeepSeek-V3 source surface	Useful technical-lane backup if R1 is reserved for Chapter 21.	Do not place beside A-0050 unless layout explicitly teaches V3-to-R1 source continuity.	no_deepseek_v4;no_cost;no_rank;no_deployment_scale	Use I-0210 PDF hash as private evidence handle if screenshot remains blocked.
11	A-0186	available_local_ignored	reserve_pdf_source_media	DeepSeek-R1 local PDF	Captured local ignored PDF gives page-render substrate but is not itself a final exhibit.	Use as extraction source for future page render or source card.	no_solved_reasoning;no_benchmark_crown;no_cost_claim;no_publication_rights_clearance	Extract page-level provenance before manifest promotion.
11	A-0187	available_local_ignored	reserve_pdf_source_media	DeepSeek-V3 local PDF	Captured local ignored PDF gives source-media substrate for V3 without screenshot dependency.	Use only if Chapter 11 needs a V3 report surface.	no_deepseek_v4;no_rank;no_deployment_scale;no_publication_rights_clearance	Extract page-level provenance before manifest promotion.
12	A-0094	selected_100	keep_core	Constitutional AI behavior grammar	Best Chapter 12 mechanism visual and the clearest separation from RLHF Chapter 6.	Open Chapter 12 visual sequence with behavior grammar.	no_solved_alignment;no_moral_guarantee;no_product_safety_proof;no_human_judgment_replacement	Caption should keep behavior-shaping language.
12	A-0095	selected_100	keep_core	Claude product-family timeline	Maps Claude as product family without becoming a leaderboard.	Use after A-0094 to turn behavior identity into product-family chronology.	no_best_model;no_live_rank;no_adoption;no_price_quality;no_safety_success	Check overlap with A-0130; do not use both if layout is tight.
12	A-0096	selected_100	keep_bridge	assistant-to-action surface	Important Anthropic bridge toward tools/code, but must not steal Chapter 20's repository workflow job.	Use as Chapter 12 handoff visual; Chapter 20 keeps terminal/repo loop.	no_autonomy;no_mcp_dominance;no_secure_by_default;no_productivity;no_reliable_real_world_control	Keep permissions/review visible in caption.
12	A-0097	selected_100	reserve_negative_control	Claude claim blocker grid	Strong claim-control artifact but too apparatus-heavy for the main reading path if four other figures remain.	Reserve for caption/source-note pass or sidebar near risky Claude 4 claims.	no_productivity;no_adoption;no_solved_safety;no_best_coding_model;no_price_quality	Use only if prose makes tempting outcome claims nearby.
12	A-0119	selected_100	keep_source_texture	computer-use source surface	Best source screenshot slot for behavior-to-action history.	If one Chapter 12 screenshot fits, choose A-0119 over generic Claude product A-0130.	no_autonomy;no_productivity;no_task_success;no_safety_in_use;no_adoption	Needs screenshot/hash; source HTML hash exists.
12	A-0130	selected_100	reserve_product_texture	Claude product source surface	Useful product texture but generic and likely duplicative with A-0095/A-0119.	Reserve unless final layout needs a general Claude surface instead of computer-use surface.	no_usage;no_safety_success;no_benchmark_superiority;no_revenue;no_current_model_state	Do not capture before deciding against A-0119.
12	A-0183	available_local_ignored	reserve_source_media	Anthropic Claude 4 HTML	Captured source-media handle helps provenance but should not become a visual until quote/caption review.	Use as extraction substrate for Claude 4 wording, not as layout replacement for A-0119.	no_best_model;no_benchmark_crown;no_productivity;no_safety_success;no_publication_rights_clearance	Normalize benchmark claims before any chart/card.
13	A-0014	selected_100	keep_core	leaderboard methodology	Methodology is mandatory before any leaderboard rows.	First Chapter 13 visual; no exceptions.	no_rank_before_method;no_live_rank;no_release_status;no_price_quality;no_task_superiority	Keep before A-0013 in every layout.
13	A-0013	selected_100	keep_core	historical Arena slice	Useful historical chart only after the methodology visual and shared caveat.	Second Chapter 13 visual; caption must say text_style_control/latest/overall and published 2026-05-19.	no_live_rank;no_best_model;no_task_superiority;no_price_quality;no_safety;no_enterprise_quality	Keep same-page or nearby prohibited-use note.
13	A-0019	selected_100	keep_core	price-quality exclusion map	Completes Chapter 13 by refusing a false price-quality frontier.	Third Chapter 13 visual; place after rank chart and before economics handoff.	no_price_quality_frontier;no_comparable_provider_price;no_value_claim;no_model_rank_join	Retain C-0046 blocker until same-scope join exists.
13	A-0155	available	drop_from_ch13_main	model-card/report comparison grammar	Better reserved for open/frontier chapters; Chapter 13 already has a complete methodology/rank/exclusion sequence.	Do not add to Chapter 13 main layout.	no_rank;no_safety_proof;no_full_transparency;no_openness_equivalence	Reserve for Chapters 10-12 caption strategy.
