chapter	outline_title	current_state	candidate_file	current_words	visual_assets	handoff_status	mandatory_topic_status	continuity_risk	next_action
1	The Shock	missing	missing	0	0	no opener handoff yet	missing public ChatGPT shock, tokens, pretraining, prompting, chat interface	high: book lacks its prize-nonfiction opening promise	draft Chapter 1 after Chapter 7 material is mined for source-safe opening beats
2	Before the Transformer	drafted	manuscript/01-before-the-transformer.md	3511	0	handoff to Chapter 3 is structurally sound	early language modeling and classical ML context covered	medium: filename says 01 while outline slot is Chapter 2; no visual support	add lineage/bottleneck visual package and eventually rename or map file in build system
3	Attention Catches Fire	drafted	manuscript/02-attention-catches-fire.md	3494	0	handoff from early NLP to Transformer works	attention and Transformer mechanism covered	medium: filename says 02 while outline slot is Chapter 3; visual gap remains	add Transformer block/parallelism visuals and resolve numbering map
4	The Scaling Bet	drafted	manuscript/03-scaling-bet.md	3496	0	handoff from architecture to scaling is plausible	scaling laws covered	medium: filename says 03 while outline slot is Chapter 4; short of target and no visuals	add scaling-law visual package and resolve numbering map
5	GPT-1 to GPT-3: The Door Opens	drafted	manuscript/05-gpt-1-to-gpt-3-door-opens.md	5281	1	handoff from scaling into OpenAI platform history is strong	GPT-1/GPT-2/GPT-3 and Codex/Copilot bridge partly covered	low: chapter is over target-min but still needs image/screenshot layer	add product/API/Copilot screenshot or photo-slot plan
6	Alignment Enters the Product	drafted	manuscript/06-alignment-enters-product.md	4991	1	handoff from GPT-3 to assistants is strong	RLHF, instruction tuning, Constitutional AI covered	medium: shares Anthropic/Claude material with unplaced Chapter 12 sidecar and Chapter 20	add placement note limiting Chapter 6 to behavior/alignment mechanism
7	ChatGPT: The Interface Event	drafted	manuscript/07-chatgpt-interface-event.md	5001	1	handoff from alignment to public product event is strong	major ChatGPT chapter covered	medium: can supply Chapter 1 but should not replace the missing opener	extract Chapter 1 opening beat without weakening Chapter 7
8	Microsoft, OpenAI, and the Cloud Bargain	missing	missing	0	0	no handoff from ChatGPT into cloud/platform bargain	missing OpenAI/Microsoft, Azure supercomputer, Copilot distribution	high: business-book spine has a major platform hole	draft Chapter 8 with local Microsoft/OpenAI source captures
9	Google and DeepMind Wake the Sleeping Giant	missing	missing	0	0	no handoff from cloud bargain into Google response	missing Google, DeepMind, Gemini, PaLM/Bard, TPU/GPU strategy	high: frontier-race balance is skewed without Google/DeepMind	draft Chapter 9 with PaLM/Gemini/DeepMind source pack
10	Meta, Llama, and the Open-Weight Shock	drafted	manuscript/10-meta-llama-open-weight-shock.md	3597	1	handoff from missing Google chapter not yet testable	Meta/Llama/open weights covered	medium: chapter is sound but arrives after two missing giants	connect to Google/Microsoft chapters after those drafts exist
11	The Chinese Frontier	drafted	manuscript/11-chinese-frontier-open-models.md	3544	1	handoff from open weights to Chinese open/proprietary race is plausible	Qwen, DeepSeek, GLM, Kimi lanes covered; several labs quarantined	medium: supported lanes strong, but source-gap lanes are visible and need follow-up	extract remaining supported MiniMax/Baidu/Tencent/xAI-adjacent sources later
12	Europe, xAI, and the Rest of the Frontier	missing	missing	0	0	no clean handoff from China to Europe/xAI/Mistral	missing Mistral, xAI, Europe/rest-of-frontier slot	high: current file numbered 12 is Anthropic/Claude, not this outline chapter	draft true Chapter 12 or formally reassign outline with a replacement slot for Europe/xAI
