asset_id	target_chapter	target_path	asset_type	source_or_candidate	source_ids	rights_notes	story_purpose	blocked_claims	status	next_action
A-0098	16	assets/private_use_screenshots/i0140/A-0098_iea_energy_and_ai_source_surface.png	source_screenshot_slot	IEA Energy and AI report source surface for data-center electricity-demand lanes	S-0083	Private-use screenshot candidate only; do not commit raster until rights/fair-use and caption role are reviewed.	Give Chapter 16 a source-surface image for measured/forecast electricity lanes instead of another schematic.	No energy-per-token estimate; no site-hour fuel mix; no deterministic forecast; no claim that IEA rows prove LLM-only demand.	acquisition_ready	Capture page/figure screenshot, record URL, access date, page/section, hash, dimensions, and caption caveat.
A-0099	16	assets/private_use_screenshots/i0140/A-0099_lbnl_data_center_energy_report_surface.png	source_screenshot_slot	LBNL 2024 United States Data Center Energy Usage Report source surface	S-0084;S-0085	Private-use screenshot candidate only; report/DOE surface must be captioned as measured/scenario evidence, not final visual proof.	Anchor U.S. measured/scenario electricity discussion with a visible primary-report surface.	No forecast-as-history; no exact campus load; no universal U.S. data-center trajectory; no LLM-only allocation.	acquisition_ready	Capture report title/summary or key chart surface; record page/figure, hash, dimensions, and relation to A-0020.
A-0100	16	assets/private_use_screenshots/i0140/A-0100_epri_interconnection_planning_surface.png	source_screenshot_slot	EPRI Powering Intelligence source surface for utility planning and local concentration	S-0086	Private-use screenshot candidate only; preserve EPRI caveat around scenario and planning language.	Show that interconnection and local utility planning are evidence lanes, not just narrative color.	No complete project-delay database; no named-campus delay proof; no final ChatGPT-query energy value; no utility-wide causality claim.	acquisition_ready	Capture one lead-time/local-concentration source surface and pair with A-0021 caption blockers.
A-0101	16	assets/private_use_screenshots/i0140/A-0101_doe_seab_infrastructure_recommendations_surface.png	source_screenshot_slot	DOE SEAB recommendations source surface for interconnection, generation, storage, transmission, and backup-power constraints	S-0087	Private-use screenshot candidate only; advisory report surface is not publication-cleared physical photography.	Make the policy/infrastructure constraint source visible beside Chapter 16's power-to-token chain.	No site deployment proof; no specific fuel mix; no claim that recommendations have been implemented; no guarantee of grid readiness.	acquisition_ready	Capture title/summary/recommendation surface with page note and negative-control caption.
A-0102	16	assets/private_use_screenshots/i0140/A-0102_uptime_cooling_rack_density_surface.png	source_screenshot_slot	Uptime Institute survey source surface for rack-density, PUE, power, and cooling operator signals	S-0088	Private-use screenshot candidate only; industry-survey surface needs corroborating-source caption and possible permission review.	Add operator-texture to the cooling/rack-density constraint without overclaiming engineering details.	No universal liquid-cooling transition; no exact facility engineering; no causal claim from survey signal alone; no solved cooling claim.	acquisition_ready	Capture survey landing/report surface and annotate survey role before any manuscript placement.
A-0103	16	assets/source_candidates/i0140/A-0103_public_domain_substation_interconnection_photo_candidate.txt	photo_candidate_slot	Public-domain or CC-compatible substation/transmission/interconnection photo to be selected from government, utility, or Wikimedia source	source-target-needed	Acquire only if license permits book use or if private-use rationale is documented; store source URL, license, author, date, and no-endorsement note.	Provide one physical grid image so interconnection feels like hardware in the world, not an abstract box.	No named data-center connection; no outage/delay proof; no capacity value; no local fuel-mix claim.	acquisition_ready	Research candidates, prefer public-domain U.S. government/NREL/DOE/utility media, then record chosen source in sources.tsv and manifest.
A-0104	16	assets/source_candidates/i0140/A-0104_cooling_mechanical_yard_photo_candidate.txt	photo_candidate_slot	Public-domain or permission-compatible cooling plant, chiller, cooling tower, or liquid-cooling infrastructure photo candidate	source-target-needed	Acquire only after license and caption scope review; avoid implying the image is an AI data center unless source proves it.	Add physical texture for facility cooling and heat rejection beside A-0022.	No universal operator behavior; no PUE proof; no named AI facility; no exact rack-density or thermal engineering claim.	acquisition_ready	Research rights-safe physical photo candidate and document license, author, source URL, date, and caption blockers.
A-0105	16	assets/source_candidates/i0140/A-0105_data_center_exterior_photo_candidate.txt	photo_candidate_slot	Public-domain, CC-compatible, or company-media data-center exterior candidate with strict caption limits	source-target-needed	Company-media or found image requires rights/fair-use review; do not commit raster until chosen and documented.	Let readers see the scale of a data-center exterior without treating a building image as operational evidence.	No deployment scale; no customer/workload proof; no exact power draw; no GPU inventory; no AI-factory economics.	acquisition_ready	Research candidate sources and select only if provenance and rights are book-safe.
A-0106	15	assets/private_use_screenshots/i0140/A-0106_gtc_page29_ai_factory_source_surface.png	source_screenshot_slot	GTC-2026-Keynote.pdf page 29 AI-factory thesis source surface	S-0001;A-0004;A-0024	Private-use local screenshot/slide surface already available as ignored raster; final use needs render and rights review.	Show NVIDIA's own AI-factory framing as stagecraft and source rhetoric.	No neutral industry definition; no independent economics; no deployed factory performance; no revenue proof.	acquisition_ready	Use existing ignored render or recapture from local PDF; record page, hash, dimensions, and choose either slide or card for final layout.
A-0107	15/16	assets/private_use_screenshots/i0140/A-0107_gtc_page51_dsx_handoff_source_surface.png	source_screenshot_slot	GTC-2026-Keynote.pdf page 51 DSX platform source surface for Chapter 15-to-16 handoff	S-0001;A-0009;A-0029	Private-use local screenshot/slide surface already available as ignored raster; final spread needs rights/render review and caption guardrails.	Bridge NVIDIA's DSX reference-design pitch to independent Chapter 16 physical constraints.	No customer deployment; no adoption scale; no facility performance; no proof that DSX solves power, cooling, or interconnection.	acquisition_ready	Use existing ignored render or recapture from local PDF; pair with A-0015/A-0021/A-0022 only after final layout decision.
