chapter	official_title	live_primary_file	chronology_span	key_dated_beats	source_rows	cutoff_status	timeline_order_status	narrative_handoff	integrity_risk	next_action
1	The Shock	manuscript/01-the-shock.md	2022-11-30 to early 2023	ChatGPT launch; first adoption/reception evidence lanes; institutional local-control responses	S-0006;S-0092;S-0093;S-0094;S-0096;S-0097;S-0098;S-0102	pre_cutoff_supported	good_as_prologue	Starts with public shock, then asks what next-token prediction had become.	Adoption/reception figures can merge unlike metrics if captions/prose are not kept lane-specific.	Keep Chapter 1 as prologue, but verify opener/ending against CH1 evidence lanes before prose polish.
2	Before the Transformer	manuscript/01-before-the-transformer.md	pre-2017	Neural language modeling; word embeddings; seq2seq; attention pressure before Transformer	S-0104;S-0105;S-0106;S-0107;S-0002	pre_cutoff_supported	filename_number_drift	Hands from public shock back to the older sequence problem.	Live filename says 01, while official slot is Chapter 2; early-source dates need fuller canonical-paper acquisition.	Rename or alias during final layout; use I-0144 visuals as pressure chain, not complete history.
3	Attention Catches Fire	manuscript/02-attention-catches-fire.md	2017	Transformer architecture and self-attention rupture	S-0002;S-0108	pre_cutoff_supported	filename_number_drift	Shows why the pre-Transformer pressure finally met GPU-era parallelism.	Live filename says 02, while official slot is Chapter 3; priority/first-invention claims remain dangerous.	Rename or alias during final layout; keep mechanism over invention-crown language.
4	The Scaling Bet	manuscript/03-scaling-bet.md	2019 to 2022	GPT-2/GPT-3 scaling; Kaplan scaling laws; Chinchilla compute/data balance	S-0012;S-0013;S-0003;S-0004;S-0015	pre_cutoff_supported	filename_number_drift	Converts architecture into a lab strategy: spend compute, measure loss, scale.	Live filename says 03, while official slot is Chapter 4; emergence and product-success claims need blockers.	Rename or alias during final layout; keep scaling evidence lanes separate from prophecy.
5	GPT-1 to GPT-3: The Door Opens	manuscript/05-gpt-1-to-gpt-3-door-opens.md	2018 to 2020	GPT-1; GPT-2 staged release; GPT-3 paper/API platform turn	S-0011;S-0012;S-0013;S-0004	pre_cutoff_supported	good	Hands from scaling as method to OpenAI's GPT platform sequence.	GPT-3 API/product reception claims can outrun current source rows.	Tighten API chronology and block adoption/revenue claims until source-normalized.
6	Alignment Enters the Product	manuscript/06-alignment-enters-product.md	2022 to 2023	InstructGPT/RLHF; constitutional AI; assistant behavior as product layer	S-0014;S-0019;S-0005	pre_cutoff_supported	good	Explains how raw completion becomes an assistant before ChatGPT scale.	Risk of duplicating Chapter 12 Constitutional AI if Anthropic placement is not settled.	Keep RLHF/product transition broad; reserve Claude identity for final Anthropic slot.
7	ChatGPT: The Interface Event	manuscript/07-chatgpt-interface-event.md	2022-11-30 to 2024	ChatGPT launch; Plus/plugins/Enterprise/GPTs/GPT-4o interface-business arc	S-0006;S-0014;S-0044;S-0045;S-0046;S-0077;S-0078;S-0079;S-0089;S-0090	pre_cutoff_supported	good	Takes the product shock from Chapter 1 and shows interface becoming platform.	Adoption, revenue, named-customer, and productivity claims remain scoped blockers.	Use attribution-first adoption language and keep product timeline separate from business outcomes.
8	Microsoft, OpenAI, and the Cloud Bargain	manuscript/08-microsoft-openai-cloud-bargain.md	2019 to 2024	OpenAI/Microsoft partnership; Azure supercomputing; Copilot/Microsoft 365 distribution	S-0125;S-0126;S-0127;S-0129;S-0130;S-0131;S-0132;S-0133	pre_cutoff_supported	good	Shows that the interface platform needed hyperscale capital and distribution.	Cloud capacity and Copilot impact can become revenue/productivity overclaims.	Keep alliance chronology and infrastructure role distinct from outcome claims.
9	Google and DeepMind Wake the Sleeping Giant	manuscript/09-google-deepmind-gemini.md	2017 to 2025	Transformer/PaLM/Bard/Gemini/Gemini 1.5/Gemini 2.5 thinking sequence	S-0002;S-0016;S-0017;S-0018;S-0009;S-0115;S-0116;S-0117;S-0118;S-0119;S-0121;S-0122;S-0123;S-0124	pre_cutoff_supported	good	Contrasts research depth with product-conversion pressure.	Can flatten Google into slow-follower caricature or imply benchmark/adoption position.	Keep conversion pressure as theme; avoid leaderboard/product-success claims.
10	Meta, Llama, and the Open-Weight Shock	manuscript/10-meta-llama-open-weight-shock.md	2023 to 2025	LLaMA/Llama 2/Llama 3/Llama 4; open weights vs open source; adopter burden	S-0023;S-0024;S-0025;S-0008;S-0111;S-0112;S-0113;S-0114	pre_cutoff_supported	good	Opens the race beyond closed frontier APIs.	Open-weight chronology can imply license freedom, adoption, ecosystem size, or lower cost.	Use control-stack language from I-0142; keep source screenshot priorities separate.
11	The Chinese Frontier	manuscript/11-chinese-frontier-open-models.md	2024 to 2025	Qwen2/Qwen3; DeepSeek V3/R1; GLM; Kimi; support-pending China lab gaps	S-0026;S-0027;S-0028;S-0029;S-0030;S-0031	pre_cutoff_partial	good_but_gap_lanes_needed	Expands open/frontier competition into a multipolar model landscape.	Qwen 3.5/3.6 and DeepSeek V4-era mentions remain support-pending; logo-parade risk is high.	Use I-0147 supported-vs-gap board before any prose claims about unsupported families.
12	Europe, xAI, and the Rest of the Frontier	manuscript/12-europe-xai-rest-frontier.md;manuscript/12-anthropic-and-claude-spine-section.md	2022 to 2026	Mistral/Mixtral; xAI/Grok; Anthropic Constitutional AI/Claude 3/Claude 3.5/computer use/Claude 4; MCP/Claude Code bridge	S-0032;S-0033;S-0034;S-0019;S-0020;S-0021;S-0109;S-0048;S-0007;S-0055;S-0022	pre_cutoff_supported_but_structurally_conflicted	conflict	Should either close the frontier-lab survey or become the dedicated Anthropic/Claude chapter.	Official title and live work conflict: Anthropic is mandatory and heavily developed, but Europe/xAI/rest-frontier also exists under the same chapter number.	Decide final slot: either retitle Chapter 12 to Anthropic/Claude and relocate Europe/xAI material, or make Chapter 12 a composite frontier-lab chapter with Anthropic carefully bounded.
