pass_id	compressed_cluster_id	use_count	source_ids	claim_ids	cluster_note
I-0267	CL-00322	15	S-0002		S-0002 - Attention Is All You Need (Vaswani et al.; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/1706.03762) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00324	9	S-0004		S-0004 - Language Models are Few-Shot Learners (Brown et al.; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2005.14165) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00321	8	S-0001		S-0001 - GTC-2026-Keynote.pdf (NVIDIA; presentation; primary; accessed 2026-05-24; local:GTC-2026-Keynote.pdf) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00331	6	S-0074		S-0074 - Aligning language models to follow instructions (OpenAI; research/product post; primary; accessed 2026-05-25; https://openai.com/index/instruction-following/) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00323	5	S-0003		S-0003 - Scaling Laws for Neural Language Models (Kaplan et al.; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2001.08361) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00325	5	S-0014		S-0014 - Training language models to follow instructions with human feedback (Ouyang et al.; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2203.02155) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00326	5	S-0015		S-0015 - Training Compute-Optimal Large Language Models (Hoffmann et al.; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2203.15556) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00330	5	S-0019		S-0019 - Constitutional AI: Harmlessness from AI Feedback (Anthropic; paper; primary local HTML asset; accessed 2026-05-25; https://arxiv.org/abs/2212.08073) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00335	5	S-0069		S-0069 - OpenAI API (OpenAI; product post; primary; accessed 2026-05-24; https://openai.com/blog/openai-api) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00328	5	S-0080		S-0080 - Arena Leaderboard Dataset (lmarena-ai; Hugging Face historical dataset; primary; accessed 2026-05-25; https://huggingface.co/datasets/lmarena-ai/leaderboard-dataset) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00325	4	S-0005		S-0005 - GPT-4 Technical Report (OpenAI; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2303.08774) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00326	4	S-0006		S-0006 - Introducing ChatGPT (OpenAI; product post; primary; accessed 2026-05-24; https://openai.com/index/chatgpt/) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00322	4	S-0011		S-0011 - Improving Language Understanding by Generative Pre-Training (OpenAI; paper; primary; accessed 2026-05-24; https://cdn.openai.com/research-covers/language-unsupervised/language_understanding_paper.pdf) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00328	4	S-0035		S-0035 - SWE-bench: Can Language Models Resolve Real-World GitHub Issues? (Princeton NLP; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2310.06770) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00701	3	S-0001;S-0010		S-0001 - GTC-2026-Keynote.pdf (NVIDIA; presentation; primary; accessed 2026-05-24; local:GTC-2026-Keynote.pdf) | S-0010 - NVIDIA Vera Rubin Opens Agentic AI Frontier (NVIDIA; investor press release; primary; accessed 2026-05-24; https://investor.nvidia.com/news/press-release-details/2026/NVIDIA-Vera-Rubin-Opens-Agentic-AI-Frontier/default.aspx) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00322	3	S-0020		S-0020 - The Claude 3 Model Family: Opus, Sonnet, Haiku (Anthropic; product post; primary; accessed 2026-05-24; https://www.anthropic.com/news/claude-3-family) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
