pass_id	boundary_id	boundary	from_chapter	to_chapter	source_lane	source_count	repair_action	claim_boundary	draft_status
I-0248	BOUNDARY-01	CH01-CH02	CH01	CH02	S-0104;S-0105;S-0106;S-0107;S-0002	5	added_visible_source_lane_to_existing_i0247_continuity_stitch	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	inserted_in_full_draft
I-0248	BOUNDARY-02	CH02-CH03	CH02	CH03	S-0002;S-0108	2	added_visible_source_lane_to_existing_i0247_continuity_stitch	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	inserted_in_full_draft
I-0248	BOUNDARY-03	CH03-CH04	CH03	CH04	S-0002;S-0003;S-0015;S-0004	4	added_visible_source_lane_to_existing_i0247_continuity_stitch	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	inserted_in_full_draft
I-0248	BOUNDARY-04	CH04-CH05	CH04	CH05	S-0011;S-0012;S-0013;S-0004	4	added_visible_source_lane_to_existing_i0247_continuity_stitch	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	inserted_in_full_draft
I-0248	BOUNDARY-05	CH05-CH06	CH05	CH06	S-0014;S-0074	2	added_visible_source_lane_to_existing_i0247_continuity_stitch	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	inserted_in_full_draft
I-0248	BOUNDARY-06	CH06-CH07	CH06	CH07	S-0006;S-0074;S-0078;S-0079	4	added_visible_source_lane_to_existing_i0247_continuity_stitch	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	inserted_in_full_draft
I-0248	BOUNDARY-07	CH07-CH08	CH07	CH08	S-0125;S-0126;S-0130;S-0132	4	added_visible_source_lane_to_existing_i0247_continuity_stitch	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	inserted_in_full_draft
I-0248	BOUNDARY-08	CH08-CH09	CH08	CH09	S-0002;S-0115;S-0116;S-0117;S-0121	5	added_visible_source_lane_to_existing_i0247_continuity_stitch	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	inserted_in_full_draft
I-0248	BOUNDARY-09	CH09-CH10	CH09	CH10	S-0111;S-0112;S-0113;S-0114	4	added_visible_source_lane_to_existing_i0247_continuity_stitch	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	inserted_in_full_draft
I-0248	BOUNDARY-10	CH10-CH11	CH10	CH11	S-0026;S-0027;S-0028;S-0029;S-0031	5	added_visible_source_lane_to_existing_i0247_continuity_stitch	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	inserted_in_full_draft
I-0248	BOUNDARY-11	CH11-CH12	CH11	CH12	S-0032;S-0033;S-0034;S-0019;S-0048	5	added_visible_source_lane_to_existing_i0247_continuity_stitch	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	inserted_in_full_draft
I-0248	BOUNDARY-12	CH12-CH13	CH12	CH13	S-0035;S-0036;S-0037	3	added_visible_source_lane_to_existing_i0247_continuity_stitch	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	inserted_in_full_draft
I-0248	BOUNDARY-13	CH13-CH14	CH13	CH14	S-0039;S-0065;S-0066	3	added_visible_source_lane_to_existing_i0247_continuity_stitch	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	inserted_in_full_draft
I-0248	BOUNDARY-14	CH14-CH15	CH14	CH15	S-0001;S-0010	2	added_visible_source_lane_to_existing_i0247_continuity_stitch	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	inserted_in_full_draft
I-0248	BOUNDARY-15	CH15-CH16	CH15	CH16	S-0083;S-0084;S-0086;S-0087	4	added_visible_source_lane_to_existing_i0247_continuity_stitch	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	inserted_in_full_draft
I-0248	BOUNDARY-16	CH16-CH17	CH16	CH17	S-0040;S-0041;S-0042;S-0043	4	added_visible_source_lane_to_existing_i0247_continuity_stitch	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	inserted_in_full_draft
I-0248	BOUNDARY-17	CH17-CH18	CH17	CH18	S-0038;S-0052;S-0053;S-0055;S-0109	5	added_visible_source_lane_to_existing_i0247_continuity_stitch	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	inserted_in_full_draft
I-0248	BOUNDARY-18	CH18-CH19	CH18	CH19	S-0035;S-0037;S-0056;S-0057;S-0058	5	added_visible_source_lane_to_existing_i0247_continuity_stitch	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	inserted_in_full_draft
I-0248	BOUNDARY-19	CH19-CH20	CH19	CH20	S-0022;S-0048;S-0049;S-0050;S-0051	5	added_visible_source_lane_to_existing_i0247_continuity_stitch	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	inserted_in_full_draft
I-0248	BOUNDARY-20	CH20-CH21	CH20	CH21	S-0029;S-0031;S-0059;S-0061;S-0062	5	added_visible_source_lane_to_existing_i0247_continuity_stitch	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	inserted_in_full_draft
I-0248	BOUNDARY-21	CH21-CH22	CH21	CH22	S-0060;S-0063;S-0064;S-0128;S-0134	5	added_visible_source_lane_to_existing_i0247_continuity_stitch	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	inserted_in_full_draft
I-0248	BOUNDARY-22	CH22-CH23	CH22	CH23	S-0005;S-0069;S-0070;S-0071;S-0072;S-0073;S-0074	7	added_visible_source_lane_to_existing_i0247_continuity_stitch	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	inserted_in_full_draft
I-0248	BOUNDARY-23	CH23-CH24	CH23	CH24	S-0006;S-0002;S-0003;S-0038;S-0075;S-0076;S-0077	7	added_visible_source_lane_to_existing_i0247_continuity_stitch	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	inserted_in_full_draft
