check_id	category	result	evidence	recommended_action
I0287-001	new_source_image_count	pass	source_screenshots=25 target=25	Use in later placement triage.
I0287-002	new_logo_count	pass	logos=25 target=25; svg=25	Use as actor IDs only.
I0287-003	new_person_image_count	pass	person_screenshots=15 target=15	Use as people texture only.
I0287-004	combined_source_threshold	pass	combined_source_images=50 target=50	Only close I-0287 when aggregate threshold clears.
I0287-005	combined_logo_threshold	pass	combined_logos=50 target=50	Only close I-0287 when aggregate threshold clears.
I0287-006	combined_people_threshold	pass	combined_people=30 target=30	Only close I-0287 when aggregate threshold clears.
I0287-007	local_files	pass	rows=65 all_files_exist=True	Repair missing files before integration.
I0287-008	hashes	pass	all_hashes_match=True	Keep hashes as acquisition proof.
I0287-009	provenance_fields	pass	required_fields=local_path,sha256,source_page_url,source_asset_url,story_purpose,blocked_claims,rights_status all_present=True	Do not promote rows with missing provenance.
I0287-010	source_diversity	pass	distinct_org_or_role_prefixes=61	Prefer uncovered actors in future placement.
I0287-011	contact_sheets	pass	source_images=assets/source_media/i0287_contact_sheets/i0287_source_pages_contact_sheet.png bytes=612743; people=assets/source_media/i0287_contact_sheets/i0287_people_contact_sheet.png bytes=515479	Inspect sheets before final placement.
I0287-012	failure_log	pass	failures_logged=2	Failures are acceptable if thresholds clear.
