pass_id	chapter	figure_id	page	sample_png	sample_png_exists	sample_png_sha256	page_text_chars	page_image_count	largest_image_area_pct	chapter_sample_status	manual_review_note
I-0294	CH01	F01.01	2	rendered/full_book_i0294/chapter_page_samples/ch01_page_002_F01-01.png	yes	cb5b6f56bdd9fc0cc66db137a70c18ef864bdf9033e77aaefb8a3af069fdcfa8	1077	1	30.6	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0294	CH02	F02.01	17	rendered/full_book_i0294/chapter_page_samples/ch02_page_017_F02-01.png	yes	a444b78df82a21bd5e704151798844316f6719d9178c42eea2c504f29f35a41f	631	1	49.6	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0294	CH03	F03.01	30	rendered/full_book_i0294/chapter_page_samples/ch03_page_030_F03-01.png	yes	3be077da28c410bcaf82abfd399a367ddb0a93d98f834105b3fabcf1eee8a920	572	1	45.3	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0294	CH04	F04.01	43	rendered/full_book_i0294/chapter_page_samples/ch04_page_043_F04-01.png	yes	939a28038445000e721128c733cad064eb781e975903233223564f2870fc29c9	621	1	49.6	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0294	CH05	F05.01	56	rendered/full_book_i0294/chapter_page_samples/ch05_page_056_F05-01.png	yes	a5faf7dc03f3d3a3af53b447fdd0e4c9f072b0ac8039dc1a3c2816cd4ccb5606	602	1	49.6	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0294	CH06	F06.01	72	rendered/full_book_i0294/chapter_page_samples/ch06_page_072_F06-01.png	yes	c4a0a1fe458b1ca87a6778dd177edc9a2a431538c537cf527b5a1e1d4b4b0341	1074	1	30.7	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0294	CH07	F07.01	91	rendered/full_book_i0294/chapter_page_samples/ch07_page_091_F07-01.png	yes	beaa8ccbcf067a634d28c69ecfc45e63eebdc4f222e88815efaed4fec1a69a39	1425	1	29.2	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0294	CH08	F08.01	111	rendered/full_book_i0294/chapter_page_samples/ch08_page_111_F08-01.png	yes	ab8b0a883e339e04c45ce920d3f24fea1fe3e906167db995b8ca6c564d58ed4c	1442	1	29.2	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0294	CH09	F09.01	127	rendered/full_book_i0294/chapter_page_samples/ch09_page_127_F09-01.png	yes	dc2137bce34c92e0383326730496aa2fb427f470c652832a9be0bef5f2935bec	590	1	49.6	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0294	CH10	F10.01	144	rendered/full_book_i0294/chapter_page_samples/ch10_page_144_F10-01.png	yes	652e81dcf46d37d4ec55c55217694e07d3578361841b2f229e62929cd813f189	718	1	49.6	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0294	CH11	F11.01	160	rendered/full_book_i0294/chapter_page_samples/ch11_page_160_F11-01.png	yes	b0b5fb3c400e65bb9724fe950a1582026a68f7500c2ea653a54bd42d69005d5b	1032	1	32.6	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0294	CH12	F12.01	179	rendered/full_book_i0294/chapter_page_samples/ch12_page_179_F12-01.png	yes	38a2525ecbdccb6999d1105808d8c2289587bb563286e0dc0f2cff3a9d0ac2ed	1603	1	29.2	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0294	CH13	F13.01	204	rendered/full_book_i0294/chapter_page_samples/ch13_page_204_F13-01.png	yes	1ff75f3f8bdea8d268be759d4c537139cb1e61a9928c6eb65ee047f658706722	1376	1	32.6	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0294	CH14	F14.01	219	rendered/full_book_i0294/chapter_page_samples/ch14_page_219_F14-01.png	yes	019e4daf7f16918255862e694b49fbd6d94d3872e634df29ffffb8cd0df32560	1194	1	29.2	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0294	CH15	F15.01	236	rendered/full_book_i0294/chapter_page_samples/ch15_page_236_F15-01.png	yes	a65ae7304c6fbbb555c754775bf50bf7b3c6a3cc261d3bed8e1d5dfa15f5078e	1088	1	30.7	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0294	CH16	F16.01	258	rendered/full_book_i0294/chapter_page_samples/ch16_page_258_F16-01.png	yes	e5c521594a4e6797266da7a7edbc2944384a44feac520e3ef52453176aa5a8d7	1535	1	29.2	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0294	CH17	F17.01	281	rendered/full_book_i0294/chapter_page_samples/ch17_page_281_F17-01.png	yes	b09991ec3a3e0caca1dfb88504e64b3dad93ea18c544160d51131e043cd5dfc5	1113	1	29.2	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0294	CH18	F18.01	296	rendered/full_book_i0294/chapter_page_samples/ch18_page_296_F18-01.png	yes	1d919e1f7b48b9183ddc6287c4f16d30f4bddb1b3f4fe418bc046ba977dbf4d7	1084	1	29.2	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0294	CH19	F19.01	312	rendered/full_book_i0294/chapter_page_samples/ch19_page_312_F19-01.png	yes	bd84ea116531fb1a969fa763af2c8a741345564bffb75ccda4f3bd9633d2dfcf	597	1	49.6	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0294	CH20	F20.01	329	rendered/full_book_i0294/chapter_page_samples/ch20_page_329_F20-01.png	yes	a0c28053cd4afe34e6e69184c2b168e3ba185ab4f7457e45151988af1fd2ca28	1386	1	32.6	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0294	CH21	F21.01	346	rendered/full_book_i0294/chapter_page_samples/ch21_page_346_F21-01.png	yes	ccebca74f49f4918eb25b5a8dfdda416d37141da04b45ea9cd09e2b93010e2d4	938	1	29.1	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0294	CH22	F22.01	361	rendered/full_book_i0294/chapter_page_samples/ch22_page_361_F22-01.png	yes	fc1b5064efbb79c4fca8190b05987d2ef82a1e49a755f2e7b1b97d8e83ee7f83	1129	1	29.2	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0294	CH23	F23.01	375	rendered/full_book_i0294/chapter_page_samples/ch23_page_375_F23-01.png	yes	a77a742073219eb84b48cbfb3df1a5b4b30181d68ac2e5ba932046adda4dff24	1185	1	29.1	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
I-0294	CH24	F24.01	388	rendered/full_book_i0294/chapter_page_samples/ch24_page_388_F24-01.png	yes	4f0e6cf14ae35d4683dd55b285b682728d49329df1222668c23cce8c466749e5	1157	1	29.1	sample_rendered	Local PNG rendered for chapter-level visual rhythm and legibility review; not committed.
