surface_id	asset_id	surface_family	title	source_url_or_path	source_local_path	source_sha256	source_file_size	page_number	render_local_path	render_sha256	render_file_size	width	height	capture_mode	download_status	diversity_role	story_purpose	text_excerpt	rights_status	blocked_claims	card_local_path	card_sha256
PAPER-0288-001	A-0288-001	paper_report_excerpt	BERT: Pre-training of Deep Bidirectional Transformers	https://arxiv.org/pdf/1810.04805	assets/source_media/i0288_pdfs/bert-pre-training-of-deep-bidirectional-transformers.pdf	5692a5514787a8c6727b4ff3b726a3385798bc68e12138d1d4af83947e2acf6e	775166	1	assets/source_surfaces/i0288/paper-0288-001-bert-pre-training-of-deep-bidirectional-transformers-p1.png	076d674b09d4f213666f986048a6a6d293cf1b7c72ef6952d85cfa4dfe203f9e	257404	804	1137	pdf_page_render	downloaded 775166 bytes	BERT: Pre-training of Deep Bidirectional Transformers	Pre-Transformer-to-LLM context for masked-language-modeling lineage.	BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding Jacob Devlin Ming-Wei Chang Kenton Lee Kristina Toutanova Google AI Language {jacobdevlin,mingweichang,kentonl,kristout}@google.com Abstract We introduce a new language representa- tion model called BERT, which stands for Bidirectional Encoder Representations from Transformers. Unlike recent language repre- sentation models (Peters et al	private_use_source_surface_page_render	Does not make BERT a generative chatbot or prove later LLM behavior.	assets/papers/i0288_cards/paper-0288-001-bert-pre-training-of-deep-bidirectional-transformers.svg	7f62213618200373a007f77ef999e5bd24b5f13879e0f61391752d4e6874fd52
PAPER-0288-002	A-0288-002	paper_report_excerpt	Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer	https://arxiv.org/pdf/1910.10683	assets/source_media/i0288_pdfs/exploring-the-limits-of-transfer-learning-with-a-unified-text-to-text-transformer.pdf	ad07e47cedf437a4156419ce5d3076e08a3e59bbfd6dac7cc53df1009cdcbe7f	1190021	1	assets/source_surfaces/i0288/paper-0288-002-exploring-the-limits-of-transfer-learning-with-a-unified-text-to-text-transformer-p1.png	0182a2b443748515cb228583210e7374ea1563f6d5b3c8b0a1b0ed8777ad8ca3	158376	827	1070	pdf_page_render	downloaded 1190021 bytes	Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer	T5/text-to-text framing as a bridge between transfer learning and promptable systems.	Journal of Machine Learning Research 21 (2020) 1-67 Submitted 1/20; Revised 6/20; Published 6/20 Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer Colin Raffel∗ craffel@gmail.com Noam Shazeer∗ noam@google.com Adam Roberts∗ adarob@google.com Katherine Lee∗ katherinelee@google.com Sharan Narang sharannarang@google.com Michael Matena mmatena@google.com Yanqi Zhou yanqiz@google.com Wei Li 	private_use_source_surface_page_render	Does not prove universal task generality or modern instruction-following behavior.	assets/papers/i0288_cards/paper-0288-002-exploring-the-limits-of-transfer-learning-with-a-unified-text-to-text-transformer.svg	6918a8761a3a00fcf3cfd7ac79822346d58689c7b42b05cae73c0df9267bc484
PAPER-0288-003	A-0288-003	paper_report_excerpt	Training Compute-Optimal Large Language Models	https://arxiv.org/pdf/2203.15556	assets/source_media/i0288_pdfs/training-compute-optimal-large-language-models.pdf	3fd3632a8ef48171bd25282990221d49535d75356192f068b3b2ebe08f2aedd4	6004349	1	assets/source_surfaces/i0288/paper-0288-003-training-compute-optimal-large-language-models-p1.png	afabb2b6186459adc7d248d0392b7225eab276012d7480e2d7e124e7f95ee67e	244646	804	1137	pdf_page_render	downloaded 6004349 bytes	Training Compute-Optimal Large Language Models	Chinchilla compute/data balance surface for scaling-law chapters.	Training Compute-Optimal Large Language Models Jordan Hoﬀmann★, Sebastian Borgeaud★, Arthur Mensch★, Elena Buchatskaya, Trevor Cai, Eliza Rutherford, Diego de Las Casas, Lisa Anne Hendricks, Johannes Welbl, Aidan Clark, Tom Hennigan, Eric Noland, Katie Millican, George van den Driessche, Bogdan Damoc, Aurelia Guy, Simon Osindero, Karen Simonyan, Erich Elsen, Jack W. Rae, Oriol Vinyals and Laurent Sifre★ ★Equal contri	private_use_source_surface_page_render	Does not prove a single optimal recipe for all later models or business outcomes.	assets/papers/i0288_cards/paper-0288-003-training-compute-optimal-large-language-models.svg	19c0d2a6c2414d19e076e92b6d57d8b1cf9077c56b899f4fe6ddf3c5fea62453
PAPER-0288-004	A-0288-004	paper_report_excerpt	PaLM: Scaling Language Modeling with Pathways	https://arxiv.org/pdf/2204.02311	assets/source_media/i0288_pdfs/palm-scaling-language-modeling-with-pathways.pdf	1e88f1f3027cd1abecb1713c1c08a89137c7730582549ec7ca78ca329f3f975d	2711295	1	assets/source_surfaces/i0288/paper-0288-004-palm-scaling-language-modeling-with-pathways-p1.png	20a7b8e38a9b144505cc5c61b4f670001db8ff3682417688b10808386be8999f	167107	827	1070	pdf_page_render	downloaded 2711295 bytes	PaLM: Scaling Language Modeling with Pathways	Google/Pathways scale surface for the pre-Gemini model lineage.	PaLM: Scaling Language Modeling with Pathways Aakanksha Chowdhery∗ Sharan Narang∗ Jacob Devlin∗ Maarten Bosma Gaurav Mishra Adam Roberts Paul Barham Hyung Won Chung Charles Sutton Sebastian Gehrmann Parker Schuh Kensen Shi Sasha Tsvyashchenko Joshua Maynez Abhishek Rao† Parker Barnes Yi Tay Noam Shazeer‡ Vinodkumar Prabhakaran Emily Reif Nan Du Ben Hutchinson Reiner Pope James Bradbury Jacob Austin Michael Isard Guy 	private_use_source_surface_page_render	Does not prove current Gemini quality, deployment, or product adoption.	assets/papers/i0288_cards/paper-0288-004-palm-scaling-language-modeling-with-pathways.svg	25a1a1bbda29c7191527cc18d93e275e2e038d6df9fd7c0e4a79be6235cc2195
PAPER-0288-005	A-0288-005	paper_report_excerpt	Chain-of-Thought Prompting Elicits Reasoning in Large Language Models	https://arxiv.org/pdf/2201.11903	assets/source_media/i0288_pdfs/chain-of-thought-prompting-elicits-reasoning-in-large-language-models.pdf	7d9f878c23b460e4566aa4ec9201b1abfb3b8faefb2b1356e411cb90fef72a12	891773	1	assets/source_surfaces/i0288/paper-0288-005-chain-of-thought-prompting-elicits-reasoning-in-large-language-models-p1.png	2776552a84ba0f030412cebff7837e34d4808702593da69d063e61a46dbf8b93	140825	827	1070	pdf_page_render	downloaded 891773 bytes	Chain-of-Thought Prompting Elicits Reasoning in Large Language Models	Reasoning/test-time prompting source surface.	Chain-of-Thought Prompting Elicits Reasoning in Large Language Models Jason Wei Xuezhi Wang Dale Schuurmans Maarten Bosma Brian Ichter Fei Xia Ed H. Chi Quoc V. Le Denny Zhou Google Research, Brain Team {jasonwei,dennyzhou}@google.com Abstract We explore how generating a chain of thought—a series of intermediate reasoning steps—signiﬁcantly improves the ability of large language models to perform complex reasoning. I	private_use_source_surface_page_render	Does not prove robust reasoning, hidden cognition, or safety.	assets/papers/i0288_cards/paper-0288-005-chain-of-thought-prompting-elicits-reasoning-in-large-language-models.svg	4ab9fc2d9ce92cbfe31bfb50451754e8be0851d812a6694700d2a8fb08a7b47e
PAPER-0288-006	A-0288-006	paper_report_excerpt	Code Llama: Open Foundation Models for Code	https://arxiv.org/pdf/2308.12950	assets/source_media/i0288_pdfs/code-llama-open-foundation-models-for-code.pdf	05ed05d2d76c420b6af4a1afe6e1dec99939ccf62c5a0c0a258b09cbe1889346	1623794	1	assets/source_surfaces/i0288/paper-0288-006-code-llama-open-foundation-models-for-code-p1.png	f8c9ec995d6dc97a9c603a8ae6e0a9937bc0b8c3d10744cb56794f9ec00c2596	202782	827	1070	pdf_page_render	downloaded 1623794 bytes	Code Llama: Open Foundation Models for Code	Code-model source surface for the coding-agent lineage.	Code Llama: Open Foundation Models for Code Baptiste Rozière†, Jonas Gehring†, Fabian Gloeckle†,∗, Sten Sootla†, Itai Gat, Xiaoqing Ellen Tan, Yossi Adi⋄, Jingyu Liu, Romain Sauvestre, Tal Remez, Jérémy Rapin, Artyom Kozhevnikov, Ivan Evtimov, Joanna Bitton, Manish Bhatt, Cristian Canton Ferrer, Aaron Grattafiori, Wenhan Xiong, Alexandre Défossez, Jade Copet, Faisal Azhar, Hugo Touvron, Louis Martin, Nicolas Usunier,	private_use_source_surface_page_render	Does not prove developer replacement, production correctness, or current benchmark rank.	assets/papers/i0288_cards/paper-0288-006-code-llama-open-foundation-models-for-code.svg	d85271bbbc5831f82c185ba509b9d41116ae0e84ac28062f74439d2c8ebfd004
PAPER-0288-007	A-0288-007	paper_report_excerpt	Mistral 7B	https://arxiv.org/pdf/2310.06825	assets/source_media/i0288_pdfs/mistral-7b.pdf	dfbac4e7035344b305c947481f2e7e8a02f7a24a563917eb6e47f6591d14c5ae	3749788	1	assets/source_surfaces/i0288/paper-0288-007-mistral-7b-p1.png	8919556393ab578909f899871d5386ea65313f64a48cb905686a49c4284f4811	217083	827	1070	pdf_page_render	downloaded 3749788 bytes	Mistral 7B	Efficient European frontier/open-model source surface.	Mistral 7B Albert Q. Jiang, Alexandre Sablayrolles, Arthur Mensch, Chris Bamford, Devendra Singh Chaplot, Diego de las Casas, Florian Bressand, Gianna Lengyel, Guillaume Lample, Lucile Saulnier, Lélio Renard Lavaud, Marie-Anne Lachaux, Pierre Stock, Teven Le Scao, Thibaut Lavril, Thomas Wang, Timothée Lacroix, William El Sayed Abstract We introduce Mistral 7B, a 7–billion-parameter language model engineered for super	private_use_source_surface_page_render	Does not prove broad superiority, current deployment, or final model rank.	assets/papers/i0288_cards/paper-0288-007-mistral-7b.svg	e89f73f0f895bd1640b79d7a379b23c012b556605e858a909970d6220751ed65
PAPER-0288-008	A-0288-008	paper_report_excerpt	Mixtral of Experts	https://arxiv.org/pdf/2401.04088	assets/source_media/i0288_pdfs/mixtral-of-experts.pdf	f8bbf0e9d979b7a8ce7be65119266545a229a85b57e077d8bd048e458bb642da	2475990	1	assets/source_surfaces/i0288/paper-0288-008-mixtral-of-experts-p1.png	e4c3168b7019a2a2351e13e082b7b5f8c117998f48b81831a8b2bade9b42c26f	221405	827	1070	pdf_page_render	downloaded 2475990 bytes	Mixtral of Experts	Mixture-of-experts source surface for architecture and efficiency chapters.	Mixtral of Experts Albert Q. Jiang, Alexandre Sablayrolles, Antoine Roux, Arthur Mensch, Blanche Savary, Chris Bamford, Devendra Singh Chaplot, Diego de las Casas, Emma Bou Hanna, Florian Bressand, Gianna Lengyel, Guillaume Bour, Guillaume Lample, Lélio Renard Lavaud, Lucile Saulnier, Marie-Anne Lachaux, Pierre Stock, Sandeep Subramanian, Sophia Yang, Szymon Antoniak, Teven Le Scao, Théophile Gervet, Thibaut Lavril, 	private_use_source_surface_page_render	Does not prove all MoE systems are cheaper, safer, or superior.	assets/papers/i0288_cards/paper-0288-008-mixtral-of-experts.svg	9f6a979a764a17069ec5697dbfcc72f1332e43db6318fa9ef873e167d71fc558
PAPER-0288-009	A-0288-009	paper_report_excerpt	The Llama 3 Herd of Models	https://arxiv.org/pdf/2407.21783	assets/source_media/i0288_pdfs/the-llama-3-herd-of-models.pdf	481f1599468f95a07d05e97fafe55bbe786dc1624c6f881bcb4c7d14c933d083	9833173	1	assets/source_surfaces/i0288/paper-0288-009-the-llama-3-herd-of-models-p1.png	1595a587e394bde58b89d01383663d1afc8383db1db3426f0a2b0b191194665d	180898	827	1070	pdf_page_render	downloaded 9833173 bytes	The Llama 3 Herd of Models	Meta/Llama 3 report surface for open-weight model-family narration.	The Llama 3 Herd of Models Llama Team, AI @ Meta1 1A detailed contributor list can be found in the appendix of this paper. Modern artificial intelligence (AI) systems are powered by foundation models. This paper presents a new set of foundation models, called Llama 3. It is a herd of language models that natively support multilinguality, coding, reasoning, and tool usage. Our largest model is a dense Transformer with	private_use_source_surface_page_render	Does not prove open-source legal status, adoption, or benchmark supremacy.	assets/papers/i0288_cards/paper-0288-009-the-llama-3-herd-of-models.svg	7f38620208a1bc8f7b5de4f789f56fca4bd5640b633806257b2e8aa82eba31a9
PAPER-0288-010	A-0288-010	paper_report_excerpt	LiveCodeBench: Holistic and Contamination Free Evaluation	https://arxiv.org/pdf/2403.07974	assets/source_media/i0288_pdfs/livecodebench-holistic-and-contamination-free-evaluation.pdf	a9bd3f7b96ac846ac53506e7b58197d9213919f18f402a27910dcf9fc948b427	4960954	1	assets/source_surfaces/i0288/paper-0288-010-livecodebench-holistic-and-contamination-free-evaluation-p1.png	97a896e9e628d9b9a2af12ed49aa8b0dc1910d88016ac807ca9891cdba245f76	115894	827	1070	pdf_page_render	downloaded 4960954 bytes	LiveCodeBench: Holistic and Contamination Free Evaluation	Coding benchmark paper surface for evaluation-caveat prose.	LiveCodeBench: Holistic and Contamination Free Evaluation of Large Language Models for Code Naman Jain† King Han† Alex Gu* $ Wen-Ding Li*‡ Fanjia Yan*† Tianjun Zhang*† Sida I. Wang Armando Solar-Lezama$ Koushik Sen† Ion Stoica† † UC Berkeley $ MIT ‡ Cornell Website: https://livecodebench.github.io/ {naman jain,kingh0730,fanjiayan,tianjunz,ksen,istoica}@berkeley.edu gua@mit.edu asolar@csail.mit.edu wl678@cornell.edu A	private_use_source_surface_page_render	Does not prove broad software productivity or live model rank.	assets/papers/i0288_cards/paper-0288-010-livecodebench-holistic-and-contamination-free-evaluation.svg	3da6b3b61cf65aeed630a25b6eb6c247346ba7622c347d64c167d07962d201c6
