pass_id	boundary_id	from_chapter	to_chapter	transition_text	reader_job	claim_guardrail	integration_status
I-0247	BOUNDARY-01	CH01	CH02	The public shock now turns into the older engineering problem: before a text box could feel conversational, language had to become something a machine could represent, compare, and predict.	handoff	No new factual claim beyond already sourced chapter-level scope; transition must connect mechanisms, not invent scenes or outcomes.	inserted_in_full_draft_as_i0247_stitch
I-0247	BOUNDARY-02	CH02	CH03	The bottleneck was not only that machines handled words badly; it was that sequence models struggled to move information cleanly across distance. Attention enters as the mechanism that lets the history of a sentence stay available.	handoff	No new factual claim beyond already sourced chapter-level scope; transition must connect mechanisms, not invent scenes or outcomes.	inserted_in_full_draft_as_i0247_stitch
I-0247	BOUNDARY-03	CH03	CH04	Once attention made sequence modeling more parallel and expressive, the next question became brutally empirical: what happens if the same architecture is made larger, fed more data, and measured without sentimentality?	handoff	No new factual claim beyond already sourced chapter-level scope; transition must connect mechanisms, not invent scenes or outcomes.	inserted_in_full_draft_as_i0247_stitch
I-0247	BOUNDARY-04	CH04	CH05	Scaling turned loss curves into strategy, but strategy still needed a vehicle. The GPT line made the wager concrete: pretrain a model broadly, then see how far prompting and access could carry it.	handoff	No new factual claim beyond already sourced chapter-level scope; transition must connect mechanisms, not invent scenes or outcomes.	inserted_in_full_draft_as_i0247_stitch
I-0247	BOUNDARY-05	CH05	CH06	The door opened by GPT-3 was powerful but unruly. If language models were going to become products, they needed more than continuation; they needed to behave like assistants under pressure from users, policies, and markets.	handoff	No new factual claim beyond already sourced chapter-level scope; transition must connect mechanisms, not invent scenes or outcomes.	inserted_in_full_draft_as_i0247_stitch
I-0247	BOUNDARY-06	CH06	CH07	Alignment work made the assistant shape possible, but ChatGPT tested that shape in public. The next chapter moves from training loop to interface event: what happened when the assistant became easy enough for anyone to try.	handoff	No new factual claim beyond already sourced chapter-level scope; transition must connect mechanisms, not invent scenes or outcomes.	inserted_in_full_draft_as_i0247_stitch
I-0247	BOUNDARY-07	CH07	CH08	The interface event created demand that no model paper could satisfy alone. To turn conversation into a durable product category, OpenAI needed cloud capacity, distribution, and institutional muscle.	handoff	No new factual claim beyond already sourced chapter-level scope; transition must connect mechanisms, not invent scenes or outcomes.	inserted_in_full_draft_as_i0247_stitch
I-0247	BOUNDARY-08	CH08	CH09	Microsoft's bargain showed one way to convert models into platform leverage. Google's problem was different: it already owned research depth, consumer habits, and infrastructure, and had to decide how quickly to move them together.	handoff	No new factual claim beyond already sourced chapter-level scope; transition must connect mechanisms, not invent scenes or outcomes.	inserted_in_full_draft_as_i0247_stitch
I-0247	BOUNDARY-09	CH09	CH10	Google's response kept the race inside the world of giant platforms; Meta changed the surface of the race by pushing powerful weights toward researchers, developers, and adopters outside a closed API lane.	handoff	No new factual claim beyond already sourced chapter-level scope; transition must connect mechanisms, not invent scenes or outcomes.	inserted_in_full_draft_as_i0247_stitch
I-0247	BOUNDARY-10	CH10	CH11	Open weights widened the field, but they did not make it simple. The next frontier was multipolar: Chinese labs, papers, repositories, and product surfaces made the race harder to reduce to a Western platform story.	handoff	No new factual claim beyond already sourced chapter-level scope; transition must connect mechanisms, not invent scenes or outcomes.	inserted_in_full_draft_as_i0247_stitch
I-0247	BOUNDARY-11	CH11	CH12	The frontier then spreads rather than narrows. Europe, xAI, Mistral, Anthropic, and other labs each complicate the idea that one geography, one license model, or one assistant philosophy owns the future.	handoff	No new factual claim beyond already sourced chapter-level scope; transition must connect mechanisms, not invent scenes or outcomes.	inserted_in_full_draft_as_i0247_stitch
