pass_id	pdf_page	mapped_visual_rows	visual_families	visual_categories	page_text_sample
I-0310	4	1	expanded_300_exhibit=1	real_photo_screenshot_source_image=1	Chapter 01: The Shock 1. The Shock The book opens at the smallest possible threshold: a blank text box that made a deep technical stack feel suddenly public. The Box That Was Too Easy F01.01 / A-0287-013 - Figure 01.01 - OpenAI Platform Became A Public Product
I-0310	9	2	chart_data_svg_atlas=1; expanded_300_exhibit=1	curated_chart_data_svg_visualization=1; svg_diagram=1	Local Alarms F01.02 / A-0069 - Figure 1.2 - From Prompt to Answer, One Token at a Time. Human text becomes tokens, context, next-token predictions, and generated answer. Figure 1.2 - From Prompt to Answer, One Token at a Time. Human text becomes tokens, contex
I-0310	14	2	chart_data_svg_atlas=1; expanded_300_exhibit=1	curated_chart_data_svg_visualization=1; svg_diagram=1	The Hidden Factory F01.03 / A-0070 - Figure 1.3 - Local Alarms: First Institutional Response Chronology. Stack Overflow, NYC schools, Seattle schools, and JPMorgan become named local-control examples. Figure 1.3 - Local Alarms: First Institutional Response Chr
I-0310	18	2	chart_data_svg_atlas=1; expanded_300_exhibit=1	curated_chart_data_svg_visualization=1; svg_diagram=1	Chapter 01 Visual Portfolio These visuals are placed with Chapter 01, The Shock, so the reader sees the evidence and memory aids beside the argument they serve. VX025 / A-0068 - Chapter 1 ChatGPT shock chronology Figure 1.1 - ChatGPT Shock Chronology. Launch a
I-0310	19	2	expanded_300_exhibit=1; logo_people_strip=1	person_image=2	VX182 / A-0284-062 - Satya Nadella acquired person_image for private-edition visual layer: Satya Nadella. Categories: person_image. Source/provenance: https://news.microsoft.com/exec/satya-nadella/ Source note: source rights noted; Public-profile page screensh
I-0310	21	2	expanded_300_exhibit=1; source_surface_gallery=1	paper_report_excerpt=2	The Older Machine F02.01 / A-0285-001 - Figure 02.01 - Transformer Paper Page As The Breakthrough Surface Attention Is All You Need page-one render anchors the Transformer breakthrough as a primary source surface; it does not prove intention, later implementat
I-0310	33	2	expanded_300_exhibit=1; logo_people_strip=1	logo=2	Chapter 02 Visual Portfolio These visuals are placed with Chapter 02, Before the Transformer, so the reader sees the evidence and memory aids beside the argument they serve. VX155 / A-0287-032 - Jupyter completion-layer logo for private-edition visual acquisit
I-0310	34	2	expanded_300_exhibit=1; logo_people_strip=1	logo=2	VX157 / A-0287-034 - NumPy completion-layer logo for private-edition visual acquisition: NumPy. Categories: logo. Source/provenance: https://simpleicons.org/ Source note: source rights noted; Logo identifies an actor only; it does not imply endorsement, partne
I-0310	35	2	expanded_300_exhibit=1; logo_people_strip=1	logo=2	VX159 / A-0287-036 - SciPy completion-layer logo for private-edition visual acquisition: SciPy. Categories: logo. Source/provenance: https://simpleicons.org/ Source note: source rights noted; Logo identifies an actor only; it does not imply endorsement, partne
I-0310	36	2	expanded_300_exhibit=1; logo_people_strip=1	person_image=2	VX184 / A-0284-064 - Geoffrey Hinton acquired person_image for private-edition visual layer: Geoffrey Hinton. Categories: person_image. Source/provenance: https://en.wikipedia.org/wiki/Geoffrey_Hinton Source note: source rights noted; Public-profile page scree
I-0310	37	2	expanded_300_exhibit=1; logo_people_strip=1	person_image=2	VX185 / A-0284-065 - Yoshua Bengio acquired person_image for private-edition visual layer: Yoshua Bengio. Categories: person_image. Source/provenance: https://mila.quebec/en/person/yoshua-bengio/ Source note: source rights noted; Public-profile page screenshot
I-0310	38	2	expanded_300_exhibit=1; logo_people_strip=1	person_image=2	VX186 / A-0287-051 - Andrew Ng completion-layer person_image for private-edition visual acquisition: Andrew Ng. Categories: person_image. Source/provenance: https://www.andrewng.org/ Source note: source rights noted; Public-profile page screenshot only; does n
I-0310	39	2	expanded_300_exhibit=1; logo_people_strip=1	person_image=2	VX199 / A-0287-064 - Christopher Manning completion-layer person_image for private-edition visual acquisition: Christopher Manning. Categories: person_image. Source/provenance: https://nlp.stanford.edu/~manning/ Source note: source rights noted; Public-profile
I-0310	45	2	expanded_300_exhibit=1; source_surface_gallery=1	paper_report_excerpt=2	The Break In The Loop F03.01 / A-0288-001 - Figure 03.01 - BERT Page As Bidirectional Transformer Lineage BERT page-one render supplies masked-language-model lineage texture for the attention chapter; it does not make BERT a generative chatbot or prove later L
I-0310	57	1	expanded_300_exhibit=1	real_photo_screenshot_source_image=1	Chapter 03 Visual Portfolio These visuals are placed with Chapter 03, Attention Catches Fire, so the reader sees the evidence and memory aids beside the argument they serve. VX053 / A-0284-002 - NVIDIA Blackwell acquired source_image for private-edition visual
I-0310	58	2	expanded_300_exhibit=1; logo_people_strip=1	person_image=2	VX188 / A-0287-053 - Oriol Vinyals completion-layer person_image for private-edition visual acquisition: Oriol Vinyals. Categories: person_image. Source/provenance: https://en.wikipedia.org/wiki/Oriol_Vinyals Source note: source rights noted; Public-profile pa
I-0310	59	2	expanded_300_exhibit=1; logo_people_strip=1	person_image=2	VX189 / A-0287-054 - Ashish Vaswani completion-layer person_image for private-edition visual acquisition: Ashish Vaswani. Categories: person_image. Source/provenance: https://en.wikipedia.org/wiki/Ashish_Vaswani Source note: source rights noted; Public-profile
I-0310	60	2	expanded_300_exhibit=1; logo_people_strip=1	person_image=2	VX190 / A-0287-055 - Noam Shazeer completion-layer person_image for private-edition visual acquisition: Noam Shazeer. Categories: person_image. Source/provenance: https://en.wikipedia.org/wiki/Noam_Shazeer Source note: source rights noted; Public-profile page 
I-0310	61	2	expanded_300_exhibit=1; logo_people_strip=1	person_image=2	VX194 / A-0287-059 - Aidan Gomez completion-layer person_image for private-edition visual acquisition: Aidan Gomez. Categories: person_image. Source/provenance: https://cohere.com/researchers/aidan-gomez Source note: source rights noted; Public-profile page sc
I-0310	64	4	chart_data_svg_atlas=4	svg_diagram=3; svg_repair_source_card=1	PORTFOLIO PLATE - VISUAL BOARD Language Model Foundations Tokens, attention, GPT lineage, scaling, and early benchmark context. Caption: Language Model Foundations. Tokens, attention, GPT lineage, scaling, and early benchmark context. Evidence boundary: chart/
I-0310	68	2	expanded_300_exhibit=1; source_surface_gallery=1	paper_report_excerpt=2	The Curve Before The Product F04.01 / A-0285-005 - Figure 04.01 - Scaling Laws Page As Loss- Compute Evidence Scaling Laws for Neural Language Models page-one render grounds the scaling chapter in measured loss, model, data, and compute tradeoffs; it does not 
I-0310	80	2	chart_data_svg_atlas=1; expanded_300_exhibit=1	curated_chart_data_svg_visualization=1; svg_diagram=1	Chapter 04 Visual Portfolio These visuals are placed with Chapter 04, The Scaling Bet, so the reader sees the evidence and memory aids beside the argument they serve. VX003 / A-0003 - visual grammar prototype Tradeoff curve prototype for scaling, price-perform
I-0310	81	2	expanded_300_exhibit=1; logo_people_strip=1	person_image=2	VX174 / A-0284-053 - Ilya Sutskever acquired person_image for private-edition visual layer: Ilya Sutskever. Categories: person_image. Source/provenance: https://en.wikipedia.org/wiki/Ilya_Sutskever Source note: source rights noted; Public-profile image only; d
I-0310	82	2	expanded_300_exhibit=1; logo_people_strip=1	person_image=2	VX187 / A-0287-052 - Jeff Dean completion-layer person_image for private-edition visual acquisition: Jeff Dean. Categories: person_image. Source/provenance: https://research.google/people/jeff/ Source note: source rights noted; Public-profile page screenshot o
I-0310	83	2	source_surface_gallery=2	paper_report_excerpt=2	PORTFOLIO PLATE - PAPER REPORT EXCERPT Transformer, GPT, And Scaling Origins The origin gallery shows the breakthrough papers as artifacts the reader can locate, not as invisible bibliography. Caption: Transformer, GPT, And Scaling Origins. The origin gallery 
I-0310	85	2	source_surface_gallery=2	paper_report_excerpt=2	PORTFOLIO PLATE - PAPER REPORT EXCERPT Pretraining Lineage And Compute-Optimal Scale BERT, T5, Chinchilla, PaLM, and chain-of-thought establish the mechanism bridge into frontier LLMs. Caption: Pretraining Lineage And Compute-Optimal Scale. BERT, T5, Chinchill
I-0310	88	2	expanded_300_exhibit=1; source_surface_gallery=1	paper_report_excerpt=2	The Model That Learned To Begin F05.01 / A-0285-002 - Figure 05.01 - GPT-1 Paper Page As Pretraining Origin Improving Language Understanding by Generative Pre-Training page-one render anchors GPT-1 as a transfer/pretraining source surface; it does not prove Ch
I-0310	104	2	chart_data_svg_atlas=1; expanded_300_exhibit=1	curated_chart_data_svg_visualization=1; svg_diagram=1	Chapter 05 Visual Portfolio These visuals are placed with Chapter 05, GPT-1 to GPT-3: The Door Opens, so the reader sees the evidence and memory aids beside the argument they serve. VX004 / A-0010 - GPT lineage visual table Figure 5.1 - From Pretraining To The
I-0310	105	1	expanded_300_exhibit=1	model_card_hf_benchmark_repo_docs_surface=1	VX116 / A-0286-001 - Hugging Face GPT-2 model card source-surface card for Hugging Face GPT-2 model card. Categories: model_card_hf_benchmark_repo_docs_surface. Source/provenance: https://huggingface.co/openai-community/gpt2 Source note: source rights noted; s
I-0310	106	1	expanded_300_exhibit=1	model_card_hf_benchmark_repo_docs_surface=1	VX117 / A-0286-002 - OpenAI GPT-2 GitHub repo source-surface card for OpenAI GPT-2 GitHub repo. Categories: model_card_hf_benchmark_repo_docs_surface. Source/provenance: https://github.com/openai/gpt-2 Source note: source rights noted; screenshot hash 54786b57
I-0310	107	1	expanded_300_exhibit=1	real_photo_screenshot_source_image=1	Chapter 06: Alignment Enters the Product 6. Alignment Enters the Product Once prediction became a product, the central problem changed from fluent continuation to behavior under instruction, pressure, and refusal. The Model That Needed A Boss F06.01 / A-0287-0
I-0310	112	1	expanded_300_exhibit=1	real_photo_screenshot_source_image=1	This is where Anthropic enters the larger narrative before the Claude chapter. Claude was not only another model family. It was a product argument about how an assistant should behave. Constitutional AI gave that argument a research signature. Red Teams, Syste
I-0310	118	2	expanded_300_exhibit=1; logo_people_strip=1	person_image=2	What The Quote Table Allows F06.03 / A-0284-057 - Figure 06.03 - Dario Amodei Public Profile Texture Public-profile image of Dario Amodei adds a human organizational anchor near the Constitutional AI and assistant-behavior discussion; it does not prove alignme
I-0310	125	2	chart_data_svg_atlas=1; expanded_300_exhibit=1	curated_chart_data_svg_visualization=1; svg_diagram=1	Chapter 06 Visual Portfolio These visuals are placed with Chapter 06, Alignment Enters the Product, so the reader sees the evidence and memory aids beside the argument they serve. VX005 / A-0011 - RLHF and alignment pipeline visual Figure 6.1 - Alignment As A 
I-0310	126	1	expanded_300_exhibit=1	paper_report_excerpt=1	VX088 / A-0259-004 - OpenAI Model Spec behavior surface SSF-0259-004 - OpenAI Model Spec behavior surface. Categories: paper_report_excerpt. Source/provenance: https://cdn.openai.com/spec/model-spec-2024-05-08.html Source note: source surface; rights and attri
I-0310	127	1	expanded_300_exhibit=1	paper_report_excerpt=1	VX089 / A-0259-005 - OpenAI GPT-4 System Card first page SSF-0259-005 - OpenAI GPT-4 System Card first page. Categories: paper_report_excerpt. Source/provenance: https://cdn.openai.com/papers/gpt-4-system-card.pdf Source note: source surface; rights and attrib
I-0310	128	1	expanded_300_exhibit=1	paper_report_excerpt=1	VX090 / A-0259-006 - OpenAI GPT-4o System Card first page SSF-0259-006 - OpenAI GPT-4o System Card first page. Categories: paper_report_excerpt. Source/provenance: https://cdn.openai.com/gpt-4o-system-card.pdf Source note: source surface; rights and attributio
I-0310	129	2	expanded_300_exhibit=1; source_surface_gallery=1	pdf_deck_report_page=1; pdf_report_page=1	VX111 / A-0285-027 - GPT-4 System Card first-page surface source-surface card for GPT-4 System Card first-page surface. Categories: pdf_deck_report_page. Source/provenance: https://cdn.openai.com/papers/gpt-4-system-card.pdf Source note: source rights noted; s
I-0310	130	2	expanded_300_exhibit=1; source_surface_gallery=1	pdf_deck_report_page=1; pdf_report_page=1	VX112 / A-0285-028 - GPT-4o System Card first-page surface source-surface card for GPT-4o System Card first-page surface. Categories: pdf_deck_report_page. Source/provenance: https://cdn.openai.com/gpt-4o-system-card.pdf Source note: source rights noted; sourc
I-0310	131	2	expanded_300_exhibit=1; source_surface_gallery=1	pdf_deck_report_page=1; pdf_report_page=1	VX113 / A-0285-029 - GPT-4 Technical Report first-page surface source-surface card for GPT-4 Technical Report first-page surface. Categories: pdf_deck_report_page. Source/provenance: https://arxiv.org/pdf/2303.08774 Source note: source rights noted; source pag
I-0310	132	2	expanded_300_exhibit=1; logo_people_strip=1	person_image=2	VX193 / A-0287-058 - John Schulman completion-layer person_image for private-edition visual acquisition: John Schulman. Categories: person_image. Source/provenance: https://en.wikipedia.org/wiki/John_Schulman Source note: source rights noted; Public-profile pa
I-0310	133	3	source_surface_gallery=3	paper_report_excerpt=3	PORTFOLIO PLATE - PAPER REPORT EXCERPT Alignment, Open Weights, And Model Families Instruction tuning, Constitutional AI, Meta, Google, and Qwen become visible source surfaces with claim boundaries. Caption: Alignment, Open Weights, And Model Families. Instruc
I-0310	138	2	chart_data_svg_atlas=1; expanded_300_exhibit=1	curated_chart_data_svg_visualization=1; svg_diagram=1	The Box F07.01 / A-0016 - Figure 7.x - ChatGPT: From Interface Event To Business Surface. Sourced timeline for ChatGPT launch, Plus, plugins, Enterprise release-note entry, GPTs, and GPT-4o with a blocked adoption/productivity lane. Figure 7.x - ChatGPT: From 
